Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,7,0.933333333333333,0.897727272727273
breast-cancer-wisconsin,svmLinear,ap,25,0.912280701754386,0.979472140762463
yeast,svmLinear,ap,54,0.542281879194631,0.522327469553451
glass,svmLinear,ap,16,0.568807339449541,0.571428571428571
ecoli,svmLinear,ap,13,0.764705882352941,0.831325301204819
vowel-context,svmLinear,ap,44,0.575757575757576,0.549494949494949
iris,svmLinear,ap,7,0.826666666666667,0.946666666666667
pima-indians-diabetes,svmLinear,ap,34,0.760416666666667,0.692708333333333
sonar.all,svmLinear,ap,15,0.714285714285714,0.679611650485437
image-segmentation,svmLinear,ap,57,0.815584415584416,0.828571428571429
ionosphere,svmLinear,ap,28,0.801136363636364,0.822857142857143
spectrometer,svmLinear,ap,28,0.411347517730496,0.313253012048193
statlog-vehicle,svmLinear,ap,26,0.610849056603774,0.537914691943128
optdigits,svmLinear,ap,172,0.898256848096763,0.926308294766821
statlog-satimage,svmLinear,ap,73,0.847468157812985,0.850435323383085
pendigits,svmLinear,ap,139,0.950354609929078,0.968505370471509
wine,svmLinear,ap,9,0.855555555555556,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,25,0.912280701754386,0.958944281524927
yeast,svmLinear,ap,52,0.577181208053691,0.552097428958051
glass,svmLinear,ap,19,0.513761467889908,0.542857142857143
ecoli,svmLinear,ap,13,0.817647058823529,0.807228915662651
vowel-context,svmLinear,ap,48,0.587878787878788,0.535353535353535
iris,svmLinear,ap,6,0.773333333333333,0.813333333333333
pima-indians-diabetes,svmLinear,ap,36,0.731770833333333,0.7109375
sonar.all,svmLinear,ap,19,0.761904761904762,0.737864077669903
image-segmentation,svmLinear,ap,56,0.834632034632035,0.841558441558442
ionosphere,svmLinear,ap,28,0.784090909090909,0.914285714285714
spectrometer,svmLinear,ap,28,0.400709219858156,0.349397590361446
statlog-vehicle,svmLinear,ap,28,0.591981132075472,0.556872037914692
optdigits,svmLinear,ap,176,0.903948772678762,0.944464222143111
statlog-satimage,svmLinear,ap,68,0.848400124262193,0.853544776119403
pendigits,svmLinear,ap,136,0.948172394980906,0.974148916803204
wine,svmLinear,ap,9,0.888888888888889,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,20,0.926900584795322,0.964809384164223
yeast,svmLinear,ap,56,0.587919463087248,0.533152909336942
glass,svmLinear,ap,16,0.651376146788991,0.6
ecoli,svmLinear,ap,13,0.811764705882353,0.855421686746988
vowel-context,svmLinear,ap,46,0.573737373737374,0.533333333333333
iris,svmLinear,ap,6,0.76,0.88
pima-indians-diabetes,svmLinear,ap,35,0.723958333333333,0.703125
sonar.all,svmLinear,ap,18,0.752380952380952,0.70873786407767
image-segmentation,svmLinear,ap,57,0.819047619047619,0.802597402597403
ionosphere,svmLinear,ap,28,0.772727272727273,0.84
spectrometer,svmLinear,ap,25,0.400709219858156,0.305220883534137
statlog-vehicle,svmLinear,ap,27,0.601415094339623,0.571090047393365
optdigits,svmLinear,ap,179,0.901458555674137,0.934140263438946
statlog-satimage,svmLinear,ap,74,0.853370611991302,0.862251243781095
pendigits,svmLinear,ap,134,0.953264229859974,0.969779719643182
wine,svmLinear,ap,9,0.866666666666667,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,23,0.909356725146199,0.976539589442815
yeast,svmLinear,ap,57,0.535570469798658,0.537212449255751
glass,svmLinear,ap,13,0.504587155963303,0.542857142857143
ecoli,svmLinear,ap,13,0.841176470588235,0.831325301204819
vowel-context,svmLinear,ap,43,0.608080808080808,0.541414141414141
iris,svmLinear,ap,6,0.786666666666667,0.8
pima-indians-diabetes,svmLinear,ap,32,0.739583333333333,0.7265625
sonar.all,svmLinear,ap,14,0.704761904761905,0.621359223300971
image-segmentation,svmLinear,ap,58,0.795670995670996,0.813852813852814
ionosphere,svmLinear,ap,30,0.784090909090909,0.862857142857143
spectrometer,svmLinear,ap,28,0.418439716312057,0.325301204819277
statlog-vehicle,svmLinear,ap,27,0.610849056603774,0.580568720379147
optdigits,svmLinear,ap,184,0.906083244397012,0.938056247775009
statlog-satimage,svmLinear,ap,75,0.84964274619447,0.864738805970149
pendigits,svmLinear,ap,132,0.953627932351337,0.97141816857819
wine,svmLinear,ap,9,0.877777777777778,0.897727272727273
breast-cancer-wisconsin,svmLinear,ap,22,0.923976608187134,0.961876832844575
yeast,svmLinear,ap,59,0.578523489932886,0.557510148849797
glass,svmLinear,ap,18,0.495412844036697,0.552380952380952
ecoli,svmLinear,ap,13,0.835294117647059,0.819277108433735
vowel-context,svmLinear,ap,47,0.597979797979798,0.509090909090909
iris,svmLinear,ap,6,0.8,0.8
pima-indians-diabetes,svmLinear,ap,33,0.752604166666667,0.713541666666667
sonar.all,svmLinear,ap,19,0.695238095238095,0.660194174757282
image-segmentation,svmLinear,ap,57,0.835497835497836,0.855411255411255
ionosphere,svmLinear,ap,31,0.778409090909091,0.834285714285714
spectrometer,svmLinear,ap,25,0.382978723404255,0.321285140562249
statlog-vehicle,svmLinear,ap,28,0.591981132075472,0.585308056872038
optdigits,svmLinear,ap,181,0.897189612237638,0.934496262014952
statlog-satimage,svmLinear,ap,69,0.846846846846847,0.852300995024876
pendigits,svmLinear,ap,139,0.951627568648845,0.965592572364828
wine,svmLinear,ap,10,0.888888888888889,0.909090909090909
breast-cancer-wisconsin,svmLinear,ap,20,0.932748538011696,0.964809384164223
yeast,svmLinear,ap,57,0.522147651006711,0.568335588633288
glass,svmLinear,ap,18,0.522935779816514,0.533333333333333
ecoli,svmLinear,ap,15,0.788235294117647,0.807228915662651
vowel-context,svmLinear,ap,44,0.563636363636364,0.492929292929293
iris,svmLinear,ap,5,0.826666666666667,0.866666666666667
pima-indians-diabetes,svmLinear,ap,32,0.723958333333333,0.700520833333333
sonar.all,svmLinear,ap,18,0.742857142857143,0.592233009708738
image-segmentation,svmLinear,ap,53,0.833766233766234,0.840692640692641
ionosphere,svmLinear,ap,32,0.732954545454545,0.834285714285714
spectrometer,svmLinear,ap,26,0.382978723404255,0.293172690763052
statlog-vehicle,svmLinear,ap,25,0.625,0.57345971563981
optdigits,svmLinear,ap,178,0.900035574528637,0.935208259166963
statlog-satimage,svmLinear,ap,72,0.859583721652687,0.862562189054726
pendigits,svmLinear,ap,135,0.951082014911802,0.974330966684872
wine,svmLinear,ap,11,0.877777777777778,0.909090909090909
breast-cancer-wisconsin,svmLinear,ap,22,0.926900584795322,0.944281524926686
yeast,svmLinear,ap,55,0.574496644295302,0.512855209742896
glass,svmLinear,ap,23,0.477064220183486,0.533333333333333
ecoli,svmLinear,ap,15,0.788235294117647,0.789156626506024
vowel-context,svmLinear,ap,48,0.61010101010101,0.547474747474747
iris,svmLinear,ap,7,0.853333333333333,0.866666666666667
pima-indians-diabetes,svmLinear,ap,37,0.71875,0.7265625
sonar.all,svmLinear,ap,19,0.771428571428571,0.83495145631068
image-segmentation,svmLinear,ap,52,0.808658008658009,0.83030303030303
ionosphere,svmLinear,ap,27,0.778409090909091,0.822857142857143
spectrometer,svmLinear,ap,28,0.425531914893617,0.357429718875502
statlog-vehicle,svmLinear,ap,27,0.615566037735849,0.604265402843602
optdigits,svmLinear,ap,184,0.901814300960512,0.934852260590958
statlog-satimage,svmLinear,ap,73,0.85399192295744,0.852611940298508
pendigits,svmLinear,ap,136,0.9472631387525,0.967048971418169
wine,svmLinear,ap,10,0.877777777777778,0.863636363636364
breast-cancer-wisconsin,svmLinear,ap,18,0.935672514619883,0.967741935483871
yeast,svmLinear,ap,55,0.579865771812081,0.542625169147497
glass,svmLinear,ap,18,0.495412844036697,0.6
ecoli,svmLinear,ap,13,0.8,0.819277108433735
vowel-context,svmLinear,ap,44,0.567676767676768,0.468686868686869
iris,svmLinear,ap,6,0.813333333333333,0.826666666666667
pima-indians-diabetes,svmLinear,ap,35,0.721354166666667,0.721354166666667
sonar.all,svmLinear,ap,19,0.704761904761905,0.669902912621359
image-segmentation,svmLinear,ap,54,0.825974025974026,0.803463203463203
ionosphere,svmLinear,ap,28,0.744318181818182,0.851428571428571
spectrometer,svmLinear,ap,26,0.382978723404255,0.325301204819277
statlog-vehicle,svmLinear,ap,26,0.580188679245283,0.535545023696682
optdigits,svmLinear,ap,188,0.904304517965137,0.939836240655037
statlog-satimage,svmLinear,ap,76,0.860826343584964,0.851057213930348
pendigits,svmLinear,ap,131,0.95599199854519,0.971054068814855
wine,svmLinear,ap,10,0.888888888888889,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,24,0.906432748538012,0.947214076246334
yeast,svmLinear,ap,54,0.571812080536913,0.542625169147497
glass,svmLinear,ap,18,0.559633027522936,0.580952380952381
ecoli,svmLinear,ap,13,0.758823529411765,0.807228915662651
vowel-context,svmLinear,ap,47,0.577777777777778,0.490909090909091
iris,svmLinear,ap,7,0.786666666666667,0.8
pima-indians-diabetes,svmLinear,ap,31,0.713541666666667,0.71875
sonar.all,svmLinear,ap,14,0.695238095238095,0.757281553398058
image-segmentation,svmLinear,ap,60,0.824242424242424,0.841558441558442
ionosphere,svmLinear,ap,31,0.75,0.817142857142857
spectrometer,svmLinear,ap,28,0.397163120567376,0.29718875502008
statlog-vehicle,svmLinear,ap,26,0.606132075471698,0.556872037914692
optdigits,svmLinear,ap,175,0.903593027392387,0.928088287646849
statlog-satimage,svmLinear,ap,71,0.846225535880708,0.858830845771144
pendigits,svmLinear,ap,139,0.956173849790871,0.970143819406517
wine,svmLinear,ap,9,0.811111111111111,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,24,0.915204678362573,0.964809384164223
yeast,svmLinear,ap,56,0.548993288590604,0.54127198917456
glass,svmLinear,ap,18,0.532110091743119,0.552380952380952
ecoli,svmLinear,ap,12,0.752941176470588,0.795180722891566
vowel-context,svmLinear,ap,48,0.571717171717172,0.498989898989899
iris,svmLinear,ap,7,0.906666666666667,0.906666666666667
pima-indians-diabetes,svmLinear,ap,36,0.778645833333333,0.71875
sonar.all,svmLinear,ap,19,0.704761904761905,0.611650485436893
image-segmentation,svmLinear,ap,55,0.829437229437229,0.83982683982684
ionosphere,svmLinear,ap,33,0.755681818181818,0.828571428571429
spectrometer,svmLinear,ap,27,0.393617021276596,0.29718875502008
statlog-vehicle,svmLinear,ap,28,0.591981132075472,0.566350710900474
optdigits,svmLinear,ap,188,0.900035574528637,0.945176219295123
statlog-satimage,svmLinear,ap,72,0.859273066169618,0.869402985074627
pendigits,svmLinear,ap,136,0.951627568648845,0.970325869288185
