Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,11,0.955555555555556,0.965909090909091
breast-cancer-wisconsin,svmLinear,ap,22,0.970760233918129,0.958944281524927
glass,svmLinear,ap,18,0.623853211009174,0.571428571428571
vowel-context,svmLinear,ap,42,0.597979797979798,0.494949494949495
iris,svmLinear,ap,6,0.866666666666667,0.826666666666667
pima-indians-diabetes,svmLinear,ap,35,0.765625,0.721354166666667
sonar.all,svmLinear,ap,12,0.761904761904762,0.58252427184466
image-segmentation,svmLinear,ap,51,0.869264069264069,0.838961038961039
ionosphere,svmLinear,ap,25,0.846590909090909,0.885714285714286
statlog-vehicle,svmLinear,ap,27,0.643867924528302,0.554502369668246
optdigits,svmLinear,ap,174,0.948061188189256,0.934140263438946
statlog-satimage,svmLinear,ap,72,0.863932898415657,0.852300995024876
pendigits,svmLinear,ap,137,0.971085651936716,0.974330966684872
wine,svmLinear,ap,9,0.922222222222222,0.943181818181818
breast-cancer-wisconsin,svmLinear,ap,22,0.961988304093567,0.941348973607038
glass,svmLinear,ap,16,0.73394495412844,0.59047619047619
vowel-context,svmLinear,ap,44,0.638383838383838,0.498989898989899
iris,svmLinear,ap,6,0.866666666666667,0.853333333333333
pima-indians-diabetes,svmLinear,ap,34,0.755208333333333,0.708333333333333
sonar.all,svmLinear,ap,14,0.695238095238095,0.58252427184466
image-segmentation,svmLinear,ap,56,0.860606060606061,0.844155844155844
ionosphere,svmLinear,ap,28,0.869318181818182,0.862857142857143
statlog-vehicle,svmLinear,ap,26,0.610849056603774,0.514218009478673
optdigits,svmLinear,ap,174,0.946993952330132,0.932716269134923
statlog-satimage,svmLinear,ap,73,0.867350108729419,0.860074626865672
pendigits,svmLinear,ap,134,0.972904164393526,0.972510467868196
wine,svmLinear,ap,8,0.933333333333333,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,22,0.976608187134503,0.953079178885631
glass,svmLinear,ap,16,0.577981651376147,0.552380952380952
vowel-context,svmLinear,ap,43,0.618181818181818,0.515151515151515
iris,svmLinear,ap,6,0.893333333333333,0.853333333333333
pima-indians-diabetes,svmLinear,ap,36,0.765625,0.7109375
sonar.all,svmLinear,ap,14,0.761904761904762,0.70873786407767
image-segmentation,svmLinear,ap,59,0.869264069264069,0.846753246753247
ionosphere,svmLinear,ap,33,0.931818181818182,0.845714285714286
statlog-vehicle,svmLinear,ap,28,0.622641509433962,0.554502369668246
optdigits,svmLinear,ap,177,0.947705442902882,0.934852260590958
statlog-satimage,svmLinear,ap,72,0.867350108729419,0.851990049751244
pendigits,svmLinear,ap,137,0.973813420621931,0.970325869288185
wine,svmLinear,ap,9,0.922222222222222,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,22,0.970760233918129,0.961876832844575
yeast,svmLinear,ap,58,0.629530201342282,0.562922868741543
glass,svmLinear,ap,15,0.697247706422018,0.504761904761905
vowel-context,svmLinear,ap,42,0.634343434343434,0.488888888888889
iris,svmLinear,ap,6,0.866666666666667,0.866666666666667
pima-indians-diabetes,svmLinear,ap,37,0.768229166666667,0.734375
sonar.all,svmLinear,ap,17,0.79047619047619,0.679611650485437
image-segmentation,svmLinear,ap,54,0.87012987012987,0.834632034632035
ionosphere,svmLinear,ap,31,0.903409090909091,0.851428571428571
statlog-vehicle,svmLinear,ap,25,0.556603773584906,0.502369668246445
optdigits,svmLinear,ap,182,0.953397367484881,0.941616233535066
statlog-satimage,svmLinear,ap,73,0.868592730661696,0.856965174129353
pendigits,svmLinear,ap,132,0.973813420621931,0.971054068814855
breast-cancer-wisconsin,svmLinear,ap,21,0.973684210526316,0.964809384164223
yeast,svmLinear,ap,61,0.595973154362416,0.556156968876861
glass,svmLinear,ap,20,0.73394495412844,0.666666666666667
vowel-context,svmLinear,ap,42,0.6,0.503030303030303
iris,svmLinear,ap,5,0.853333333333333,0.866666666666667
pima-indians-diabetes,svmLinear,ap,37,0.783854166666667,0.7109375
sonar.all,svmLinear,ap,17,0.8,0.669902912621359
image-segmentation,svmLinear,ap,51,0.868398268398268,0.845887445887446
ionosphere,svmLinear,ap,27,0.920454545454545,0.834285714285714
statlog-vehicle,svmLinear,ap,25,0.641509433962264,0.57345971563981
optdigits,svmLinear,ap,184,0.958022056207755,0.94126023495906
statlog-satimage,svmLinear,ap,69,0.858651755203479,0.857898009950249
pendigits,svmLinear,ap,133,0.96999454446263,0.970325869288185
wine,svmLinear,ap,9,0.922222222222222,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,24,0.967836257309941,0.953079178885631
yeast,svmLinear,ap,57,0.601342281879195,0.561569688768606
glass,svmLinear,ap,18,0.623853211009174,0.542857142857143
vowel-context,svmLinear,ap,45,0.6,0.515151515151515
iris,svmLinear,ap,5,0.88,0.826666666666667
pima-indians-diabetes,svmLinear,ap,32,0.739583333333333,0.768229166666667
sonar.all,svmLinear,ap,14,0.742857142857143,0.718446601941748
image-segmentation,svmLinear,ap,55,0.868398268398268,0.841558441558442
ionosphere,svmLinear,ap,30,0.880681818181818,0.897142857142857
statlog-vehicle,svmLinear,ap,27,0.658018867924528,0.568720379146919
optdigits,svmLinear,ap,180,0.949128424048381,0.945176219295123
statlog-satimage,svmLinear,ap,73,0.863000931966449,0.854166666666667
pendigits,svmLinear,ap,140,0.973267866884888,0.966684871654833
wine,svmLinear,ap,11,0.933333333333333,0.909090909090909
breast-cancer-wisconsin,svmLinear,ap,21,0.967836257309941,0.967741935483871
yeast,svmLinear,ap,58,0.614765100671141,0.572395128552097
glass,svmLinear,ap,16,0.623853211009174,0.552380952380952
vowel-context,svmLinear,ap,46,0.612121212121212,0.515151515151515
iris,svmLinear,ap,5,0.893333333333333,0.866666666666667
pima-indians-diabetes,svmLinear,ap,36,0.763020833333333,0.71875
sonar.all,svmLinear,ap,15,0.742857142857143,0.728155339805825
image-segmentation,svmLinear,ap,50,0.878787878787879,0.870995670995671
ionosphere,svmLinear,ap,25,0.869318181818182,0.908571428571429
statlog-vehicle,svmLinear,ap,26,0.622641509433962,0.530805687203792
optdigits,svmLinear,ap,177,0.948416933475631,0.94624421502314
statlog-satimage,svmLinear,ap,74,0.868592730661696,0.855721393034826
pendigits,svmLinear,ap,139,0.971449354428078,0.967413071181504
wine,svmLinear,ap,9,0.9,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,21,0.970760233918129,0.956011730205279
glass,svmLinear,ap,16,0.596330275229358,0.419047619047619
vowel-context,svmLinear,ap,44,0.638383838383838,0.478787878787879
iris,svmLinear,ap,7,0.853333333333333,0.853333333333333
pima-indians-diabetes,svmLinear,ap,36,0.75,0.713541666666667
sonar.all,svmLinear,ap,16,0.80952380952381,0.660194174757282
image-segmentation,svmLinear,ap,55,0.870995670995671,0.838095238095238
ionosphere,svmLinear,ap,27,0.909090909090909,0.862857142857143
statlog-vehicle,svmLinear,ap,30,0.658018867924528,0.580568720379147
optdigits,svmLinear,ap,176,0.951974386339381,0.938056247775009
statlog-satimage,svmLinear,ap,73,0.860515688101895,0.855410447761194
pendigits,svmLinear,ap,137,0.974722676850336,0.97068996905152
wine,svmLinear,ap,10,0.944444444444444,0.886363636363636
breast-cancer-wisconsin,svmLinear,ap,23,0.95906432748538,0.970674486803519
glass,svmLinear,ap,17,0.596330275229358,0.561904761904762
vowel-context,svmLinear,ap,41,0.626262626262626,0.539393939393939
iris,svmLinear,ap,7,0.92,0.88
pima-indians-diabetes,svmLinear,ap,33,0.744791666666667,0.729166666666667
sonar.all,svmLinear,ap,20,0.79047619047619,0.728155339805825
image-segmentation,svmLinear,ap,52,0.861471861471861,0.845021645021645
ionosphere,svmLinear,ap,28,0.880681818181818,0.897142857142857
statlog-vehicle,svmLinear,ap,26,0.643867924528302,0.540284360189573
optdigits,svmLinear,ap,177,0.956599075062255,0.939124243503026
statlog-satimage,svmLinear,ap,70,0.861136999068034,0.859141791044776
pendigits,svmLinear,ap,138,0.976541189307147,0.974877116329874
wine,svmLinear,ap,11,0.9,0.909090909090909
breast-cancer-wisconsin,svmLinear,ap,19,0.953216374269006,0.967741935483871
glass,svmLinear,ap,18,0.660550458715596,0.571428571428571
vowel-context,svmLinear,ap,48,0.656565656565657,0.555555555555556
iris,svmLinear,ap,5,0.853333333333333,0.826666666666667
pima-indians-diabetes,svmLinear,ap,35,0.7578125,0.703125
sonar.all,svmLinear,ap,15,0.79047619047619,0.699029126213592
image-segmentation,svmLinear,ap,52,0.885714285714286,0.848484848484849
ionosphere,svmLinear,ap,27,0.914772727272727,0.862857142857143
statlog-vehicle,svmLinear,ap,28,0.629716981132076,0.582938388625592
optdigits,svmLinear,ap,179,0.942369263607257,0.941616233535066
statlog-satimage,svmLinear,ap,73,0.860205032618826,0.852922885572139
pendigits,svmLinear,ap,137,0.972722313147845,0.972874567631531
