Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,6,0.911111111111111,0.943181818181818
breast-cancer-wisconsin,svmLinear,ap,23,0.973684210526316,0.958944281524927
yeast,svmLinear,ap,58,0.579865771812081,0.557510148849797
glass,svmLinear,ap,16,0.605504587155963,0.495238095238095
ecoli,svmLinear,ap,12,0.876470588235294,0.789156626506024
vowel-context,svmLinear,ap,47,0.63030303030303,0.563636363636364
iris,svmLinear,ap,6,0.88,0.973333333333333
pima-indians-diabetes,svmLinear,ap,37,0.744791666666667,0.6953125
sonar.all,svmLinear,ap,15,0.742857142857143,0.621359223300971
image-segmentation,svmLinear,ap,58,0.878787878787879,0.851948051948052
ionosphere,svmLinear,ap,29,0.903409090909091,0.862857142857143
spectrometer,svmLinear,ap,27,0.393617021276596,0.345381526104418
statlog-vehicle,svmLinear,ap,25,0.636792452830189,0.542654028436019
optdigits,svmLinear,ap,182,0.952685876912131,0.950516197935208
statlog-satimage,svmLinear,ap,72,0.871699285492389,0.854477611940298
pendigits,svmLinear,ap,139,0.974177123113293,0.971054068814855
wine,svmLinear,ap,11,0.955555555555556,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,22,0.976608187134503,0.956011730205279
yeast,svmLinear,ap,58,0.605369127516779,0.554803788903924
glass,svmLinear,ap,17,0.651376146788991,0.447619047619048
ecoli,svmLinear,ap,13,0.864705882352941,0.837349397590361
vowel-context,svmLinear,ap,46,0.618181818181818,0.525252525252525
iris,svmLinear,ap,7,0.853333333333333,0.866666666666667
pima-indians-diabetes,svmLinear,ap,33,0.783854166666667,0.6875
sonar.all,svmLinear,ap,17,0.742857142857143,0.679611650485437
image-segmentation,svmLinear,ap,55,0.874458874458874,0.841558441558442
ionosphere,svmLinear,ap,27,0.914772727272727,0.851428571428571
spectrometer,svmLinear,ap,28,0.386524822695035,0.357429718875502
statlog-vehicle,svmLinear,ap,30,0.655660377358491,0.556872037914692
optdigits,svmLinear,ap,176,0.954464603344006,0.927020291918832
statlog-satimage,svmLinear,ap,72,0.875116495806151,0.852922885572139
pendigits,svmLinear,ap,134,0.974904528096017,0.970507919169853
wine,svmLinear,ap,9,0.933333333333333,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,18,0.95906432748538,0.979472140762463
yeast,svmLinear,ap,57,0.597315436241611,0.538565629228687
glass,svmLinear,ap,13,0.596330275229358,0.571428571428571
