Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,9,0.988888888888889,0.965909090909091
breast-cancer-wisconsin,svmLinear,ap,21,0.976608187134503,0.967741935483871
yeast,svmLinear,ap,54,0.640268456375839,0.610284167794317
glass,svmLinear,ap,16,0.752293577981651,0.742857142857143
vowel-context,svmLinear,ap,44,0.957575757575758,0.892929292929293
iris,svmLinear,ap,5,0.946666666666667,0.933333333333333
pima-indians-diabetes,svmLinear,ap,31,0.794270833333333,0.744791666666667
sonar.all,svmLinear,ap,14,0.885714285714286,0.747572815533981
image-segmentation,svmLinear,ap,55,0.948917748917749,0.928138528138528
ionosphere,svmLinear,ap,29,0.977272727272727,0.902857142857143
statlog-vehicle,svmLinear,ap,26,0.766509433962264,0.729857819905213
optdigits,svmLinear,ap,179,0.996086801849876,0.972944108223567
statlog-satimage,svmLinear,ap,70,0.904939422180801,0.880907960199005
pendigits,svmLinear,ap,137,0.994908165120931,0.992171855088294
wine,svmLinear,ap,9,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,22,0.985380116959064,0.967741935483871
yeast,svmLinear,ap,52,0.667114093959732,0.599458728010825
glass,svmLinear,ap,16,0.798165137614679,0.647619047619048
vowel-context,svmLinear,ap,44,0.951515151515152,0.884848484848485
iris,svmLinear,ap,6,0.933333333333333,0.906666666666667
pima-indians-diabetes,svmLinear,ap,35,0.791666666666667,0.765625
sonar.all,svmLinear,ap,18,0.857142857142857,0.805825242718447
image-segmentation,svmLinear,ap,51,0.954978354978355,0.922943722943723
ionosphere,svmLinear,ap,29,0.965909090909091,0.937142857142857
statlog-vehicle,svmLinear,ap,27,0.766509433962264,0.720379146919431
optdigits,svmLinear,ap,172,0.995019565990751,0.970096119615522
statlog-satimage,svmLinear,ap,71,0.895930413171792,0.889925373134328
pendigits,svmLinear,ap,139,0.995453718857974,0.989805206626616
wine,svmLinear,ap,8,0.988888888888889,0.965909090909091
breast-cancer-wisconsin,svmLinear,ap,22,0.973684210526316,0.973607038123167
yeast,svmLinear,ap,56,0.636241610738255,0.607577807848444
glass,svmLinear,ap,16,0.770642201834862,0.666666666666667
vowel-context,svmLinear,ap,44,0.955555555555556,0.866666666666667
iris,svmLinear,ap,6,0.96,0.893333333333333
pima-indians-diabetes,svmLinear,ap,38,0.807291666666667,0.7734375
sonar.all,svmLinear,ap,21,0.876190476190476,0.805825242718447
image-segmentation,svmLinear,ap,54,0.945454545454545,0.917748917748918
ionosphere,svmLinear,ap,30,0.971590909090909,0.937142857142857
statlog-vehicle,svmLinear,ap,25,0.773584905660377,0.684834123222749
optdigits,svmLinear,ap,181,0.996798292422625,0.973300106799573
statlog-satimage,svmLinear,ap,75,0.902143522833178,0.896455223880597
pendigits,svmLinear,ap,137,0.995635570103655,0.992900054614965
wine,svmLinear,ap,10,1,0.954545454545455
breast-cancer-wisconsin,svmLinear,ap,21,0.985380116959064,0.961876832844575
yeast,svmLinear,ap,56,0.651006711409396,0.584573748308525
glass,svmLinear,ap,18,0.788990825688073,0.657142857142857
vowel-context,svmLinear,ap,47,0.955555555555556,0.870707070707071
iris,svmLinear,ap,7,0.906666666666667,0.946666666666667
pima-indians-diabetes,svmLinear,ap,34,0.809895833333333,0.768229166666667
sonar.all,svmLinear,ap,16,0.914285714285714,0.766990291262136
image-segmentation,svmLinear,ap,50,0.950649350649351,0.922943722943723
ionosphere,svmLinear,ap,30,0.954545454545455,0.942857142857143
statlog-vehicle,svmLinear,ap,27,0.745283018867924,0.684834123222749
optdigits,svmLinear,ap,182,0.995019565990751,0.973656105375578
statlog-satimage,svmLinear,ap,65,0.902143522833178,0.891480099502488
pendigits,svmLinear,ap,137,0.996181123840698,0.988894957218278
wine,svmLinear,ap,10,1,0.943181818181818
breast-cancer-wisconsin,svmLinear,ap,21,0.976608187134503,0.956011730205279
yeast,svmLinear,ap,58,0.649664429530201,0.59404600811908
glass,svmLinear,ap,19,0.743119266055046,0.704761904761905
vowel-context,svmLinear,ap,46,0.945454545454545,0.878787878787879
iris,svmLinear,ap,6,0.906666666666667,0.946666666666667
pima-indians-diabetes,svmLinear,ap,34,0.828125,0.736979166666667
sonar.all,svmLinear,ap,19,0.904761904761905,0.796116504854369
image-segmentation,svmLinear,ap,56,0.951515151515152,0.934199134199134
ionosphere,svmLinear,ap,25,0.960227272727273,0.948571428571429
statlog-vehicle,svmLinear,ap,27,0.778301886792453,0.713270142180095
optdigits,svmLinear,ap,182,0.995375311277126,0.975436098255607
statlog-satimage,svmLinear,ap,70,0.890649269959615,0.900497512437811
pendigits,svmLinear,ap,135,0.99472631387525,0.988348807573275
wine,svmLinear,ap,9,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,ap,22,0.967836257309941,0.979472140762463
yeast,svmLinear,ap,55,0.648322147651007,0.607577807848444
glass,svmLinear,ap,17,0.779816513761468,0.676190476190476
vowel-context,svmLinear,ap,45,0.94949494949495,0.894949494949495
iris,svmLinear,ap,5,0.92,0.893333333333333
pima-indians-diabetes,svmLinear,ap,35,0.799479166666667,0.768229166666667
sonar.all,svmLinear,ap,18,0.895238095238095,0.815533980582524
image-segmentation,svmLinear,ap,53,0.943722943722944,0.922943722943723
ionosphere,svmLinear,ap,28,0.960227272727273,0.937142857142857
statlog-vehicle,svmLinear,ap,28,0.778301886792453,0.68957345971564
optdigits,svmLinear,ap,179,0.996086801849876,0.970452118191527
statlog-satimage,svmLinear,ap,68,0.896241068654862,0.897077114427861
pendigits,svmLinear,ap,131,0.995635570103655,0.988348807573275
wine,svmLinear,ap,10,0.988888888888889,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,22,0.97953216374269,0.950146627565982
yeast,svmLinear,ap,56,0.648322147651007,0.591339648173207
glass,svmLinear,ap,17,0.761467889908257,0.676190476190476
vowel-context,svmLinear,ap,43,0.955555555555556,0.872727272727273
iris,svmLinear,ap,5,0.92,0.946666666666667
pima-indians-diabetes,svmLinear,ap,39,0.802083333333333,0.752604166666667
sonar.all,svmLinear,ap,16,0.838095238095238,0.737864077669903
image-segmentation,svmLinear,ap,56,0.943722943722944,0.946320346320346
ionosphere,svmLinear,ap,27,0.965909090909091,0.931428571428571
statlog-vehicle,svmLinear,ap,26,0.747641509433962,0.672985781990521
optdigits,svmLinear,ap,187,0.995019565990751,0.975080099679601
statlog-satimage,svmLinear,ap,72,0.900279589934762,0.891169154228856
pendigits,svmLinear,ap,136,0.99654482633206,0.988894957218278
wine,svmLinear,ap,10,0.988888888888889,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,21,0.97953216374269,0.967741935483871
yeast,svmLinear,ap,57,0.673825503355705,0.580514208389716
glass,svmLinear,ap,18,0.770642201834862,0.695238095238095
vowel-context,svmLinear,ap,47,0.965656565656566,0.888888888888889
iris,svmLinear,ap,6,0.92,0.906666666666667
pima-indians-diabetes,svmLinear,ap,35,0.809895833333333,0.7734375
sonar.all,svmLinear,ap,18,0.885714285714286,0.776699029126214
image-segmentation,svmLinear,ap,59,0.942857142857143,0.922943722943723
ionosphere,svmLinear,ap,27,0.965909090909091,0.937142857142857
statlog-vehicle,svmLinear,ap,26,0.764150943396226,0.720379146919431
optdigits,svmLinear,ap,183,0.995375311277126,0.978996084015664
statlog-satimage,svmLinear,ap,72,0.899036968002485,0.890858208955224
pendigits,svmLinear,ap,135,0.99654482633206,0.98798470780994
wine,svmLinear,ap,9,0.977777777777778,0.988636363636364
breast-cancer-wisconsin,svmLinear,ap,21,0.985380116959064,0.967741935483871
yeast,svmLinear,ap,53,0.63758389261745,0.614343707713126
glass,svmLinear,ap,20,0.779816513761468,0.714285714285714
vowel-context,svmLinear,ap,46,0.943434343434343,0.870707070707071
iris,svmLinear,ap,6,0.933333333333333,0.893333333333333
pima-indians-diabetes,svmLinear,ap,35,0.778645833333333,0.776041666666667
sonar.all,svmLinear,ap,15,0.904761904761905,0.766990291262136
image-segmentation,svmLinear,ap,54,0.946320346320346,0.937662337662338
ionosphere,svmLinear,ap,31,0.982954545454545,0.942857142857143
statlog-vehicle,svmLinear,ap,27,0.797169811320755,0.672985781990521
optdigits,svmLinear,ap,183,0.996086801849876,0.97187611249555
statlog-satimage,svmLinear,ap,71,0.896241068654862,0.893345771144279
pendigits,svmLinear,ap,134,0.996908528823422,0.988348807573275
wine,svmLinear,ap,9,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,21,0.976608187134503,0.953079178885631
yeast,svmLinear,ap,58,0.646979865771812,0.595399188092016
glass,svmLinear,ap,15,0.752293577981651,0.695238095238095
vowel-context,svmLinear,ap,43,0.94949494949495,0.878787878787879
iris,svmLinear,ap,6,0.92,0.933333333333333
pima-indians-diabetes,svmLinear,ap,31,0.796875,0.744791666666667
sonar.all,svmLinear,ap,18,0.866666666666667,0.718446601941748
image-segmentation,svmLinear,ap,58,0.952380952380952,0.913419913419913
ionosphere,svmLinear,ap,31,0.971590909090909,0.937142857142857
statlog-vehicle,svmLinear,ap,28,0.75,0.706161137440758
optdigits,svmLinear,ap,177,0.997154037709,0.970452118191527
statlog-satimage,svmLinear,ap,77,0.897483690587139,0.894278606965174
pendigits,svmLinear,ap,137,0.995271867612293,0.992353904969962
ecoli,svmLinear,ap,14,0.894117647058824,0.873493975903614
spectrometer,svmLinear,ap,27,0.684397163120567,0.522088353413655
ecoli,svmLinear,ap,12,0.917647058823529,0.855421686746988
spectrometer,svmLinear,ap,28,0.698581560283688,0.562248995983936
ecoli,svmLinear,ap,13,0.929411764705882,0.831325301204819
spectrometer,svmLinear,ap,28,0.702127659574468,0.530120481927711
ecoli,svmLinear,ap,13,0.894117647058824,0.855421686746988
spectrometer,svmLinear,ap,28,0.716312056737589,0.538152610441767
ecoli,svmLinear,ap,14,0.882352941176471,0.86144578313253
spectrometer,svmLinear,ap,29,0.712765957446808,0.538152610441767
ecoli,svmLinear,ap,15,0.917647058823529,0.837349397590361
spectrometer,svmLinear,ap,27,0.684397163120567,0.522088353413655
ecoli,svmLinear,ap,15,0.911764705882353,0.807228915662651
spectrometer,svmLinear,ap,27,0.677304964539007,0.506024096385542
ecoli,svmLinear,ap,12,0.929411764705882,0.825301204819277
spectrometer,svmLinear,ap,28,0.687943262411348,0.542168674698795
ecoli,svmLinear,ap,15,0.941176470588235,0.831325301204819
spectrometer,svmLinear,ap,30,0.698581560283688,0.550200803212851
ecoli,svmLinear,ap,12,0.917647058823529,0.831325301204819
spectrometer,svmLinear,ap,27,0.673758865248227,0.546184738955823
