Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,9,0.966666666666667,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,22,0.973684210526316,0.961876832844575
yeast,svmLinear,ap,54,0.663087248322148,0.561569688768606
glass,svmLinear,ap,16,0.623853211009174,0.638095238095238
ecoli,svmLinear,ap,12,0.817647058823529,0.807228915662651
vowel-context,svmLinear,ap,45,0.432323232323232,0.288888888888889
iris,svmLinear,ap,6,0.92,0.84
pima-indians-diabetes,svmLinear,ap,37,0.799479166666667,0.7421875
sonar.all,svmLinear,ap,17,0.771428571428571,0.699029126213592
image-segmentation,svmLinear,ap,54,0.826839826839827,0.807792207792208
ionosphere,svmLinear,ap,33,0.829545454545455,0.702857142857143
spectrometer,svmLinear,ap,28,0.521276595744681,0.413654618473896
statlog-vehicle,svmLinear,ap,27,0.716981132075472,0.59478672985782
optdigits,svmLinear,ap,179,0.986481679117752,0.96689213243147
statlog-satimage,svmLinear,ap,72,0.902454178316247,0.89863184079602
pendigits,svmLinear,ap,133,0.986906710310966,0.984343710176588
wine,svmLinear,ap,8,0.977777777777778,0.943181818181818
breast-cancer-wisconsin,svmLinear,ap,21,0.976608187134503,0.947214076246334
yeast,svmLinear,ap,57,0.61744966442953,0.552097428958051
glass,svmLinear,ap,16,0.541284403669725,0.380952380952381
ecoli,svmLinear,ap,11,0.805882352941176,0.795180722891566
vowel-context,svmLinear,ap,45,0.375757575757576,0.2
iris,svmLinear,ap,5,0.84,0.84
pima-indians-diabetes,svmLinear,ap,33,0.776041666666667,0.697916666666667
sonar.all,svmLinear,ap,15,0.657142857142857,0.669902912621359
image-segmentation,svmLinear,ap,58,0.85974025974026,0.823376623376623
ionosphere,svmLinear,ap,30,0.789772727272727,0.668571428571429
spectrometer,svmLinear,ap,26,0.49645390070922,0.385542168674699
statlog-vehicle,svmLinear,ap,28,0.695754716981132,0.630331753554502
optdigits,svmLinear,ap,181,0.984702952685877,0.962620149519402
statlog-satimage,svmLinear,ap,71,0.912705809257533,0.887437810945274
pendigits,svmLinear,ap,141,0.99127114020731,0.984161660294921
wine,svmLinear,ap,10,0.966666666666667,0.943181818181818
breast-cancer-wisconsin,svmLinear,ap,18,0.956140350877193,0.953079178885631
yeast,svmLinear,ap,61,0.671140939597315,0.571041948579161
glass,svmLinear,ap,17,0.541284403669725,0.438095238095238
ecoli,svmLinear,ap,11,0.794117647058823,0.771084337349398
vowel-context,svmLinear,ap,45,0.84040404040404,0.741414141414141
iris,svmLinear,ap,6,0.88,0.84
pima-indians-diabetes,svmLinear,ap,35,0.7890625,0.71875
sonar.all,svmLinear,ap,13,0.647619047619048,0.58252427184466
image-segmentation,svmLinear,ap,57,0.306493506493506,0.242424242424242
ionosphere,svmLinear,ap,30,0.795454545454545,0.645714285714286
spectrometer,svmLinear,ap,29,0.49290780141844,0.377510040160643
statlog-vehicle,svmLinear,ap,26,0.667452830188679,0.606635071090047
optdigits,svmLinear,ap,180,0.985414443258627,0.970808116767533
