Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,sc,10,0.988888888888889,0.988636363636364
breast-cancer-wisconsin,svmLinear,sc,25,0.976608187134503,0.958944281524927
yeast,svmLinear,sc,58,0.632214765100671,0.617050067658999
glass,svmLinear,sc,16,0.743119266055046,0.685714285714286
ecoli,svmLinear,sc,13,0.929411764705882,0.849397590361446
vowel-context,svmLinear,sc,45,0.951515151515152,0.866666666666667
iris,svmLinear,sc,6,0.933333333333333,0.92
pima-indians-diabetes,svmLinear,sc,35,0.78125,0.765625
sonar.all,svmLinear,sc,16,0.895238095238095,0.747572815533981
image-segmentation,svmLinear,sc,56,0.937662337662338,0.933333333333333
ionosphere,svmLinear,sc,29,0.977272727272727,0.931428571428571
spectrometer,svmLinear,sc,29,0.684397163120567,0.55421686746988
statlog-vehicle,svmLinear,sc,27,0.768867924528302,0.713270142180095
optdigits,svmLinear,sc,178,0.995731056563501,0.970808116767533
statlog-satimage,svmLinear,sc,73,0.891270580925753,0.891480099502488
pendigits,svmLinear,sc,136,0.995453718857974,0.991079555798289
wine,svmLinear,sc,10,1,0.965909090909091
breast-cancer-wisconsin,svmLinear,sc,25,0.976608187134503,0.976539589442815
yeast,svmLinear,sc,58,0.63758389261745,0.599458728010825
glass,svmLinear,sc,16,0.752293577981651,0.714285714285714
ecoli,svmLinear,sc,13,0.905882352941176,0.849397590361446
vowel-context,svmLinear,sc,45,0.951515151515152,0.864646464646465
iris,svmLinear,sc,6,0.96,0.866666666666667
pima-indians-diabetes,svmLinear,sc,35,0.783854166666667,0.776041666666667
sonar.all,svmLinear,sc,16,0.885714285714286,0.757281553398058
image-segmentation,svmLinear,sc,56,0.946320346320346,0.923809523809524
ionosphere,svmLinear,sc,29,0.971590909090909,0.925714285714286
spectrometer,svmLinear,sc,29,0.695035460992908,0.570281124497992
statlog-vehicle,svmLinear,sc,27,0.754716981132076,0.708530805687204
optdigits,svmLinear,sc,178,0.995019565990751,0.974724101103596
statlog-satimage,svmLinear,sc,73,0.89251320285803,0.885883084577114
pendigits,svmLinear,sc,136,0.995090016366612,0.991261605679956
wine,svmLinear,sc,10,1,0.965909090909091
breast-cancer-wisconsin,svmLinear,sc,25,0.982456140350877,0.967741935483871
yeast,svmLinear,sc,58,0.632214765100671,0.600811907983762
glass,svmLinear,sc,16,0.752293577981651,0.742857142857143
ecoli,svmLinear,sc,13,0.876470588235294,0.843373493975904
vowel-context,svmLinear,sc,45,0.961616161616162,0.886868686868687
iris,svmLinear,sc,6,0.946666666666667,0.946666666666667
pima-indians-diabetes,svmLinear,sc,35,0.802083333333333,0.776041666666667
sonar.all,svmLinear,sc,16,0.895238095238095,0.699029126213592
image-segmentation,svmLinear,sc,56,0.946320346320346,0.923809523809524
ionosphere,svmLinear,sc,29,0.960227272727273,0.948571428571429
spectrometer,svmLinear,sc,29,0.673758865248227,0.526104417670683
statlog-vehicle,svmLinear,sc,27,0.752358490566038,0.682464454976303
optdigits,svmLinear,sc,178,0.993240839558876,0.975080099679601
statlog-satimage,svmLinear,sc,73,0.892202547374961,0.896144278606965
pendigits,svmLinear,sc,136,0.995090016366612,0.991079555798289
wine,svmLinear,sc,10,1,0.965909090909091
breast-cancer-wisconsin,svmLinear,sc,25,0.970760233918129,0.967741935483871
yeast,svmLinear,sc,58,0.661744966442953,0.592692828146143
glass,svmLinear,sc,16,0.743119266055046,0.685714285714286
ecoli,svmLinear,sc,13,0.905882352941176,0.855421686746988
vowel-context,svmLinear,sc,45,0.94949494949495,0.874747474747475
iris,svmLinear,sc,6,0.92,0.906666666666667
pima-indians-diabetes,svmLinear,sc,35,0.791666666666667,0.78125
sonar.all,svmLinear,sc,16,0.847619047619048,0.815533980582524
