Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,19,0.955555555555556,0.886363636363636
breast-cancer-wisconsin,svmLinear,ap,44,0.991228070175439,0.953079178885631
yeast,svmLinear,ap,102,0.668456375838926,0.592692828146143
glass,svmLinear,ap,27,0.715596330275229,0.60952380952381
ecoli,svmLinear,ap,35,0.882352941176471,0.879518072289157
vowel-context,svmLinear,ap,80,0.925252525252525,0.846464646464646
iris,svmLinear,ap,13,0.893333333333333,0.88
pima-indians-diabetes,svmLinear,ap,42,0.8125,0.755208333333333
sonar.all,svmLinear,ap,20,0.771428571428571,0.650485436893204
image-segmentation,svmLinear,ap,117,0.94978354978355,0.932467532467532
ionosphere,svmLinear,ap,15,0.931818181818182,0.908571428571429
statlog-vehicle,svmLinear,ap,44,0.804245283018868,0.720379146919431
optdigits,svmLinear,ap,301,0.99786552828175,0.972944108223567
statlog-satimage,svmLinear,ap,193,0.895930413171792,0.889925373134328
pendigits,svmLinear,ap,309,0.996726677577741,0.991261605679956
wine,svmLinear,ap,18,0.988888888888889,0.909090909090909
breast-cancer-wisconsin,svmLinear,ap,48,0.97953216374269,0.964809384164223
yeast,svmLinear,ap,111,0.665771812080537,0.588633288227334
glass,svmLinear,ap,24,0.678899082568807,0.666666666666667
ecoli,svmLinear,ap,35,0.876470588235294,0.837349397590361
vowel-context,svmLinear,ap,76,0.925252525252525,0.84040404040404
iris,svmLinear,ap,15,0.906666666666667,0.906666666666667
pima-indians-diabetes,svmLinear,ap,41,0.807291666666667,0.755208333333333
sonar.all,svmLinear,ap,18,0.79047619047619,0.621359223300971
image-segmentation,svmLinear,ap,117,0.939393939393939,0.932467532467532
ionosphere,svmLinear,ap,14,0.954545454545455,0.902857142857143
spectrometer,svmLinear,ap,97,0.74822695035461,0.465863453815261
statlog-vehicle,svmLinear,ap,46,0.790094339622642,0.722748815165877
optdigits,svmLinear,ap,312,0.997509782995375,0.973656105375578
statlog-satimage,svmLinear,ap,206,0.900590245417832,0.888059701492537
pendigits,svmLinear,ap,301,0.996726677577741,0.992171855088294
wine,svmLinear,ap,20,1,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,49,0.982456140350877,0.953079178885631
yeast,svmLinear,ap,108,0.656375838926174,0.606224627875507
glass,svmLinear,ap,27,0.688073394495413,0.638095238095238
ecoli,svmLinear,ap,35,0.917647058823529,0.855421686746988
vowel-context,svmLinear,ap,84,0.927272727272727,0.83030303030303
iris,svmLinear,ap,14,0.92,0.866666666666667
pima-indians-diabetes,svmLinear,ap,44,0.799479166666667,0.763020833333333
sonar.all,svmLinear,ap,20,0.742857142857143,0.689320388349515
image-segmentation,svmLinear,ap,121,0.948051948051948,0.929004329004329
ionosphere,svmLinear,ap,17,0.926136363636364,0.954285714285714
statlog-vehicle,svmLinear,ap,37,0.806603773584906,0.699052132701422
optdigits,svmLinear,ap,303,0.997509782995375,0.973300106799573
statlog-satimage,svmLinear,ap,206,0.895619757688723,0.891480099502488
pendigits,svmLinear,ap,296,0.996726677577741,0.991443655561624
wine,svmLinear,ap,18,0.977777777777778,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,45,0.994152046783626,0.956011730205279
yeast,svmLinear,ap,104,0.656375838926174,0.600811907983762
glass,svmLinear,ap,25,0.660550458715596,0.638095238095238
ecoli,svmLinear,ap,33,0.894117647058824,0.825301204819277
vowel-context,svmLinear,ap,87,0.921212121212121,0.854545454545454
iris,svmLinear,ap,15,0.973333333333333,0.853333333333333
pima-indians-diabetes,svmLinear,ap,43,0.8203125,0.760416666666667
sonar.all,svmLinear,ap,20,0.761904761904762,0.776699029126214
image-segmentation,svmLinear,ap,119,0.94025974025974,0.935064935064935
ionosphere,svmLinear,ap,15,0.920454545454545,0.931428571428571
statlog-vehicle,svmLinear,ap,41,0.773584905660377,0.71563981042654
optdigits,svmLinear,ap,306,0.997154037709,0.973656105375578
statlog-satimage,svmLinear,ap,195,0.900279589934762,0.885261194029851
pendigits,svmLinear,ap,298,0.997272231314784,0.989987256508283
wine,svmLinear,ap,19,0.977777777777778,0.909090909090909
breast-cancer-wisconsin,svmLinear,ap,45,0.982456140350877,0.953079178885631
yeast,svmLinear,ap,106,0.659060402684564,0.610284167794317
glass,svmLinear,ap,23,0.688073394495413,0.619047619047619
ecoli,svmLinear,ap,39,0.894117647058824,0.879518072289157
vowel-context,svmLinear,ap,86,0.903030303030303,0.834343434343434
iris,svmLinear,ap,13,0.946666666666667,0.853333333333333
pima-indians-diabetes,svmLinear,ap,46,0.815104166666667,0.770833333333333
sonar.all,svmLinear,ap,21,0.742857142857143,0.728155339805825
image-segmentation,svmLinear,ap,130,0.946320346320346,0.932467532467532
ionosphere,svmLinear,ap,15,0.880681818181818,0.862857142857143
statlog-vehicle,svmLinear,ap,40,0.792452830188679,0.718009478672986
optdigits,svmLinear,ap,307,0.99786552828175,0.975080099679601
statlog-satimage,svmLinear,ap,193,0.905871388630009,0.883084577114428
pendigits,svmLinear,ap,311,0.997635933806147,0.991079555798289
wine,svmLinear,ap,18,0.966666666666667,0.909090909090909
breast-cancer-wisconsin,svmLinear,ap,48,0.970760233918129,0.976539589442815
yeast,svmLinear,ap,107,0.661744966442953,0.584573748308525
glass,svmLinear,ap,30,0.743119266055046,0.60952380952381
ecoli,svmLinear,ap,32,0.929411764705882,0.807228915662651
vowel-context,svmLinear,ap,86,0.927272727272727,0.846464646464646
iris,svmLinear,ap,16,0.893333333333333,0.893333333333333
pima-indians-diabetes,svmLinear,ap,44,0.770833333333333,0.783854166666667
sonar.all,svmLinear,ap,21,0.780952380952381,0.728155339805825
image-segmentation,svmLinear,ap,116,0.953246753246753,0.930735930735931
ionosphere,svmLinear,ap,16,0.9375,0.891428571428571
statlog-vehicle,svmLinear,ap,45,0.80188679245283,0.739336492890995
optdigits,svmLinear,ap,292,0.9985770188545,0.969740121039516
statlog-satimage,svmLinear,ap,202,0.903696800248524,0.882773631840796
pendigits,svmLinear,ap,312,0.997272231314784,0.990715456034954
wine,svmLinear,ap,20,0.977777777777778,0.920454545454545
breast-cancer-wisconsin,svmLinear,ap,47,0.988304093567251,0.961876832844575
yeast,svmLinear,ap,103,0.651006711409396,0.60893098782138
glass,svmLinear,ap,24,0.63302752293578,0.666666666666667
ecoli,svmLinear,ap,35,0.894117647058824,0.849397590361446
vowel-context,svmLinear,ap,81,0.907070707070707,0.84040404040404
iris,svmLinear,ap,14,0.933333333333333,0.866666666666667
pima-indians-diabetes,svmLinear,ap,45,0.7890625,0.752604166666667
sonar.all,svmLinear,ap,21,0.8,0.728155339805825
image-segmentation,svmLinear,ap,114,0.948917748917749,0.922943722943723
ionosphere,svmLinear,ap,16,0.897727272727273,0.857142857142857
spectrometer,svmLinear,ap,95,0.726950354609929,0.534136546184739
statlog-vehicle,svmLinear,ap,38,0.783018867924528,0.703791469194313
optdigits,svmLinear,ap,306,0.99786552828175,0.974724101103596
statlog-satimage,svmLinear,ap,192,0.896241068654862,0.897388059701492
pendigits,svmLinear,ap,303,0.995453718857974,0.992535954851629
wine,svmLinear,ap,19,0.955555555555556,0.852272727272727
breast-cancer-wisconsin,svmLinear,ap,46,0.985380116959064,0.953079178885631
yeast,svmLinear,ap,107,0.653691275167785,0.618403247631935
glass,svmLinear,ap,25,0.724770642201835,0.6
ecoli,svmLinear,ap,33,0.876470588235294,0.879518072289157
vowel-context,svmLinear,ap,87,0.894949494949495,0.814141414141414
iris,svmLinear,ap,14,0.946666666666667,0.84
pima-indians-diabetes,svmLinear,ap,48,0.8359375,0.747395833333333
sonar.all,svmLinear,ap,21,0.79047619047619,0.737864077669903
image-segmentation,svmLinear,ap,123,0.947186147186147,0.933333333333333
ionosphere,svmLinear,ap,15,0.920454545454545,0.937142857142857
spectrometer,svmLinear,ap,93,0.74113475177305,0.538152610441767
statlog-vehicle,svmLinear,ap,40,0.761792452830189,0.746445497630332
optdigits,svmLinear,ap,302,0.997509782995375,0.973656105375578
statlog-satimage,svmLinear,ap,197,0.90556073314694,0.885261194029851
pendigits,svmLinear,ap,304,0.997635933806147,0.989623156744948
wine,svmLinear,ap,20,0.977777777777778,0.897727272727273
breast-cancer-wisconsin,svmLinear,ap,43,0.988304093567251,0.967741935483871
yeast,svmLinear,ap,105,0.665771812080537,0.57510148849797
glass,svmLinear,ap,24,0.678899082568807,0.657142857142857
ecoli,svmLinear,ap,39,0.894117647058824,0.849397590361446
vowel-context,svmLinear,ap,87,0.880808080808081,0.850505050505051
iris,svmLinear,ap,13,0.92,0.893333333333333
