Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
breast-cancer-wisconsin,svmLinear,km,1,0.649122807017544,NaN
breast-cancer-wisconsin,svmLinear,km,2,0.95906432748538,0.979472140762463
breast-cancer-wisconsin,svmLinear,km,3,0.985380116959064,0.950146627565982
breast-cancer-wisconsin,svmLinear,km,4,0.973684210526316,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,5,0.976608187134503,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,6,0.970760233918129,0.976539589442815
breast-cancer-wisconsin,svmLinear,km,7,0.967836257309941,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,8,0.973684210526316,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,9,0.982456140350877,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,10,0.982456140350877,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,11,0.97953216374269,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,12,0.95906432748538,0.982404692082111
breast-cancer-wisconsin,svmLinear,km,13,0.982456140350877,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,14,0.973684210526316,0.973607038123167
breast-cancer-wisconsin,svmLinear,km,15,0.97953216374269,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,16,0.973684210526316,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,17,0.976608187134503,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,18,0.976608187134503,0.976539589442815
breast-cancer-wisconsin,svmLinear,km,19,0.976608187134503,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,20,0.982456140350877,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,21,0.982456140350877,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,22,0.976608187134503,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,23,0.97953216374269,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,24,0.982456140350877,0.964809384164223
breast-cancer-wisconsin,svmLinear,km,25,0.976608187134503,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,26,0.976608187134503,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,27,0.97953216374269,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,28,0.991228070175439,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,29,0.982456140350877,0.964809384164223
breast-cancer-wisconsin,svmLinear,km,30,0.985380116959064,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,31,0.982456140350877,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,32,0.973684210526316,0.976539589442815
breast-cancer-wisconsin,svmLinear,km,33,0.982456140350877,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,34,0.982456140350877,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,35,0.973684210526316,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,36,0.970760233918129,0.976539589442815
breast-cancer-wisconsin,svmLinear,km,37,0.976608187134503,0.964809384164223
breast-cancer-wisconsin,svmLinear,km,38,0.976608187134503,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,39,0.970760233918129,0.979472140762463
breast-cancer-wisconsin,svmLinear,km,40,0.967836257309941,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,41,0.973684210526316,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,42,0.976608187134503,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,43,0.97953216374269,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,44,0.985380116959064,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,45,0.991228070175439,0.93841642228739
breast-cancer-wisconsin,svmLinear,km,46,0.970760233918129,0.979472140762463
breast-cancer-wisconsin,svmLinear,km,47,0.985380116959064,0.964809384164223
breast-cancer-wisconsin,svmLinear,km,48,0.982456140350877,0.950146627565982
breast-cancer-wisconsin,svmLinear,km,49,0.97953216374269,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,50,0.982456140350877,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,51,0.982456140350877,0.956011730205279
breast-cancer-wisconsin,svmLinear,km,52,0.982456140350877,0.973607038123167
breast-cancer-wisconsin,svmLinear,km,53,0.991228070175439,0.956011730205279
breast-cancer-wisconsin,svmLinear,km,54,0.97953216374269,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,55,0.97953216374269,0.956011730205279
breast-cancer-wisconsin,svmLinear,km,56,0.97953216374269,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,57,0.967836257309941,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,58,0.97953216374269,0.967741935483871
breast-cancer-wisconsin,svmLinear,km,59,0.988304093567251,0.956011730205279
breast-cancer-wisconsin,svmLinear,km,60,0.988304093567251,0.956011730205279
breast-cancer-wisconsin,svmLinear,km,61,0.973684210526316,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,62,0.970760233918129,0.988269794721408
breast-cancer-wisconsin,svmLinear,km,63,0.973684210526316,0.958944281524927
breast-cancer-wisconsin,svmLinear,km,64,0.97953216374269,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,65,0.991228070175439,0.953079178885631
breast-cancer-wisconsin,svmLinear,km,66,0.985380116959064,0.961876832844575
breast-cancer-wisconsin,svmLinear,km,67,0.973684210526316,0.979472140762463
breast-cancer-wisconsin,svmLinear,km,68,0.973684210526316,0.973607038123167
breast-cancer-wisconsin,svmLinear,km,69,0.97953216374269,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,70,0.982456140350877,0.970674486803519
breast-cancer-wisconsin,svmLinear,km,71,0.988304093567251,0.961876832844575
