Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
ecoli,svmLinear,km,1,0.423529411764706,NaN
ecoli,svmLinear,km,2,0.705882352941177,0.728915662650602
ecoli,svmLinear,km,3,0.794117647058823,0.765060240963855
ecoli,svmLinear,km,4,0.805882352941176,0.801204819277108
ecoli,svmLinear,km,5,0.847058823529412,0.831325301204819
ecoli,svmLinear,km,6,0.876470588235294,0.825301204819277
ecoli,svmLinear,km,7,0.823529411764706,0.86144578313253
ecoli,svmLinear,km,8,0.905882352941176,0.86144578313253
ecoli,svmLinear,km,9,0.894117647058824,0.873493975903614
ecoli,svmLinear,km,10,0.852941176470588,0.873493975903614
ecoli,svmLinear,km,11,0.882352941176471,0.825301204819277
ecoli,svmLinear,km,12,0.905882352941176,0.825301204819277
ecoli,svmLinear,km,13,0.905882352941176,0.843373493975904
ecoli,svmLinear,km,14,0.917647058823529,0.86144578313253
ecoli,svmLinear,km,15,0.9,0.86144578313253
ecoli,svmLinear,km,16,0.882352941176471,0.867469879518072
ecoli,svmLinear,km,17,0.905882352941176,0.855421686746988
ecoli,svmLinear,km,18,0.888235294117647,0.855421686746988
ecoli,svmLinear,km,19,0.929411764705882,0.825301204819277
ecoli,svmLinear,km,20,0.911764705882353,0.825301204819277
ecoli,svmLinear,km,21,0.929411764705882,0.819277108433735
ecoli,svmLinear,km,22,0.882352941176471,0.891566265060241
ecoli,svmLinear,km,23,0.905882352941176,0.885542168674699
ecoli,svmLinear,km,24,0.911764705882353,0.855421686746988
ecoli,svmLinear,km,25,0.894117647058824,0.867469879518072
ecoli,svmLinear,km,26,0.905882352941176,0.855421686746988
ecoli,svmLinear,km,27,0.911764705882353,0.849397590361446
ecoli,svmLinear,km,28,0.917647058823529,0.855421686746988
ecoli,svmLinear,km,29,0.870588235294118,0.885542168674699
ecoli,svmLinear,km,30,0.894117647058824,0.867469879518072
ecoli,svmLinear,km,31,0.905882352941176,0.837349397590361
ecoli,svmLinear,km,32,0.923529411764706,0.843373493975904
ecoli,svmLinear,km,33,0.905882352941176,0.831325301204819
ecoli,svmLinear,km,34,0.917647058823529,0.849397590361446
ecoli,svmLinear,km,35,0.894117647058824,0.867469879518072
ecoli,svmLinear,km,36,0.917647058823529,0.801204819277108
ecoli,svmLinear,km,37,0.905882352941176,0.867469879518072
ecoli,svmLinear,km,38,0.888235294117647,0.891566265060241
ecoli,svmLinear,km,39,0.9,0.855421686746988
ecoli,svmLinear,km,40,0.917647058823529,0.849397590361446
ecoli,svmLinear,km,41,0.905882352941176,0.873493975903614
ecoli,svmLinear,km,42,0.917647058823529,0.837349397590361
ecoli,svmLinear,km,43,0.923529411764706,0.837349397590361
ecoli,svmLinear,km,44,0.9,0.873493975903614
ecoli,svmLinear,km,45,0.9,0.86144578313253
ecoli,svmLinear,km,46,0.935294117647059,0.819277108433735
ecoli,svmLinear,km,47,0.917647058823529,0.843373493975904
ecoli,svmLinear,km,48,0.9,0.86144578313253
ecoli,svmLinear,km,49,0.905882352941176,0.837349397590361
ecoli,svmLinear,km,50,0.888235294117647,0.855421686746988
ecoli,svmLinear,km,51,0.911764705882353,0.843373493975904
ecoli,svmLinear,km,52,0.911764705882353,0.86144578313253
ecoli,svmLinear,km,53,0.9,0.855421686746988
ecoli,svmLinear,km,54,0.935294117647059,0.855421686746988
ecoli,svmLinear,km,55,0.941176470588235,0.813253012048193
ecoli,svmLinear,km,56,0.941176470588235,0.867469879518072
ecoli,svmLinear,km,57,0.905882352941176,0.855421686746988
ecoli,svmLinear,km,58,0.917647058823529,0.849397590361446
ecoli,svmLinear,km,59,0.911764705882353,0.86144578313253
ecoli,svmLinear,km,60,0.923529411764706,0.86144578313253
ecoli,svmLinear,km,61,0.917647058823529,0.849397590361446
ecoli,svmLinear,km,62,0.935294117647059,0.843373493975904
ecoli,svmLinear,km,63,0.923529411764706,0.837349397590361
ecoli,svmLinear,km,64,0.935294117647059,0.843373493975904
ecoli,svmLinear,km,65,0.929411764705882,0.831325301204819
ecoli,svmLinear,km,66,0.923529411764706,0.843373493975904
ecoli,svmLinear,km,67,0.905882352941176,0.86144578313253
ecoli,svmLinear,km,68,0.941176470588235,0.831325301204819
ecoli,svmLinear,km,69,0.911764705882353,0.855421686746988
ecoli,svmLinear,km,70,0.935294117647059,0.849397590361446
ecoli,svmLinear,km,71,0.935294117647059,0.831325301204819
ecoli,svmLinear,km,72,0.917647058823529,0.849397590361446
ecoli,svmLinear,km,73,0.894117647058824,0.86144578313253
ecoli,svmLinear,km,74,0.917647058823529,0.843373493975904
ecoli,svmLinear,km,75,0.923529411764706,0.843373493975904
ecoli,svmLinear,km,76,0.888235294117647,0.903614457831325
ecoli,svmLinear,km,77,0.929411764705882,0.86144578313253
ecoli,svmLinear,km,78,0.923529411764706,0.867469879518072
ecoli,svmLinear,km,79,0.911764705882353,0.837349397590361
ecoli,svmLinear,km,80,0.923529411764706,0.867469879518072
ecoli,svmLinear,km,81,0.929411764705882,0.849397590361446
ecoli,svmLinear,km,82,0.905882352941176,0.855421686746988
ecoli,svmLinear,km,83,0.905882352941176,0.867469879518072
ecoli,svmLinear,km,84,0.917647058823529,0.843373493975904
ecoli,svmLinear,km,85,0.923529411764706,0.855421686746988
ecoli,svmLinear,km,86,0.911764705882353,0.897590361445783
ecoli,svmLinear,km,87,0.905882352941176,0.891566265060241
ecoli,svmLinear,km,88,0.935294117647059,0.825301204819277
ecoli,svmLinear,km,89,0.952941176470588,0.771084337349398
ecoli,svmLinear,km,90,0.952941176470588,0.879518072289157
ecoli,svmLinear,km,91,0.958823529411765,0.825301204819277
ecoli,svmLinear,km,92,0.917647058823529,0.831325301204819
ecoli,svmLinear,km,93,0.917647058823529,0.855421686746988
ecoli,svmLinear,km,94,0.929411764705882,0.849397590361446
ecoli,svmLinear,km,95,0.923529411764706,0.867469879518072
ecoli,svmLinear,km,96,0.947058823529412,0.831325301204819
ecoli,svmLinear,km,97,0.935294117647059,0.86144578313253
ecoli,svmLinear,km,98,0.911764705882353,0.849397590361446
ecoli,svmLinear,km,99,0.935294117647059,0.86144578313253
ecoli,svmLinear,km,100,0.935294117647059,0.843373493975904
ecoli,svmLinear,km,101,0.958823529411765,0.837349397590361
ecoli,svmLinear,km,102,0.935294117647059,0.831325301204819
ecoli,svmLinear,km,103,0.917647058823529,0.837349397590361
ecoli,svmLinear,km,104,0.917647058823529,0.885542168674699
ecoli,svmLinear,km,105,0.947058823529412,0.837349397590361
ecoli,svmLinear,km,106,0.929411764705882,0.86144578313253
ecoli,svmLinear,km,107,0.941176470588235,0.855421686746988
ecoli,svmLinear,km,108,0.929411764705882,0.885542168674699
ecoli,svmLinear,km,109,0.935294117647059,0.801204819277108
ecoli,svmLinear,km,110,0.923529411764706,0.867469879518072
ecoli,svmLinear,km,111,0.917647058823529,0.849397590361446
ecoli,svmLinear,km,112,0.905882352941176,0.86144578313253
ecoli,svmLinear,km,113,0.911764705882353,0.91566265060241
ecoli,svmLinear,km,114,0.941176470588235,0.867469879518072
