Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
glass,svmLinear,km,1,0.348623853211009,NaN
glass,svmLinear,km,2,0.495412844036697,0.466666666666667
glass,svmLinear,km,3,0.522935779816514,0.580952380952381
glass,svmLinear,km,4,0.660550458715596,0.676190476190476
glass,svmLinear,km,5,0.614678899082569,0.704761904761905
glass,svmLinear,km,6,0.678899082568807,0.619047619047619
glass,svmLinear,km,7,0.743119266055046,0.676190476190476
glass,svmLinear,km,8,0.761467889908257,0.666666666666667
glass,svmLinear,km,9,0.788990825688073,0.647619047619048
glass,svmLinear,km,10,0.770642201834862,0.628571428571429
glass,svmLinear,km,11,0.752293577981651,0.685714285714286
glass,svmLinear,km,12,0.770642201834862,0.647619047619048
glass,svmLinear,km,13,0.788990825688073,0.647619047619048
glass,svmLinear,km,14,0.761467889908257,0.60952380952381
glass,svmLinear,km,15,0.752293577981651,0.742857142857143
glass,svmLinear,km,16,0.788990825688073,0.695238095238095
glass,svmLinear,km,17,0.788990825688073,0.704761904761905
glass,svmLinear,km,18,0.752293577981651,0.733333333333333
glass,svmLinear,km,19,0.761467889908257,0.685714285714286
glass,svmLinear,km,20,0.807339449541284,0.704761904761905
glass,svmLinear,km,21,0.807339449541284,0.647619047619048
glass,svmLinear,km,22,0.752293577981651,0.676190476190476
glass,svmLinear,km,23,0.770642201834862,0.704761904761905
glass,svmLinear,km,24,0.779816513761468,0.761904761904762
glass,svmLinear,km,25,0.788990825688073,0.695238095238095
glass,svmLinear,km,26,0.807339449541284,0.723809523809524
glass,svmLinear,km,27,0.798165137614679,0.685714285714286
glass,svmLinear,km,28,0.844036697247706,0.59047619047619
glass,svmLinear,km,29,0.770642201834862,0.704761904761905
glass,svmLinear,km,30,0.770642201834862,0.685714285714286
glass,svmLinear,km,31,0.788990825688073,0.704761904761905
glass,svmLinear,km,32,0.844036697247706,0.657142857142857
glass,svmLinear,km,33,0.807339449541284,0.666666666666667
glass,svmLinear,km,34,0.788990825688073,0.742857142857143
glass,svmLinear,km,35,0.788990825688073,0.723809523809524
glass,svmLinear,km,36,0.807339449541284,0.685714285714286
glass,svmLinear,km,37,0.807339449541284,0.704761904761905
glass,svmLinear,km,38,0.807339449541284,0.676190476190476
glass,svmLinear,km,39,0.788990825688073,0.780952380952381
glass,svmLinear,km,40,0.779816513761468,0.742857142857143
glass,svmLinear,km,41,0.807339449541284,0.676190476190476
glass,svmLinear,km,42,0.798165137614679,0.695238095238095
glass,svmLinear,km,43,0.825688073394495,0.657142857142857
glass,svmLinear,km,44,0.770642201834862,0.676190476190476
glass,svmLinear,km,45,0.844036697247706,0.695238095238095
glass,svmLinear,km,46,0.807339449541284,0.733333333333333
glass,svmLinear,km,47,0.807339449541284,0.714285714285714
glass,svmLinear,km,48,0.834862385321101,0.685714285714286
glass,svmLinear,km,49,0.825688073394495,0.638095238095238
glass,svmLinear,km,50,0.834862385321101,0.657142857142857
glass,svmLinear,km,51,0.834862385321101,0.657142857142857
glass,svmLinear,km,52,0.825688073394495,0.685714285714286
glass,svmLinear,km,53,0.807339449541284,0.714285714285714
glass,svmLinear,km,54,0.788990825688073,0.676190476190476
glass,svmLinear,km,55,0.81651376146789,0.676190476190476
