Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
image-segmentation,svmLinear,km,1,0.142857142857143,0.142857142857143
image-segmentation,svmLinear,km,2,0.594805194805195,0.584415584415584
image-segmentation,svmLinear,km,3,0.632900432900433,0.635497835497835
image-segmentation,svmLinear,km,4,0.748051948051948,0.735930735930736
image-segmentation,svmLinear,km,5,0.793073593073593,0.787878787878788
image-segmentation,svmLinear,km,6,0.806926406926407,0.792207792207792
image-segmentation,svmLinear,km,7,0.845021645021645,0.819047619047619
image-segmentation,svmLinear,km,8,0.821645021645022,0.822510822510823
image-segmentation,svmLinear,km,9,0.847619047619048,0.846753246753247
image-segmentation,svmLinear,km,10,0.853679653679654,0.853679653679654
image-segmentation,svmLinear,km,11,0.870995670995671,0.843290043290043
image-segmentation,svmLinear,km,12,0.866666666666667,0.867532467532467
image-segmentation,svmLinear,km,13,0.860606060606061,0.872727272727273
image-segmentation,svmLinear,km,14,0.874458874458874,0.865800865800866
image-segmentation,svmLinear,km,15,0.88051948051948,0.85974025974026
image-segmentation,svmLinear,km,16,0.892640692640693,0.876190476190476
image-segmentation,svmLinear,km,17,0.883982683982684,0.882251082251082
image-segmentation,svmLinear,km,18,0.895238095238095,0.864935064935065
image-segmentation,svmLinear,km,19,0.918614718614719,0.892640692640693
image-segmentation,svmLinear,km,20,0.908225108225108,0.913419913419913
image-segmentation,svmLinear,km,21,0.915151515151515,0.908225108225108
image-segmentation,svmLinear,km,22,0.889177489177489,0.890909090909091
image-segmentation,svmLinear,km,23,0.931601731601732,0.902164502164502
image-segmentation,svmLinear,km,24,0.908225108225108,0.908225108225108
image-segmentation,svmLinear,km,25,0.927272727272727,0.923809523809524
image-segmentation,svmLinear,km,26,0.921212121212121,0.918614718614719
image-segmentation,svmLinear,km,27,0.945454545454545,0.908225108225108
image-segmentation,svmLinear,km,28,0.925541125541126,0.919480519480519
image-segmentation,svmLinear,km,29,0.930735930735931,0.908225108225108
image-segmentation,svmLinear,km,30,0.922077922077922,0.929004329004329
image-segmentation,svmLinear,km,31,0.929004329004329,0.914285714285714
image-segmentation,svmLinear,km,32,0.936796536796537,0.916017316017316
image-segmentation,svmLinear,km,33,0.927272727272727,0.916883116883117
image-segmentation,svmLinear,km,34,0.942857142857143,0.917748917748918
image-segmentation,svmLinear,km,35,0.942857142857143,0.917748917748918
image-segmentation,svmLinear,km,36,0.935064935064935,0.941991341991342
image-segmentation,svmLinear,km,37,0.944588744588745,0.934199134199134
image-segmentation,svmLinear,km,38,0.935064935064935,0.912554112554113
image-segmentation,svmLinear,km,39,0.936796536796537,0.928138528138528
image-segmentation,svmLinear,km,40,0.935930735930736,0.92034632034632
image-segmentation,svmLinear,km,41,0.941991341991342,0.936796536796537
image-segmentation,svmLinear,km,42,0.94978354978355,0.910822510822511
image-segmentation,svmLinear,km,43,0.936796536796537,0.923809523809524
image-segmentation,svmLinear,km,44,0.938528138528139,0.915151515151515
image-segmentation,svmLinear,km,45,0.942857142857143,0.921212121212121
image-segmentation,svmLinear,km,46,0.947186147186147,0.937662337662338
image-segmentation,svmLinear,km,47,0.944588744588745,0.92034632034632
image-segmentation,svmLinear,km,48,0.950649350649351,0.937662337662338
image-segmentation,svmLinear,km,49,0.945454545454545,0.934199134199134
image-segmentation,svmLinear,km,50,0.94025974025974,0.925541125541126
image-segmentation,svmLinear,km,51,0.938528138528139,0.935930735930736
image-segmentation,svmLinear,km,52,0.954978354978355,0.923809523809524
image-segmentation,svmLinear,km,53,0.944588744588745,0.928138528138528
image-segmentation,svmLinear,km,54,0.944588744588745,0.927272727272727
image-segmentation,svmLinear,km,55,0.941991341991342,0.938528138528139
image-segmentation,svmLinear,km,56,0.943722943722944,0.919480519480519
image-segmentation,svmLinear,km,57,0.953246753246753,0.930735930735931
image-segmentation,svmLinear,km,58,0.948051948051948,0.935064935064935
image-segmentation,svmLinear,km,59,0.94978354978355,0.938528138528139
image-segmentation,svmLinear,km,60,0.941125541125541,0.933333333333333
image-segmentation,svmLinear,km,61,0.933333333333333,0.929004329004329
image-segmentation,svmLinear,km,62,0.943722943722944,0.930735930735931
image-segmentation,svmLinear,km,63,0.958441558441558,0.922943722943723
image-segmentation,svmLinear,km,64,0.946320346320346,0.930735930735931
image-segmentation,svmLinear,km,65,0.950649350649351,0.917748917748918
image-segmentation,svmLinear,km,66,0.938528138528139,0.928138528138528
image-segmentation,svmLinear,km,67,0.945454545454545,0.926406926406926
image-segmentation,svmLinear,km,68,0.948051948051948,0.946320346320346
image-segmentation,svmLinear,km,69,0.94025974025974,0.929004329004329
image-segmentation,svmLinear,km,70,0.952380952380952,0.937662337662338
image-segmentation,svmLinear,km,71,0.954978354978355,0.932467532467532
image-segmentation,svmLinear,km,72,0.957575757575758,0.92987012987013
image-segmentation,svmLinear,km,73,0.94978354978355,0.930735930735931
image-segmentation,svmLinear,km,74,0.954978354978355,0.923809523809524
image-segmentation,svmLinear,km,75,0.954112554112554,0.931601731601732
image-segmentation,svmLinear,km,76,0.94978354978355,0.94025974025974
image-segmentation,svmLinear,km,77,0.935930735930736,0.94025974025974
image-segmentation,svmLinear,km,78,0.953246753246753,0.937662337662338
image-segmentation,svmLinear,km,79,0.950649350649351,0.934199134199134
image-segmentation,svmLinear,km,80,0.946320346320346,0.939393939393939
image-segmentation,svmLinear,km,81,0.955844155844156,0.945454545454545
image-segmentation,svmLinear,km,82,0.948051948051948,0.945454545454545
image-segmentation,svmLinear,km,83,0.957575757575758,0.944588744588745
image-segmentation,svmLinear,km,84,0.957575757575758,0.936796536796537
image-segmentation,svmLinear,km,85,0.957575757575758,0.935064935064935
image-segmentation,svmLinear,km,86,0.948051948051948,0.934199134199134
image-segmentation,svmLinear,km,87,0.951515151515152,0.952380952380952
image-segmentation,svmLinear,km,88,0.948917748917749,0.938528138528139
image-segmentation,svmLinear,km,89,0.942857142857143,0.944588744588745
image-segmentation,svmLinear,km,90,0.951515151515152,0.934199134199134
image-segmentation,svmLinear,km,91,0.957575757575758,0.939393939393939
image-segmentation,svmLinear,km,92,0.96017316017316,0.934199134199134
image-segmentation,svmLinear,km,93,0.94978354978355,0.936796536796537
image-segmentation,svmLinear,km,94,0.954978354978355,0.943722943722944
image-segmentation,svmLinear,km,95,0.954112554112554,0.935930735930736
image-segmentation,svmLinear,km,96,0.948917748917749,0.935064935064935
image-segmentation,svmLinear,km,97,0.966233766233766,0.922077922077922
image-segmentation,svmLinear,km,98,0.961038961038961,0.938528138528139
image-segmentation,svmLinear,km,99,0.954112554112554,0.934199134199134
image-segmentation,svmLinear,km,100,0.952380952380952,0.941991341991342
image-segmentation,svmLinear,km,101,0.957575757575758,0.952380952380952
image-segmentation,svmLinear,km,102,0.958441558441558,0.937662337662338
image-segmentation,svmLinear,km,103,0.959307359307359,0.937662337662338
image-segmentation,svmLinear,km,104,0.954978354978355,0.941991341991342
image-segmentation,svmLinear,km,105,0.961904761904762,0.935064935064935
image-segmentation,svmLinear,km,106,0.961038961038961,0.935064935064935
image-segmentation,svmLinear,km,107,0.955844155844156,0.932467532467532
image-segmentation,svmLinear,km,108,0.963636363636364,0.948051948051948
image-segmentation,svmLinear,km,109,0.964502164502165,0.941991341991342
image-segmentation,svmLinear,km,110,0.964502164502165,0.934199134199134
image-segmentation,svmLinear,km,111,0.96017316017316,0.954112554112554
image-segmentation,svmLinear,km,112,0.966233766233766,0.944588744588745
image-segmentation,svmLinear,km,113,0.961038961038961,0.94025974025974
image-segmentation,svmLinear,km,114,0.962770562770563,0.938528138528139
image-segmentation,svmLinear,km,115,0.956709956709957,0.941991341991342
image-segmentation,svmLinear,km,116,0.96017316017316,0.938528138528139
image-segmentation,svmLinear,km,117,0.951515151515152,0.943722943722944
image-segmentation,svmLinear,km,118,0.954978354978355,0.930735930735931
image-segmentation,svmLinear,km,119,0.954978354978355,0.934199134199134
image-segmentation,svmLinear,km,120,0.961038961038961,0.937662337662338
image-segmentation,svmLinear,km,121,0.96017316017316,0.936796536796537
image-segmentation,svmLinear,km,122,0.966233766233766,0.938528138528139
image-segmentation,svmLinear,km,123,0.96017316017316,0.944588744588745
image-segmentation,svmLinear,km,124,0.96017316017316,0.928138528138528
image-segmentation,svmLinear,km,125,0.961038961038961,0.936796536796537
image-segmentation,svmLinear,km,126,0.961038961038961,0.951515151515152
image-segmentation,svmLinear,km,127,0.96017316017316,0.94025974025974
image-segmentation,svmLinear,km,128,0.959307359307359,0.951515151515152
image-segmentation,svmLinear,km,129,0.954112554112554,0.951515151515152
image-segmentation,svmLinear,km,130,0.962770562770563,0.939393939393939
image-segmentation,svmLinear,km,131,0.962770562770563,0.948051948051948
image-segmentation,svmLinear,km,132,0.952380952380952,0.939393939393939
image-segmentation,svmLinear,km,133,0.956709956709957,0.933333333333333
image-segmentation,svmLinear,km,134,0.96017316017316,0.950649350649351
image-segmentation,svmLinear,km,135,0.96017316017316,0.947186147186147
image-segmentation,svmLinear,km,136,0.957575757575758,0.950649350649351
image-segmentation,svmLinear,km,137,0.956709956709957,0.945454545454545
image-segmentation,svmLinear,km,138,0.966233766233766,0.945454545454545
image-segmentation,svmLinear,km,139,0.961038961038961,0.945454545454545
image-segmentation,svmLinear,km,140,0.954978354978355,0.951515151515152
image-segmentation,svmLinear,km,141,0.958441558441558,0.941991341991342
image-segmentation,svmLinear,km,142,0.961038961038961,0.950649350649351
image-segmentation,svmLinear,km,143,0.952380952380952,0.935930735930736
