Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
ionosphere,svmLinear,km,1,0.642045454545455,NaN
ionosphere,svmLinear,km,2,0.795454545454545,0.765714285714286
ionosphere,svmLinear,km,3,0.778409090909091,0.748571428571429
ionosphere,svmLinear,km,4,0.880681818181818,0.925714285714286
ionosphere,svmLinear,km,5,0.914772727272727,0.897142857142857
ionosphere,svmLinear,km,6,0.920454545454545,0.902857142857143
ionosphere,svmLinear,km,7,0.948863636363636,0.88
ionosphere,svmLinear,km,8,0.914772727272727,0.937142857142857
ionosphere,svmLinear,km,9,0.931818181818182,0.942857142857143
ionosphere,svmLinear,km,10,0.960227272727273,0.891428571428571
ionosphere,svmLinear,km,11,0.943181818181818,0.897142857142857
ionosphere,svmLinear,km,12,0.960227272727273,0.891428571428571
ionosphere,svmLinear,km,13,0.982954545454545,0.902857142857143
ionosphere,svmLinear,km,14,0.960227272727273,0.897142857142857
ionosphere,svmLinear,km,15,0.943181818181818,0.937142857142857
ionosphere,svmLinear,km,16,0.965909090909091,0.92
ionosphere,svmLinear,km,17,0.943181818181818,0.937142857142857
ionosphere,svmLinear,km,18,0.977272727272727,0.925714285714286
ionosphere,svmLinear,km,19,0.971590909090909,0.897142857142857
ionosphere,svmLinear,km,20,0.965909090909091,0.925714285714286
ionosphere,svmLinear,km,21,0.965909090909091,0.931428571428571
ionosphere,svmLinear,km,22,0.943181818181818,0.948571428571429
ionosphere,svmLinear,km,23,0.948863636363636,0.948571428571429
ionosphere,svmLinear,km,24,0.971590909090909,0.925714285714286
ionosphere,svmLinear,km,25,0.954545454545455,0.948571428571429
ionosphere,svmLinear,km,26,0.954545454545455,0.954285714285714
ionosphere,svmLinear,km,27,0.965909090909091,0.937142857142857
ionosphere,svmLinear,km,28,0.971590909090909,0.914285714285714
ionosphere,svmLinear,km,29,0.971590909090909,0.931428571428571
ionosphere,svmLinear,km,30,0.971590909090909,0.954285714285714
ionosphere,svmLinear,km,31,0.960227272727273,0.937142857142857
ionosphere,svmLinear,km,32,0.965909090909091,0.937142857142857
ionosphere,svmLinear,km,33,0.965909090909091,0.96
ionosphere,svmLinear,km,34,0.977272727272727,0.897142857142857
ionosphere,svmLinear,km,35,0.960227272727273,0.948571428571429
ionosphere,svmLinear,km,36,0.977272727272727,0.925714285714286
ionosphere,svmLinear,km,37,0.971590909090909,0.931428571428571
ionosphere,svmLinear,km,38,0.965909090909091,0.937142857142857
ionosphere,svmLinear,km,39,0.982954545454545,0.902857142857143
ionosphere,svmLinear,km,40,0.954545454545455,0.948571428571429
ionosphere,svmLinear,km,41,0.954545454545455,0.942857142857143
ionosphere,svmLinear,km,42,0.971590909090909,0.948571428571429
ionosphere,svmLinear,km,43,0.977272727272727,0.92
ionosphere,svmLinear,km,44,0.988636363636364,0.92
ionosphere,svmLinear,km,45,0.971590909090909,0.925714285714286
ionosphere,svmLinear,km,46,0.977272727272727,0.925714285714286
ionosphere,svmLinear,km,47,0.960227272727273,0.92
ionosphere,svmLinear,km,48,0.971590909090909,0.92
ionosphere,svmLinear,km,49,0.994318181818182,0.92
ionosphere,svmLinear,km,50,0.988636363636364,0.92
ionosphere,svmLinear,km,51,0.971590909090909,0.931428571428571
