Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
iris,svmLinear,km,1,0.333333333333333,0.333333333333333
iris,svmLinear,km,2,0.946666666666667,0.906666666666667
iris,svmLinear,km,3,0.88,0.88
iris,svmLinear,km,4,0.946666666666667,0.88
iris,svmLinear,km,5,0.893333333333333,0.946666666666667
iris,svmLinear,km,6,0.946666666666667,0.826666666666667
iris,svmLinear,km,7,0.946666666666667,0.866666666666667
iris,svmLinear,km,8,0.96,0.933333333333333
iris,svmLinear,km,9,0.946666666666667,0.866666666666667
iris,svmLinear,km,10,0.96,0.96
iris,svmLinear,km,11,0.986666666666667,0.96
iris,svmLinear,km,12,0.973333333333333,0.96
iris,svmLinear,km,13,0.946666666666667,0.933333333333333
iris,svmLinear,km,14,0.973333333333333,0.973333333333333
iris,svmLinear,km,15,0.973333333333333,0.96
iris,svmLinear,km,16,0.986666666666667,0.946666666666667
iris,svmLinear,km,17,0.986666666666667,0.96
iris,svmLinear,km,18,0.973333333333333,0.973333333333333
iris,svmLinear,km,19,0.973333333333333,0.986666666666667
iris,svmLinear,km,20,0.96,0.906666666666667
iris,svmLinear,km,21,0.986666666666667,0.946666666666667
iris,svmLinear,km,22,0.986666666666667,0.96
iris,svmLinear,km,23,0.96,0.973333333333333
iris,svmLinear,km,24,1,0.906666666666667
iris,svmLinear,km,25,1,0.906666666666667
iris,svmLinear,km,26,0.973333333333333,0.946666666666667
iris,svmLinear,km,27,0.973333333333333,0.96
iris,svmLinear,km,28,0.973333333333333,0.946666666666667
iris,svmLinear,km,29,0.973333333333333,0.96
iris,svmLinear,km,30,0.973333333333333,0.973333333333333
iris,svmLinear,km,31,0.973333333333333,0.96
iris,svmLinear,km,32,0.986666666666667,0.946666666666667
iris,svmLinear,km,33,0.986666666666667,0.973333333333333
iris,svmLinear,km,34,1,0.92
iris,svmLinear,km,35,0.96,0.96
iris,svmLinear,km,36,0.973333333333333,0.946666666666667
iris,svmLinear,km,37,1,0.946666666666667
iris,svmLinear,km,38,0.986666666666667,0.973333333333333
iris,svmLinear,km,39,0.973333333333333,0.973333333333333
iris,svmLinear,km,40,0.986666666666667,0.96
iris,svmLinear,km,41,0.986666666666667,0.946666666666667
iris,svmLinear,km,42,0.973333333333333,0.933333333333333
iris,svmLinear,km,43,0.986666666666667,0.946666666666667
iris,svmLinear,km,44,0.986666666666667,0.973333333333333
iris,svmLinear,km,45,0.986666666666667,0.92
iris,svmLinear,km,46,1,0.96
iris,svmLinear,km,47,0.986666666666667,0.946666666666667
iris,svmLinear,km,48,0.946666666666667,0.96
iris,svmLinear,km,49,0.96,0.973333333333333
iris,svmLinear,km,50,0.973333333333333,0.96
iris,svmLinear,km,51,0.986666666666667,0.96
iris,svmLinear,km,52,0.986666666666667,0.96
iris,svmLinear,km,53,0.973333333333333,0.933333333333333
iris,svmLinear,km,54,1,0.946666666666667
iris,svmLinear,km,55,0.986666666666667,0.946666666666667
iris,svmLinear,km,56,0.986666666666667,0.973333333333333
iris,svmLinear,km,57,1,0.973333333333333
iris,svmLinear,km,58,0.986666666666667,0.946666666666667
iris,svmLinear,km,59,0.973333333333333,0.96
iris,svmLinear,km,60,1,0.92
iris,svmLinear,km,61,1,0.946666666666667
iris,svmLinear,km,62,0.973333333333333,0.946666666666667
iris,svmLinear,km,63,0.973333333333333,0.96
iris,svmLinear,km,64,0.986666666666667,0.933333333333333
iris,svmLinear,km,65,0.973333333333333,0.973333333333333
iris,svmLinear,km,66,0.986666666666667,0.946666666666667
iris,svmLinear,km,67,0.986666666666667,0.946666666666667
iris,svmLinear,km,68,0.973333333333333,0.96
iris,svmLinear,km,69,0.986666666666667,0.933333333333333
iris,svmLinear,km,70,0.986666666666667,0.96
iris,svmLinear,km,71,0.986666666666667,0.973333333333333
iris,svmLinear,km,72,0.973333333333333,0.946666666666667
iris,svmLinear,km,73,0.986666666666667,0.96
iris,svmLinear,km,74,1,0.946666666666667
