Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
optdigits,svmLinear,km,1,0.101743151903237,NaN
optdigits,svmLinear,km,2,0.32372821060121,0.320398718405126
optdigits,svmLinear,km,3,0.572038420490928,0.566037735849057
optdigits,svmLinear,km,4,0.590181430096051,0.577073691705233
optdigits,svmLinear,km,5,0.76236214870153,0.750444998220007
optdigits,svmLinear,km,6,0.786552828175027,0.759700961196155
optdigits,svmLinear,km,7,0.838847385272145,0.833036667853329
optdigits,svmLinear,km,8,0.83706865884027,0.824136703453186
optdigits,svmLinear,km,9,0.876912130914265,0.875400498398006
optdigits,svmLinear,km,10,0.919957310565635,0.906728373086508
optdigits,svmLinear,km,11,0.914976876556386,0.911712353150587
optdigits,svmLinear,km,12,0.932052650302383,0.920968316126735
optdigits,svmLinear,km,13,0.947349697616507,0.933072267710929
optdigits,svmLinear,km,14,0.923870508715759,0.931648273406906
optdigits,svmLinear,km,15,0.955176093916756,0.9437522249911
optdigits,svmLinear,km,16,0.941302027748132,0.931648273406906
optdigits,svmLinear,km,17,0.960868018498755,0.942684229263083
optdigits,svmLinear,km,18,0.955531839203131,0.942328230687077
optdigits,svmLinear,km,19,0.96122376378513,0.953720185119259
optdigits,svmLinear,km,20,0.963713980789755,0.945532217871129
optdigits,svmLinear,km,21,0.951974386339381,0.95122819508722
optdigits,svmLinear,km,22,0.96335823550338,0.953364186543254
optdigits,svmLinear,km,23,0.965492707221629,0.961552153791385
optdigits,svmLinear,km,24,0.967982924226254,0.955856176575294
optdigits,svmLinear,km,25,0.967627178939879,0.957636169455322
optdigits,svmLinear,km,26,0.964425471362504,0.960840156639373
optdigits,svmLinear,km,27,0.974742084667378,0.958704165183339
optdigits,svmLinear,km,28,0.972963358235503,0.959416162335351
optdigits,svmLinear,km,29,0.967982924226254,0.961908152367391
optdigits,svmLinear,km,30,0.977943792244753,0.958704165183339
optdigits,svmLinear,km,31,0.978655282817503,0.964756140975436
optdigits,svmLinear,km,32,0.973319103521878,0.964044143823425
optdigits,svmLinear,km,33,0.973674848808253,0.967248131007476
optdigits,svmLinear,km,34,0.977588046958378,0.959416162335351
optdigits,svmLinear,km,35,0.980434009249377,0.965112139551442
optdigits,svmLinear,km,36,0.977232301672003,0.966536133855465
optdigits,svmLinear,km,37,0.982924226254002,0.966180135279459
optdigits,svmLinear,km,38,0.982568480967627,0.965824136703453
optdigits,svmLinear,km,39,0.979011028103878,0.964044143823425
optdigits,svmLinear,km,40,0.979011028103878,0.96938412246351
optdigits,svmLinear,km,41,0.983635716826752,0.968672125311499
optdigits,svmLinear,km,42,0.983279971540377,0.961196155215379
optdigits,svmLinear,km,43,0.982212735681252,0.972588109647561
optdigits,svmLinear,km,44,0.985058697972252,0.960484158063368
optdigits,svmLinear,km,45,0.983279971540377,0.971520113919544
optdigits,svmLinear,km,46,0.984347207399502,0.969740121039516
optdigits,svmLinear,km,47,0.983279971540377,0.970452118191527
optdigits,svmLinear,km,48,0.983279971540377,0.971520113919544
optdigits,svmLinear,km,49,0.983991462113127,0.972232111071556
optdigits,svmLinear,km,50,0.982924226254002,0.969740121039516
