Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
pendigits,svmLinear,km,1,0.104018912529551,NaN
pendigits,svmLinear,km,2,0.496090198217858,0.501365374112507
pendigits,svmLinear,km,3,0.63738861611202,0.64463863098489
pendigits,svmLinear,km,4,0.808692489543553,0.798470780993992
pendigits,svmLinear,km,5,0.862520458265139,0.853085745494265
pendigits,svmLinear,km,6,0.886524822695035,0.884034225377754
pendigits,svmLinear,km,7,0.92253136933988,0.93391589295467
pendigits,svmLinear,km,8,0.945990180032733,0.943746586564719
pendigits,svmLinear,km,9,0.943262411347518,0.936828691061351
pendigits,svmLinear,km,10,0.95071831242044,0.951392681594757
pendigits,svmLinear,km,11,0.959992725950173,0.953759330056435
pendigits,svmLinear,km,12,0.969267139479905,0.963590023666485
pendigits,svmLinear,km,13,0.964175304600837,0.960859275441471
pendigits,svmLinear,km,14,0.965630114566285,0.962861824139814
pendigits,svmLinear,km,15,0.970540098199673,0.962679774258147
pendigits,svmLinear,km,16,0.977450445535552,0.970507919169853
pendigits,svmLinear,km,17,0.979632660483724,0.97669761514655
pendigits,svmLinear,km,18,0.978177850518276,0.973420717276534
pendigits,svmLinear,km,19,0.978359701763957,0.97742581467322
pendigits,svmLinear,km,20,0.979268957992362,0.975423265974877
pendigits,svmLinear,km,21,0.980360065466448,0.980338612779902
pendigits,svmLinear,km,22,0.979087106746681,0.980156562898234
pendigits,svmLinear,km,23,0.984724495362793,0.979428363371564
pendigits,svmLinear,km,24,0.984542644117112,0.979428363371564
pendigits,svmLinear,km,25,0.985451900345517,0.981430912069907
pendigits,svmLinear,km,26,0.983269685397345,0.985071909703259
pendigits,svmLinear,km,27,0.983633387888707,0.981612961951575
pendigits,svmLinear,km,28,0.98763411529369,0.979246313489896
pendigits,svmLinear,km,29,0.98763411529369,0.980884762424904
pendigits,svmLinear,km,30,0.988543371522095,0.983069361004915
pendigits,svmLinear,km,31,0.98599745408256,0.984889859821591
pendigits,svmLinear,km,32,0.986906710310966,0.986528308756599
pendigits,svmLinear,km,33,0.988725222767776,0.981795011833242
pendigits,svmLinear,km,34,0.989270776504819,0.986164208993264
pendigits,svmLinear,km,35,0.991634842698673,0.983979610413253
pendigits,svmLinear,km,36,0.989998181487543,0.986892408519934
pendigits,svmLinear,km,37,0.988907074013457,0.984161660294921
pendigits,svmLinear,km,38,0.989998181487543,0.987802657928272
pendigits,svmLinear,km,39,0.990725586470267,0.985618059348261
pendigits,svmLinear,km,40,0.990361883978905,0.986710358638267
pendigits,svmLinear,km,41,0.988361520276414,0.989077007099945
pendigits,svmLinear,km,42,0.988543371522095,0.986346258874932
pendigits,svmLinear,km,43,0.991452991452991,0.983615510649918
pendigits,svmLinear,km,44,0.989634478996181,0.988166757691608
pendigits,svmLinear,km,45,0.989998181487543,0.986892408519934
pendigits,svmLinear,km,46,0.991634842698673,0.986528308756599
pendigits,svmLinear,km,47,0.993089652664121,0.98725650828327
pendigits,svmLinear,km,48,0.991998545190034,0.987438558164937
pendigits,svmLinear,km,49,0.992180396435716,0.984525760058256
pendigits,svmLinear,km,50,0.99290780141844,0.98798470780994
pendigits,svmLinear,km,51,0.991452991452991,0.986892408519934
pendigits,svmLinear,km,52,0.993271503909802,0.986346258874932
pendigits,svmLinear,km,53,0.991452991452991,0.989623156744948
