Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
pima-indians-diabetes,svmLinear,km,1,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,2,0.705729166666667,0.6953125
pima-indians-diabetes,svmLinear,km,3,0.677083333333333,0.671875
pima-indians-diabetes,svmLinear,km,4,0.755208333333333,0.7421875
pima-indians-diabetes,svmLinear,km,5,0.7265625,0.731770833333333
pima-indians-diabetes,svmLinear,km,6,0.7578125,0.682291666666667
pima-indians-diabetes,svmLinear,km,7,0.776041666666667,0.736979166666667
pima-indians-diabetes,svmLinear,km,8,0.815104166666667,0.729166666666667
pima-indians-diabetes,svmLinear,km,9,0.778645833333333,0.7734375
pima-indians-diabetes,svmLinear,km,10,0.8046875,0.755208333333333
pima-indians-diabetes,svmLinear,km,11,0.807291666666667,0.752604166666667
pima-indians-diabetes,svmLinear,km,12,0.770833333333333,0.760416666666667
pima-indians-diabetes,svmLinear,km,13,0.8046875,0.739583333333333
pima-indians-diabetes,svmLinear,km,14,0.791666666666667,0.760416666666667
pima-indians-diabetes,svmLinear,km,15,0.778645833333333,0.752604166666667
pima-indians-diabetes,svmLinear,km,16,0.763020833333333,0.778645833333333
pima-indians-diabetes,svmLinear,km,17,0.822916666666667,0.760416666666667
pima-indians-diabetes,svmLinear,km,18,0.794270833333333,0.770833333333333
pima-indians-diabetes,svmLinear,km,19,0.765625,0.783854166666667
pima-indians-diabetes,svmLinear,km,20,0.7890625,0.739583333333333
pima-indians-diabetes,svmLinear,km,21,0.760416666666667,0.791666666666667
pima-indians-diabetes,svmLinear,km,22,0.768229166666667,0.760416666666667
pima-indians-diabetes,svmLinear,km,23,0.7890625,0.760416666666667
pima-indians-diabetes,svmLinear,km,24,0.791666666666667,0.765625
pima-indians-diabetes,svmLinear,km,25,0.776041666666667,0.768229166666667
pima-indians-diabetes,svmLinear,km,26,0.799479166666667,0.755208333333333
pima-indians-diabetes,svmLinear,km,27,0.809895833333333,0.739583333333333
pima-indians-diabetes,svmLinear,km,28,0.786458333333333,0.770833333333333
pima-indians-diabetes,svmLinear,km,29,0.802083333333333,0.7421875
pima-indians-diabetes,svmLinear,km,30,0.799479166666667,0.7578125
