Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
sonar.all,svmLinear,km,1,0.533333333333333,NaN
sonar.all,svmLinear,km,2,0.561904761904762,0.58252427184466
sonar.all,svmLinear,km,3,0.6,0.621359223300971
sonar.all,svmLinear,km,4,0.695238095238095,0.572815533980582
sonar.all,svmLinear,km,5,0.8,0.757281553398058
sonar.all,svmLinear,km,6,0.780952380952381,0.70873786407767
sonar.all,svmLinear,km,7,0.780952380952381,0.747572815533981
sonar.all,svmLinear,km,8,0.838095238095238,0.786407766990291
sonar.all,svmLinear,km,9,0.771428571428571,0.766990291262136
sonar.all,svmLinear,km,10,0.80952380952381,0.825242718446602
sonar.all,svmLinear,km,11,0.819047619047619,0.776699029126214
sonar.all,svmLinear,km,12,0.80952380952381,0.757281553398058
sonar.all,svmLinear,km,13,0.876190476190476,0.766990291262136
sonar.all,svmLinear,km,14,0.828571428571429,0.747572815533981
sonar.all,svmLinear,km,15,0.923809523809524,0.786407766990291
sonar.all,svmLinear,km,16,0.914285714285714,0.737864077669903
sonar.all,svmLinear,km,17,0.828571428571429,0.70873786407767
sonar.all,svmLinear,km,18,0.866666666666667,0.728155339805825
sonar.all,svmLinear,km,19,0.914285714285714,0.728155339805825
sonar.all,svmLinear,km,20,0.933333333333333,0.786407766990291
sonar.all,svmLinear,km,21,0.885714285714286,0.737864077669903
sonar.all,svmLinear,km,22,0.857142857142857,0.825242718446602
sonar.all,svmLinear,km,23,0.895238095238095,0.776699029126214
sonar.all,svmLinear,km,24,0.876190476190476,0.815533980582524
sonar.all,svmLinear,km,25,0.933333333333333,0.786407766990291
sonar.all,svmLinear,km,26,0.961904761904762,0.699029126213592
sonar.all,svmLinear,km,27,0.914285714285714,0.815533980582524
sonar.all,svmLinear,km,28,0.914285714285714,0.776699029126214
sonar.all,svmLinear,km,29,0.895238095238095,0.844660194174757
sonar.all,svmLinear,km,30,0.914285714285714,0.796116504854369
sonar.all,svmLinear,km,31,0.914285714285714,0.864077669902913
sonar.all,svmLinear,km,32,0.914285714285714,0.815533980582524
sonar.all,svmLinear,km,33,0.895238095238095,0.815533980582524
sonar.all,svmLinear,km,34,0.923809523809524,0.883495145631068
sonar.all,svmLinear,km,35,0.933333333333333,0.766990291262136
sonar.all,svmLinear,km,36,0.923809523809524,0.747572815533981
sonar.all,svmLinear,km,37,0.933333333333333,0.815533980582524
sonar.all,svmLinear,km,38,0.933333333333333,0.766990291262136
