Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
spectrometer,svmLinear,km,1,0.099290780141844,NaN
spectrometer,svmLinear,km,2,0.216312056737589,0.253012048192771
spectrometer,svmLinear,km,3,0.393617021276596,0.329317269076305
spectrometer,svmLinear,km,4,0.439716312056738,0.393574297188755
spectrometer,svmLinear,km,5,0.49645390070922,0.385542168674699
spectrometer,svmLinear,km,6,0.468085106382979,0.397590361445783
spectrometer,svmLinear,km,7,0.5,0.389558232931727
spectrometer,svmLinear,km,8,0.514184397163121,0.449799196787149
spectrometer,svmLinear,km,9,0.542553191489362,0.477911646586345
spectrometer,svmLinear,km,10,0.535460992907801,0.449799196787149
spectrometer,svmLinear,km,11,0.638297872340426,0.477911646586345
spectrometer,svmLinear,km,12,0.553191489361702,0.433734939759036
spectrometer,svmLinear,km,13,0.624113475177305,0.55421686746988
spectrometer,svmLinear,km,14,0.609929078014184,0.51004016064257
spectrometer,svmLinear,km,15,0.595744680851064,0.594377510040161
spectrometer,svmLinear,km,16,0.652482269503546,0.550200803212851
spectrometer,svmLinear,km,17,0.627659574468085,0.530120481927711
spectrometer,svmLinear,km,18,0.641843971631206,0.518072289156627
spectrometer,svmLinear,km,19,0.687943262411348,0.506024096385542
spectrometer,svmLinear,km,20,0.684397163120567,0.538152610441767
spectrometer,svmLinear,km,21,0.684397163120567,0.538152610441767
spectrometer,svmLinear,km,22,0.645390070921986,0.538152610441767
spectrometer,svmLinear,km,23,0.705673758865248,0.518072289156627
spectrometer,svmLinear,km,24,0.673758865248227,0.514056224899598
spectrometer,svmLinear,km,25,0.656028368794326,0.506024096385542
spectrometer,svmLinear,km,26,0.698581560283688,0.546184738955823
spectrometer,svmLinear,km,27,0.673758865248227,0.493975903614458
spectrometer,svmLinear,km,28,0.684397163120567,0.522088353413655
spectrometer,svmLinear,km,29,0.709219858156028,0.518072289156627
spectrometer,svmLinear,km,30,0.698581560283688,0.546184738955823
spectrometer,svmLinear,km,31,0.695035460992908,0.558232931726908
spectrometer,svmLinear,km,32,0.734042553191489,0.530120481927711
spectrometer,svmLinear,km,33,0.719858156028369,0.542168674698795
spectrometer,svmLinear,km,34,0.670212765957447,0.586345381526104
spectrometer,svmLinear,km,35,0.716312056737589,0.570281124497992
spectrometer,svmLinear,km,36,0.74822695035461,0.550200803212851
spectrometer,svmLinear,km,37,0.673758865248227,0.562248995983936
spectrometer,svmLinear,km,38,0.723404255319149,0.578313253012048
spectrometer,svmLinear,km,39,0.695035460992908,0.550200803212851
spectrometer,svmLinear,km,40,0.726950354609929,0.590361445783133
spectrometer,svmLinear,km,41,0.773049645390071,0.530120481927711
spectrometer,svmLinear,km,42,0.716312056737589,0.586345381526104
spectrometer,svmLinear,km,43,0.74468085106383,0.590361445783133
spectrometer,svmLinear,km,44,0.719858156028369,0.530120481927711
spectrometer,svmLinear,km,45,0.762411347517731,0.538152610441767
spectrometer,svmLinear,km,46,0.698581560283688,0.566265060240964
spectrometer,svmLinear,km,47,0.734042553191489,0.570281124497992
spectrometer,svmLinear,km,48,0.716312056737589,0.558232931726908
spectrometer,svmLinear,km,49,0.75531914893617,0.562248995983936
