Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
statlog-satimage,svmLinear,km,1,0.238272755514135,NaN
statlog-satimage,svmLinear,km,2,0.592730661696179,0.584577114427861
statlog-satimage,svmLinear,km,3,0.820130475302889,0.822761194029851
statlog-satimage,svmLinear,km,4,0.830071450761106,0.828358208955224
statlog-satimage,svmLinear,km,5,0.857098477788133,0.87157960199005
statlog-satimage,svmLinear,km,6,0.854923889406648,0.873134328358209
statlog-satimage,svmLinear,km,7,0.866107486797142,0.862251243781095
statlog-satimage,svmLinear,km,8,0.871699285492389,0.864738805970149
statlog-satimage,svmLinear,km,9,0.860515688101895,0.86318407960199
statlog-satimage,svmLinear,km,10,0.874495184840012,0.863805970149254
statlog-satimage,svmLinear,km,11,0.872009940975458,0.856654228855721
statlog-satimage,svmLinear,km,12,0.87107797452625,0.865360696517413
statlog-satimage,svmLinear,km,13,0.878223050636844,0.866293532338308
statlog-satimage,svmLinear,km,14,0.873563218390805,0.864738805970149
statlog-satimage,svmLinear,km,15,0.877291084187636,0.873445273631841
statlog-satimage,svmLinear,km,16,0.874184529356943,0.870646766169154
statlog-satimage,svmLinear,km,17,0.872941907424666,0.877798507462687
statlog-satimage,svmLinear,km,18,0.880086983535259,0.874378109452736
statlog-satimage,svmLinear,km,19,0.87573780677229,0.881529850746269
statlog-satimage,svmLinear,km,20,0.880397639018329,0.872823383084577
statlog-satimage,svmLinear,km,21,0.885057471264368,0.87842039800995
statlog-satimage,svmLinear,km,22,0.877601739670705,0.887126865671642
statlog-satimage,svmLinear,km,23,0.885057471264368,0.881840796019901
statlog-satimage,svmLinear,km,24,0.882261571916744,0.880597014925373
statlog-satimage,svmLinear,km,25,0.889095992544268,0.879353233830846
statlog-satimage,svmLinear,km,26,0.885678782230506,0.880597014925373
statlog-satimage,svmLinear,km,27,0.889717303510407,0.880286069651741
statlog-satimage,svmLinear,km,28,0.891581236408823,0.883084577114428
statlog-satimage,svmLinear,km,29,0.890649269959615,0.880907960199005
statlog-satimage,svmLinear,km,30,0.884436160298229,0.885572139303483
statlog-satimage,svmLinear,km,31,0.893134513824169,0.878109452736318
statlog-satimage,svmLinear,km,32,0.889717303510407,0.88681592039801
statlog-satimage,svmLinear,km,33,0.885678782230506,0.887748756218905
statlog-satimage,svmLinear,km,34,0.889095992544268,0.879353233830846
statlog-satimage,svmLinear,km,35,0.887853370611991,0.884950248756219
statlog-satimage,svmLinear,km,36,0.890338614476545,0.884639303482587
statlog-satimage,svmLinear,km,37,0.890027958993476,0.883706467661692
statlog-satimage,svmLinear,km,38,0.886921404162783,0.886194029850746
statlog-satimage,svmLinear,km,39,0.889095992544268,0.885883084577114
statlog-satimage,svmLinear,km,40,0.890027958993476,0.888059701492537
statlog-satimage,svmLinear,km,41,0.886610748679714,0.891169154228856
statlog-satimage,svmLinear,km,42,0.899036968002485,0.884328358208955
statlog-satimage,svmLinear,km,43,0.8928238583411,0.884017412935323
statlog-satimage,svmLinear,km,44,0.89717303510407,0.883706467661692
statlog-satimage,svmLinear,km,45,0.898415657036347,0.882773631840796
statlog-satimage,svmLinear,km,46,0.899347623485555,0.884639303482587
statlog-satimage,svmLinear,km,47,0.893134513824169,0.88681592039801
statlog-satimage,svmLinear,km,48,0.894377135756446,0.883706467661692
statlog-satimage,svmLinear,km,49,0.891581236408823,0.89023631840796
statlog-satimage,svmLinear,km,50,0.895930413171792,0.892412935323383
statlog-satimage,svmLinear,km,51,0.902764833799317,0.88681592039801
statlog-satimage,svmLinear,km,52,0.894687791239515,0.885261194029851
statlog-satimage,svmLinear,km,53,0.887232059645853,0.897077114427861
statlog-satimage,svmLinear,km,54,0.895930413171792,0.886504975124378
