Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
statlog-vehicle,svmLinear,km,1,0.257075471698113,NaN
statlog-vehicle,svmLinear,km,2,0.341981132075472,0.322274881516588
statlog-vehicle,svmLinear,km,3,0.377358490566038,0.419431279620853
statlog-vehicle,svmLinear,km,4,0.466981132075472,0.419431279620853
statlog-vehicle,svmLinear,km,5,0.495283018867925,0.424170616113744
statlog-vehicle,svmLinear,km,6,0.577830188679245,0.554502369668246
statlog-vehicle,svmLinear,km,7,0.518867924528302,0.431279620853081
statlog-vehicle,svmLinear,km,8,0.525943396226415,0.504739336492891
statlog-vehicle,svmLinear,km,9,0.64622641509434,0.578199052132701
statlog-vehicle,svmLinear,km,10,0.575471698113208,0.566350710900474
statlog-vehicle,svmLinear,km,11,0.648584905660377,0.540284360189573
statlog-vehicle,svmLinear,km,12,0.658018867924528,0.606635071090047
statlog-vehicle,svmLinear,km,13,0.67688679245283,0.658767772511848
statlog-vehicle,svmLinear,km,14,0.69811320754717,0.632701421800948
statlog-vehicle,svmLinear,km,15,0.691037735849057,0.644549763033175
statlog-vehicle,svmLinear,km,16,0.700471698113208,0.630331753554502
statlog-vehicle,svmLinear,km,17,0.745283018867924,0.644549763033175
statlog-vehicle,svmLinear,km,18,0.75,0.656398104265403
statlog-vehicle,svmLinear,km,19,0.712264150943396,0.651658767772512
statlog-vehicle,svmLinear,km,20,0.752358490566038,0.691943127962085
statlog-vehicle,svmLinear,km,21,0.745283018867924,0.66824644549763
statlog-vehicle,svmLinear,km,22,0.759433962264151,0.68957345971564
statlog-vehicle,svmLinear,km,23,0.733490566037736,0.665876777251185
statlog-vehicle,svmLinear,km,24,0.778301886792453,0.722748815165877
statlog-vehicle,svmLinear,km,25,0.75,0.703791469194313
statlog-vehicle,svmLinear,km,26,0.738207547169811,0.699052132701422
statlog-vehicle,svmLinear,km,27,0.778301886792453,0.703791469194313
statlog-vehicle,svmLinear,km,28,0.764150943396226,0.727488151658768
statlog-vehicle,svmLinear,km,29,0.773584905660377,0.710900473933649
statlog-vehicle,svmLinear,km,30,0.766509433962264,0.732227488151659
statlog-vehicle,svmLinear,km,31,0.768867924528302,0.727488151658768
statlog-vehicle,svmLinear,km,32,0.738207547169811,0.708530805687204
statlog-vehicle,svmLinear,km,33,0.752358490566038,0.694312796208531
statlog-vehicle,svmLinear,km,34,0.757075471698113,0.727488151658768
statlog-vehicle,svmLinear,km,35,0.778301886792453,0.706161137440758
statlog-vehicle,svmLinear,km,36,0.766509433962264,0.71563981042654
statlog-vehicle,svmLinear,km,37,0.794811320754717,0.696682464454976
statlog-vehicle,svmLinear,km,38,0.759433962264151,0.734597156398104
statlog-vehicle,svmLinear,km,39,0.757075471698113,0.699052132701422
