Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
vowel-context,svmLinear,km,1,0.0909090909090909,0.0909090909090909
vowel-context,svmLinear,km,2,0.355555555555556,0.319191919191919
vowel-context,svmLinear,km,3,0.460606060606061,0.438383838383838
vowel-context,svmLinear,km,4,0.460606060606061,0.375757575757576
vowel-context,svmLinear,km,5,0.717171717171717,0.642424242424242
vowel-context,svmLinear,km,6,0.65050505050505,0.597979797979798
vowel-context,svmLinear,km,7,0.747474747474748,0.721212121212121
vowel-context,svmLinear,km,8,0.814141414141414,0.717171717171717
vowel-context,svmLinear,km,9,0.806060606060606,0.77979797979798
vowel-context,svmLinear,km,10,0.808080808080808,0.816161616161616
vowel-context,svmLinear,km,11,0.836363636363636,0.781818181818182
vowel-context,svmLinear,km,12,0.862626262626263,0.8
vowel-context,svmLinear,km,13,0.856565656565657,0.814141414141414
vowel-context,svmLinear,km,14,0.870707070707071,0.816161616161616
vowel-context,svmLinear,km,15,0.880808080808081,0.836363636363636
vowel-context,svmLinear,km,16,0.886868686868687,0.814141414141414
vowel-context,svmLinear,km,17,0.903030303030303,0.844444444444444
vowel-context,svmLinear,km,18,0.907070707070707,0.802020202020202
vowel-context,svmLinear,km,19,0.911111111111111,0.850505050505051
vowel-context,svmLinear,km,20,0.913131313131313,0.844444444444444
vowel-context,svmLinear,km,21,0.901010101010101,0.848484848484849
vowel-context,svmLinear,km,22,0.915151515151515,0.874747474747475
vowel-context,svmLinear,km,23,0.913131313131313,0.84040404040404
vowel-context,svmLinear,km,24,0.925252525252525,0.854545454545454
vowel-context,svmLinear,km,25,0.917171717171717,0.878787878787879
vowel-context,svmLinear,km,26,0.925252525252525,0.844444444444444
vowel-context,svmLinear,km,27,0.931313131313131,0.854545454545454
vowel-context,svmLinear,km,28,0.931313131313131,0.854545454545454
vowel-context,svmLinear,km,29,0.931313131313131,0.856565656565657
vowel-context,svmLinear,km,30,0.935353535353535,0.858585858585859
vowel-context,svmLinear,km,31,0.933333333333333,0.848484848484849
vowel-context,svmLinear,km,32,0.941414141414141,0.846464646464646
vowel-context,svmLinear,km,33,0.943434343434343,0.852525252525253
vowel-context,svmLinear,km,34,0.939393939393939,0.901010101010101
vowel-context,svmLinear,km,35,0.931313131313131,0.878787878787879
vowel-context,svmLinear,km,36,0.937373737373737,0.864646464646465
vowel-context,svmLinear,km,37,0.941414141414141,0.874747474747475
vowel-context,svmLinear,km,38,0.945454545454545,0.874747474747475
vowel-context,svmLinear,km,39,0.961616161616162,0.866666666666667
vowel-context,svmLinear,km,40,0.945454545454545,0.880808080808081
vowel-context,svmLinear,km,41,0.94949494949495,0.876767676767677
vowel-context,svmLinear,km,42,0.961616161616162,0.836363636363636
vowel-context,svmLinear,km,43,0.951515151515152,0.894949494949495
vowel-context,svmLinear,km,44,0.953535353535354,0.894949494949495
vowel-context,svmLinear,km,45,0.967676767676768,0.860606060606061
vowel-context,svmLinear,km,46,0.95959595959596,0.866666666666667
vowel-context,svmLinear,km,47,0.945454545454545,0.884848484848485
vowel-context,svmLinear,km,48,0.95959595959596,0.878787878787879
vowel-context,svmLinear,km,49,0.95959595959596,0.890909090909091
vowel-context,svmLinear,km,50,0.957575757575758,0.876767676767677
vowel-context,svmLinear,km,51,0.957575757575758,0.848484848484849
vowel-context,svmLinear,km,52,0.951515151515152,0.880808080808081
vowel-context,svmLinear,km,53,0.963636363636364,0.858585858585859
vowel-context,svmLinear,km,54,0.95959595959596,0.850505050505051
vowel-context,svmLinear,km,55,0.96969696969697,0.896969696969697
vowel-context,svmLinear,km,56,0.953535353535354,0.907070707070707
vowel-context,svmLinear,km,57,0.951515151515152,0.905050505050505
vowel-context,svmLinear,km,58,0.955555555555556,0.896969696969697
vowel-context,svmLinear,km,59,0.961616161616162,0.880808080808081
vowel-context,svmLinear,km,60,0.967676767676768,0.874747474747475
vowel-context,svmLinear,km,61,0.963636363636364,0.905050505050505
vowel-context,svmLinear,km,62,0.963636363636364,0.880808080808081
vowel-context,svmLinear,km,63,0.971717171717172,0.894949494949495
vowel-context,svmLinear,km,64,0.967676767676768,0.872727272727273
vowel-context,svmLinear,km,65,0.95959595959596,0.911111111111111
vowel-context,svmLinear,km,66,0.967676767676768,0.864646464646465
vowel-context,svmLinear,km,67,0.965656565656566,0.915151515151515
vowel-context,svmLinear,km,68,0.965656565656566,0.913131313131313
vowel-context,svmLinear,km,69,0.96969696969697,0.894949494949495
vowel-context,svmLinear,km,70,0.973737373737374,0.884848484848485
vowel-context,svmLinear,km,71,0.965656565656566,0.896969696969697
vowel-context,svmLinear,km,72,0.977777777777778,0.913131313131313
vowel-context,svmLinear,km,73,0.967676767676768,0.894949494949495
vowel-context,svmLinear,km,74,0.961616161616162,0.888888888888889
vowel-context,svmLinear,km,75,0.983838383838384,0.866666666666667
vowel-context,svmLinear,km,76,0.961616161616162,0.878787878787879
vowel-context,svmLinear,km,77,0.967676767676768,0.905050505050505
vowel-context,svmLinear,km,78,0.971717171717172,0.884848484848485
vowel-context,svmLinear,km,79,0.971717171717172,0.862626262626263
vowel-context,svmLinear,km,80,0.97979797979798,0.901010101010101
vowel-context,svmLinear,km,81,0.977777777777778,0.874747474747475
vowel-context,svmLinear,km,82,0.973737373737374,0.890909090909091
vowel-context,svmLinear,km,83,0.977777777777778,0.896969696969697
vowel-context,svmLinear,km,84,0.983838383838384,0.923232323232323
vowel-context,svmLinear,km,85,0.97979797979798,0.927272727272727
vowel-context,svmLinear,km,86,0.971717171717172,0.929292929292929
vowel-context,svmLinear,km,87,0.971717171717172,0.917171717171717
vowel-context,svmLinear,km,88,0.977777777777778,0.913131313131313
vowel-context,svmLinear,km,89,0.983838383838384,0.876767676767677
vowel-context,svmLinear,km,90,0.97979797979798,0.903030303030303
vowel-context,svmLinear,km,91,0.97979797979798,0.888888888888889
vowel-context,svmLinear,km,92,0.987878787878788,0.866666666666667
