Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,km,1,0.4,NaN
wine,svmLinear,km,2,0.9,0.840909090909091
wine,svmLinear,km,3,0.988888888888889,0.977272727272727
wine,svmLinear,km,4,0.988888888888889,0.977272727272727
wine,svmLinear,km,5,1,0.965909090909091
wine,svmLinear,km,6,0.988888888888889,0.965909090909091
wine,svmLinear,km,7,0.988888888888889,0.965909090909091
wine,svmLinear,km,8,1,0.954545454545455
wine,svmLinear,km,9,0.988888888888889,0.965909090909091
wine,svmLinear,km,10,0.988888888888889,0.977272727272727
wine,svmLinear,km,11,0.988888888888889,0.977272727272727
wine,svmLinear,km,12,1,0.943181818181818
wine,svmLinear,km,13,1,0.977272727272727
wine,svmLinear,km,14,1,0.965909090909091
wine,svmLinear,km,15,1,0.954545454545455
wine,svmLinear,km,16,0.988888888888889,0.977272727272727
wine,svmLinear,km,17,1,0.954545454545455
wine,svmLinear,km,18,1,0.977272727272727
wine,svmLinear,km,19,1,0.977272727272727
wine,svmLinear,km,20,1,0.954545454545455
wine,svmLinear,km,21,1,0.988636363636364
wine,svmLinear,km,22,1,0.977272727272727
wine,svmLinear,km,23,1,0.965909090909091
wine,svmLinear,km,24,1,0.954545454545455
wine,svmLinear,km,25,1,0.988636363636364
wine,svmLinear,km,26,1,0.965909090909091
wine,svmLinear,km,27,1,0.977272727272727
wine,svmLinear,km,28,1,0.977272727272727
wine,svmLinear,km,29,1,0.954545454545455
wine,svmLinear,km,30,1,0.954545454545455
wine,svmLinear,km,31,1,0.977272727272727
wine,svmLinear,km,32,1,0.977272727272727
wine,svmLinear,km,33,1,0.977272727272727
wine,svmLinear,km,34,1,0.988636363636364
wine,svmLinear,km,35,1,0.954545454545455
wine,svmLinear,km,36,1,0.977272727272727
wine,svmLinear,km,37,1,0.977272727272727
wine,svmLinear,km,38,1,0.954545454545455
wine,svmLinear,km,39,1,0.977272727272727
wine,svmLinear,km,40,1,0.977272727272727
wine,svmLinear,km,41,1,0.965909090909091
wine,svmLinear,km,42,1,0.954545454545455
wine,svmLinear,km,43,1,0.943181818181818
wine,svmLinear,km,44,1,0.965909090909091
wine,svmLinear,km,45,1,0.977272727272727
wine,svmLinear,km,46,1,0.977272727272727
wine,svmLinear,km,47,1,0.977272727272727
wine,svmLinear,km,48,1,0.977272727272727
wine,svmLinear,km,49,1,0.977272727272727
wine,svmLinear,km,50,1,0.977272727272727
wine,svmLinear,km,51,1,0.977272727272727
wine,svmLinear,km,52,1,0.943181818181818
wine,svmLinear,km,53,1,0.965909090909091
wine,svmLinear,km,54,1,0.965909090909091
wine,svmLinear,km,55,1,0.965909090909091
wine,svmLinear,km,56,1,0.965909090909091
wine,svmLinear,km,57,1,0.988636363636364
wine,svmLinear,km,58,1,0.954545454545455
wine,svmLinear,km,59,1,0.965909090909091
wine,svmLinear,km,60,1,0.977272727272727
wine,svmLinear,km,61,1,0.954545454545455
wine,svmLinear,km,62,1,0.977272727272727
wine,svmLinear,km,63,1,0.954545454545455
wine,svmLinear,km,64,1,0.965909090909091
wine,svmLinear,km,65,1,0.988636363636364
wine,svmLinear,km,66,1,0.954545454545455
wine,svmLinear,km,67,1,0.988636363636364
wine,svmLinear,km,68,1,0.965909090909091
wine,svmLinear,km,69,1,0.965909090909091
wine,svmLinear,km,70,1,0.965909090909091
wine,svmLinear,km,71,1,0.931818181818182
wine,svmLinear,km,72,1,0.977272727272727
wine,svmLinear,km,73,1,0.965909090909091
wine,svmLinear,km,74,1,0.988636363636364
wine,svmLinear,km,75,1,0.954545454545455
wine,svmLinear,km,76,1,0.977272727272727
wine,svmLinear,km,77,1,0.965909090909091
wine,svmLinear,km,78,1,1
wine,svmLinear,km,79,1,0.954545454545455
wine,svmLinear,km,80,1,0.965909090909091
wine,svmLinear,km,81,1,0.977272727272727
wine,svmLinear,km,82,1,0.954545454545455
wine,svmLinear,km,83,1,0.943181818181818
wine,svmLinear,km,84,1,0.965909090909091
wine,svmLinear,km,85,1,0.977272727272727
wine,svmLinear,km,86,1,0.977272727272727
wine,svmLinear,km,87,1,0.965909090909091
wine,svmLinear,km,88,1,0.965909090909091
wine,svmLinear,km,89,1,0.977272727272727
