Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
yeast,svmLinear,km,1,0.311409395973154,NaN
yeast,svmLinear,km,2,0.394630872483221,0.319350473612991
yeast,svmLinear,km,3,0.456375838926175,0.438430311231394
yeast,svmLinear,km,4,0.480536912751678,0.491204330175913
yeast,svmLinear,km,5,0.519463087248322,0.512855209742896
yeast,svmLinear,km,6,0.583892617449664,0.576454668470907
yeast,svmLinear,km,7,0.589261744966443,0.57510148849797
yeast,svmLinear,km,8,0.577181208053691,0.564276048714479
yeast,svmLinear,km,9,0.612080536912752,0.572395128552097
yeast,svmLinear,km,10,0.63489932885906,0.579161028416779
yeast,svmLinear,km,11,0.624161073825503,0.545331529093369
yeast,svmLinear,km,12,0.612080536912752,0.579161028416779
yeast,svmLinear,km,13,0.602684563758389,0.59404600811908
yeast,svmLinear,km,14,0.594630872483221,0.584573748308525
yeast,svmLinear,km,15,0.579865771812081,0.592692828146143
yeast,svmLinear,km,16,0.613422818791946,0.592692828146143
yeast,svmLinear,km,17,0.638926174496644,0.576454668470907
yeast,svmLinear,km,18,0.620134228187919,0.589986468200271
yeast,svmLinear,km,19,0.632214765100671,0.584573748308525
yeast,svmLinear,km,20,0.608053691275168,0.60893098782138
yeast,svmLinear,km,21,0.618791946308725,0.589986468200271
yeast,svmLinear,km,22,0.610738255033557,0.611637347767253
yeast,svmLinear,km,23,0.63489932885906,0.587280108254398
yeast,svmLinear,km,24,0.63758389261745,0.588633288227334
yeast,svmLinear,km,25,0.618791946308725,0.602165087956698
yeast,svmLinear,km,26,0.645637583892617,0.584573748308525
yeast,svmLinear,km,27,0.622818791946309,0.592692828146143
yeast,svmLinear,km,28,0.649664429530201,0.591339648173207
yeast,svmLinear,km,29,0.626845637583893,0.615696887686062
yeast,svmLinear,km,30,0.628187919463087,0.598105548037889
yeast,svmLinear,km,31,0.65503355704698,0.572395128552097
yeast,svmLinear,km,32,0.63758389261745,0.585926928281461
yeast,svmLinear,km,33,0.602684563758389,0.604871447902571
yeast,svmLinear,km,34,0.620134228187919,0.591339648173207
