Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,km,1,0.466666666666667,0.466666666666667
wine,svmLinear,km,2,0.611111111111111,0.611111111111111
wine,svmLinear,km,3,0.655555555555556,0.655555555555556
wine,svmLinear,km,4,0.755555555555556,0.755555555555556
wine,svmLinear,km,5,0.8,0.8
wine,svmLinear,km,6,0.8,0.8
wine,svmLinear,km,7,0.955555555555556,0.955555555555556
wine,svmLinear,km,8,0.977777777777778,0.977777777777778
wine,svmLinear,km,9,0.988888888888889,0.988888888888889
wine,svmLinear,km,10,0.988888888888889,0.988888888888889
breast-cancer-wisconsin,svmLinear,km,1,0.649122807017544,0.649122807017544
breast-cancer-wisconsin,svmLinear,km,2,0.649122807017544,0.649122807017544
breast-cancer-wisconsin,svmLinear,km,3,0.725146198830409,0.725146198830409
breast-cancer-wisconsin,svmLinear,km,4,0.865497076023392,0.865497076023392
breast-cancer-wisconsin,svmLinear,km,5,0.891812865497076,0.891812865497076
breast-cancer-wisconsin,svmLinear,km,6,0.89766081871345,0.89766081871345
breast-cancer-wisconsin,svmLinear,km,7,0.906432748538012,0.906432748538012
breast-cancer-wisconsin,svmLinear,km,8,0.95906432748538,0.95906432748538
breast-cancer-wisconsin,svmLinear,km,9,0.95906432748538,0.95906432748538
breast-cancer-wisconsin,svmLinear,km,10,0.97953216374269,0.97953216374269
breast-cancer-wisconsin,svmLinear,km,11,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,12,0.97953216374269,0.97953216374269
breast-cancer-wisconsin,svmLinear,km,13,0.97953216374269,0.97953216374269
breast-cancer-wisconsin,svmLinear,km,14,0.97953216374269,0.97953216374269
breast-cancer-wisconsin,svmLinear,km,15,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,16,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,17,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,18,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,19,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,20,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,21,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,22,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,23,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,24,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,25,0.982456140350877,0.982456140350877
yeast,svmLinear,km,1,0.326174496644295,0.326174496644295
yeast,svmLinear,km,2,0.326174496644295,0.326174496644295
yeast,svmLinear,km,3,0.422818791946309,0.422818791946309
yeast,svmLinear,km,4,0.508724832214765,0.508724832214765
yeast,svmLinear,km,5,0.547651006711409,0.547651006711409
yeast,svmLinear,km,6,0.579865771812081,0.579865771812081
yeast,svmLinear,km,7,0.601342281879195,0.601342281879195
yeast,svmLinear,km,8,0.608053691275168,0.608053691275168
yeast,svmLinear,km,9,0.604026845637584,0.604026845637584
yeast,svmLinear,km,10,0.608053691275168,0.608053691275168
yeast,svmLinear,km,11,0.608053691275168,0.608053691275168
yeast,svmLinear,km,12,0.621476510067114,0.621476510067114
yeast,svmLinear,km,13,0.61744966442953,0.61744966442953
yeast,svmLinear,km,14,0.61744966442953,0.61744966442953
yeast,svmLinear,km,15,0.620134228187919,0.620134228187919
yeast,svmLinear,km,16,0.621476510067114,0.621476510067114
yeast,svmLinear,km,17,0.622818791946309,0.622818791946309
yeast,svmLinear,km,18,0.622818791946309,0.622818791946309
yeast,svmLinear,km,19,0.622818791946309,0.622818791946309
yeast,svmLinear,km,20,0.620134228187919,0.620134228187919
yeast,svmLinear,km,21,0.624161073825503,0.624161073825503
yeast,svmLinear,km,22,0.630872483221476,0.630872483221476
yeast,svmLinear,km,23,0.630872483221476,0.630872483221476
yeast,svmLinear,km,24,0.641610738255034,0.641610738255034
yeast,svmLinear,km,25,0.645637583892617,0.645637583892617
yeast,svmLinear,km,26,0.644295302013423,0.644295302013423
yeast,svmLinear,km,27,0.640268456375839,0.640268456375839
yeast,svmLinear,km,28,0.642953020134228,0.642953020134228
yeast,svmLinear,km,29,0.644295302013423,0.644295302013423
yeast,svmLinear,km,30,0.641610738255034,0.641610738255034
yeast,svmLinear,km,31,0.640268456375839,0.640268456375839
yeast,svmLinear,km,32,0.641610738255034,0.641610738255034
yeast,svmLinear,km,33,0.642953020134228,0.642953020134228
yeast,svmLinear,km,34,0.65503355704698,0.65503355704698
yeast,svmLinear,km,35,0.645637583892617,0.645637583892617
yeast,svmLinear,km,36,0.649664429530201,0.649664429530201
yeast,svmLinear,km,37,0.653691275167785,0.653691275167785
yeast,svmLinear,km,38,0.652348993288591,0.652348993288591
yeast,svmLinear,km,39,0.651006711409396,0.651006711409396
yeast,svmLinear,km,40,0.651006711409396,0.651006711409396
yeast,svmLinear,km,41,0.649664429530201,0.649664429530201
yeast,svmLinear,km,42,0.652348993288591,0.652348993288591
yeast,svmLinear,km,43,0.653691275167785,0.653691275167785
yeast,svmLinear,km,44,0.651006711409396,0.651006711409396
yeast,svmLinear,km,45,0.652348993288591,0.652348993288591
yeast,svmLinear,km,46,0.65503355704698,0.65503355704698
yeast,svmLinear,km,47,0.657718120805369,0.657718120805369
yeast,svmLinear,km,48,0.656375838926174,0.656375838926174
yeast,svmLinear,km,49,0.660402684563758,0.660402684563758
yeast,svmLinear,km,50,0.659060402684564,0.659060402684564
yeast,svmLinear,km,51,0.659060402684564,0.659060402684564
yeast,svmLinear,km,52,0.660402684563758,0.660402684563758
yeast,svmLinear,km,53,0.657718120805369,0.657718120805369
yeast,svmLinear,km,54,0.664429530201342,0.664429530201342
yeast,svmLinear,km,55,0.664429530201342,0.664429530201342
yeast,svmLinear,km,56,0.665771812080537,0.665771812080537
yeast,svmLinear,km,57,0.667114093959732,0.667114093959732
yeast,svmLinear,km,58,0.668456375838926,0.668456375838926
glass,svmLinear,km,1,0.412844036697248,0.412844036697248
glass,svmLinear,km,2,0.357798165137615,0.357798165137615
glass,svmLinear,km,3,0.376146788990826,0.376146788990826
glass,svmLinear,km,4,0.385321100917431,0.385321100917431
glass,svmLinear,km,5,0.486238532110092,0.486238532110092
glass,svmLinear,km,6,0.63302752293578,0.63302752293578
glass,svmLinear,km,7,0.623853211009174,0.623853211009174
glass,svmLinear,km,8,0.660550458715596,0.660550458715596
glass,svmLinear,km,9,0.660550458715596,0.660550458715596
glass,svmLinear,km,10,0.660550458715596,0.660550458715596
glass,svmLinear,km,11,0.743119266055046,0.743119266055046
glass,svmLinear,km,12,0.752293577981651,0.752293577981651
glass,svmLinear,km,13,0.752293577981651,0.752293577981651
glass,svmLinear,km,14,0.779816513761468,0.779816513761468
glass,svmLinear,km,15,0.779816513761468,0.779816513761468
glass,svmLinear,km,16,0.770642201834862,0.770642201834862
ecoli,svmLinear,km,1,0.511764705882353,0.511764705882353
ecoli,svmLinear,km,2,0.641176470588235,0.641176470588235
ecoli,svmLinear,km,3,0.747058823529412,0.747058823529412
ecoli,svmLinear,km,4,0.794117647058823,0.794117647058823
ecoli,svmLinear,km,5,0.852941176470588,0.852941176470588
ecoli,svmLinear,km,6,0.852941176470588,0.852941176470588
ecoli,svmLinear,km,7,0.864705882352941,0.864705882352941
ecoli,svmLinear,km,8,0.858823529411765,0.858823529411765
ecoli,svmLinear,km,9,0.864705882352941,0.864705882352941
ecoli,svmLinear,km,10,0.870588235294118,0.870588235294118
ecoli,svmLinear,km,11,0.870588235294118,0.870588235294118
ecoli,svmLinear,km,12,0.876470588235294,0.876470588235294
ecoli,svmLinear,km,13,0.882352941176471,0.882352941176471
vowel-context,svmLinear,km,1,0.143434343434343,0.143434343434343
vowel-context,svmLinear,km,2,0.268686868686869,0.268686868686869
vowel-context,svmLinear,km,3,0.335353535353535,0.335353535353535
vowel-context,svmLinear,km,4,0.35959595959596,0.35959595959596
vowel-context,svmLinear,km,5,0.539393939393939,0.539393939393939
vowel-context,svmLinear,km,6,0.618181818181818,0.618181818181818
vowel-context,svmLinear,km,7,0.688888888888889,0.688888888888889
vowel-context,svmLinear,km,8,0.694949494949495,0.694949494949495
vowel-context,svmLinear,km,9,0.761616161616162,0.761616161616162
vowel-context,svmLinear,km,10,0.808080808080808,0.808080808080808
vowel-context,svmLinear,km,11,0.822222222222222,0.822222222222222
vowel-context,svmLinear,km,12,0.860606060606061,0.860606060606061
vowel-context,svmLinear,km,13,0.862626262626263,0.862626262626263
vowel-context,svmLinear,km,14,0.901010101010101,0.901010101010101
vowel-context,svmLinear,km,15,0.892929292929293,0.892929292929293
vowel-context,svmLinear,km,16,0.894949494949495,0.894949494949495
vowel-context,svmLinear,km,17,0.898989898989899,0.898989898989899
vowel-context,svmLinear,km,18,0.911111111111111,0.911111111111111
vowel-context,svmLinear,km,19,0.913131313131313,0.913131313131313
vowel-context,svmLinear,km,20,0.911111111111111,0.911111111111111
vowel-context,svmLinear,km,21,0.907070707070707,0.907070707070707
vowel-context,svmLinear,km,22,0.907070707070707,0.907070707070707
vowel-context,svmLinear,km,23,0.915151515151515,0.915151515151515
vowel-context,svmLinear,km,24,0.921212121212121,0.921212121212121
vowel-context,svmLinear,km,25,0.921212121212121,0.921212121212121
vowel-context,svmLinear,km,26,0.925252525252525,0.925252525252525
vowel-context,svmLinear,km,27,0.925252525252525,0.925252525252525
vowel-context,svmLinear,km,28,0.927272727272727,0.927272727272727
vowel-context,svmLinear,km,29,0.923232323232323,0.923232323232323
vowel-context,svmLinear,km,30,0.933333333333333,0.933333333333333
vowel-context,svmLinear,km,31,0.933333333333333,0.933333333333333
vowel-context,svmLinear,km,32,0.937373737373737,0.937373737373737
vowel-context,svmLinear,km,33,0.939393939393939,0.939393939393939
vowel-context,svmLinear,km,34,0.943434343434343,0.943434343434343
vowel-context,svmLinear,km,35,0.945454545454545,0.945454545454545
vowel-context,svmLinear,km,36,0.94949494949495,0.94949494949495
vowel-context,svmLinear,km,37,0.953535353535354,0.953535353535354
vowel-context,svmLinear,km,38,0.953535353535354,0.953535353535354
vowel-context,svmLinear,km,39,0.955555555555556,0.955555555555556
vowel-context,svmLinear,km,40,0.955555555555556,0.955555555555556
vowel-context,svmLinear,km,41,0.955555555555556,0.955555555555556
vowel-context,svmLinear,km,42,0.957575757575758,0.957575757575758
vowel-context,svmLinear,km,43,0.957575757575758,0.957575757575758
vowel-context,svmLinear,km,44,0.957575757575758,0.957575757575758
vowel-context,svmLinear,km,45,0.963636363636364,0.963636363636364
iris,svmLinear,km,1,0.666666666666667,0.666666666666667
iris,svmLinear,km,2,0.813333333333333,0.813333333333333
iris,svmLinear,km,3,0.893333333333333,0.893333333333333
iris,svmLinear,km,4,0.973333333333333,0.973333333333333
iris,svmLinear,km,5,0.96,0.96
iris,svmLinear,km,6,0.986666666666667,0.986666666666667
pima-indians-diabetes,svmLinear,km,1,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,2,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,3,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,4,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,5,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,6,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,7,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,8,0.651041666666667,0.651041666666667
pima-indians-diabetes,svmLinear,km,9,0.755208333333333,0.755208333333333
pima-indians-diabetes,svmLinear,km,10,0.765625,0.765625
pima-indians-diabetes,svmLinear,km,11,0.765625,0.765625
pima-indians-diabetes,svmLinear,km,12,0.768229166666667,0.768229166666667
pima-indians-diabetes,svmLinear,km,13,0.765625,0.765625
pima-indians-diabetes,svmLinear,km,14,0.760416666666667,0.760416666666667
pima-indians-diabetes,svmLinear,km,15,0.770833333333333,0.770833333333333
pima-indians-diabetes,svmLinear,km,16,0.770833333333333,0.770833333333333
pima-indians-diabetes,svmLinear,km,17,0.765625,0.765625
pima-indians-diabetes,svmLinear,km,18,0.763020833333333,0.763020833333333
pima-indians-diabetes,svmLinear,km,19,0.763020833333333,0.763020833333333
pima-indians-diabetes,svmLinear,km,20,0.768229166666667,0.768229166666667
pima-indians-diabetes,svmLinear,km,21,0.768229166666667,0.768229166666667
pima-indians-diabetes,svmLinear,km,22,0.768229166666667,0.768229166666667
pima-indians-diabetes,svmLinear,km,23,0.768229166666667,0.768229166666667
pima-indians-diabetes,svmLinear,km,24,0.770833333333333,0.770833333333333
pima-indians-diabetes,svmLinear,km,25,0.7734375,0.7734375
pima-indians-diabetes,svmLinear,km,26,0.776041666666667,0.776041666666667
pima-indians-diabetes,svmLinear,km,27,0.778645833333333,0.778645833333333
pima-indians-diabetes,svmLinear,km,28,0.778645833333333,0.778645833333333
pima-indians-diabetes,svmLinear,km,29,0.778645833333333,0.778645833333333
pima-indians-diabetes,svmLinear,km,30,0.778645833333333,0.778645833333333
pima-indians-diabetes,svmLinear,km,31,0.7734375,0.7734375
pima-indians-diabetes,svmLinear,km,32,0.776041666666667,0.776041666666667
pima-indians-diabetes,svmLinear,km,33,0.7734375,0.7734375
pima-indians-diabetes,svmLinear,km,34,0.778645833333333,0.778645833333333
pima-indians-diabetes,svmLinear,km,35,0.778645833333333,0.778645833333333
sonar.all,svmLinear,km,1,0.533333333333333,0.533333333333333
sonar.all,svmLinear,km,2,0.533333333333333,0.533333333333333
sonar.all,svmLinear,km,3,0.533333333333333,0.533333333333333
sonar.all,svmLinear,km,4,0.676190476190476,0.676190476190476
