Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,km,1,0.811111111111111,0.811111111111111
wine,svmLinear,km,2,0.822222222222222,0.822222222222222
wine,svmLinear,km,3,0.966666666666667,0.966666666666667
wine,svmLinear,km,4,0.966666666666667,0.966666666666667
wine,svmLinear,km,5,0.966666666666667,0.966666666666667
wine,svmLinear,km,6,0.966666666666667,0.966666666666667
wine,svmLinear,km,7,0.966666666666667,0.966666666666667
wine,svmLinear,km,8,0.977777777777778,0.977777777777778
wine,svmLinear,km,9,0.988888888888889,0.988888888888889
wine,svmLinear,km,10,0.988888888888889,0.988888888888889
breast-cancer-wisconsin,svmLinear,km,1,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,2,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,3,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,4,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,5,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,6,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,7,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,8,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,9,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,10,0.976608187134503,0.976608187134503
breast-cancer-wisconsin,svmLinear,km,11,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,12,0.973684210526316,0.973684210526316
breast-cancer-wisconsin,svmLinear,km,13,0.97953216374269,0.97953216374269
breast-cancer-wisconsin,svmLinear,km,14,0.97953216374269,0.97953216374269
breast-cancer-wisconsin,svmLinear,km,15,0.97953216374269,0.97953216374269
breast-cancer-wisconsin,svmLinear,km,16,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,17,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,18,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,19,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,20,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,21,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,22,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,23,0.985380116959064,0.985380116959064
breast-cancer-wisconsin,svmLinear,km,24,0.982456140350877,0.982456140350877
breast-cancer-wisconsin,svmLinear,km,25,0.982456140350877,0.982456140350877
yeast,svmLinear,km,1,0.334228187919463,0.334228187919463
