Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,km,10,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,km,25,0.97953216374269,0.947214076246334
yeast,svmLinear,km,58,0.624161073825503,0.581867388362652
glass,svmLinear,km,16,0.73394495412844,0.60952380952381
vowel-context,svmLinear,km,45,0.894949494949495,0.793939393939394
iris,svmLinear,km,6,0.986666666666667,0.96
pima-indians-diabetes,svmLinear,km,35,0.786458333333333,0.770833333333333
sonar.all,svmLinear,km,16,0.885714285714286,0.543689320388349
ionosphere,svmLinear,km,29,0.948863636363636,0.925714285714286
spectrometer,svmLinear,km,29,0.478723404255319,0.188755020080321
statlog-vehicle,svmLinear,km,27,0.858490566037736,0.774881516587678
optdigits,svmLinear,km,178,0.989683386695126,0.976148095407618
statlog-satimage,svmLinear,km,73,0.89251320285803,0.876554726368159
pendigits,svmLinear,km,136,0.989816330241862,0.977607864554888
wine,svmLinear,km,10,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,km,25,0.961988304093567,0.976539589442815
yeast,svmLinear,km,58,0.605369127516779,0.579161028416779
glass,svmLinear,km,16,0.706422018348624,0.580952380952381
vowel-context,svmLinear,km,45,0.890909090909091,0.81010101010101
iris,svmLinear,km,6,0.973333333333333,0.973333333333333
pima-indians-diabetes,svmLinear,km,35,0.791666666666667,0.736979166666667
sonar.all,svmLinear,km,16,0.828571428571429,0.601941747572815
ionosphere,svmLinear,km,29,0.931818181818182,0.965714285714286
spectrometer,svmLinear,km,29,0.485815602836879,0.196787148594378
statlog-vehicle,svmLinear,km,27,0.85377358490566,0.803317535545024
statlog-satimage,svmLinear,km,73,0.896241068654862,0.870335820895522
pendigits,svmLinear,km,136,0.989816330241862,0.978336064081558
wine,svmLinear,km,10,1,1
breast-cancer-wisconsin,svmLinear,km,25,0.976608187134503,0.964809384164223
yeast,svmLinear,km,58,0.605369127516779,0.606224627875507
glass,svmLinear,km,16,0.844036697247706,0.571428571428571
vowel-context,svmLinear,km,45,0.890909090909091,0.765656565656566
iris,svmLinear,km,6,0.96,0.933333333333333
pima-indians-diabetes,svmLinear,km,35,0.770833333333333,0.7890625
sonar.all,svmLinear,km,16,0.819047619047619,0.563106796116505
ionosphere,svmLinear,km,29,0.948863636363636,0.931428571428571
spectrometer,svmLinear,km,29,0.51063829787234,0.208835341365462
statlog-vehicle,svmLinear,km,27,0.863207547169811,0.779620853080569
statlog-satimage,svmLinear,km,73,0.892202547374961,0.877487562189055
pendigits,svmLinear,km,136,0.987815966539371,0.980156562898234
wine,svmLinear,km,10,1,0.954545454545455
breast-cancer-wisconsin,svmLinear,km,25,0.97953216374269,0.964809384164223
yeast,svmLinear,km,58,0.633557046979866,0.571041948579161
glass,svmLinear,km,16,0.697247706422018,0.704761904761905
ecoli,svmLinear,km,13,0.870588235294118,0.867469879518072
vowel-context,svmLinear,km,45,0.898989898989899,0.781818181818182
iris,svmLinear,km,6,0.986666666666667,0.96
pima-indians-diabetes,svmLinear,km,35,0.7734375,0.78125
sonar.all,svmLinear,km,16,0.876190476190476,0.543689320388349
ionosphere,svmLinear,km,29,0.965909090909091,0.914285714285714
spectrometer,svmLinear,km,29,0.460992907801418,0.224899598393574
statlog-vehicle,svmLinear,km,27,0.851415094339623,0.805687203791469
statlog-satimage,svmLinear,km,73,0.8928238583411,0.873756218905473
pendigits,svmLinear,km,136,0.988543371522095,0.979974513016567
wine,svmLinear,km,10,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,km,25,0.976608187134503,0.967741935483871
yeast,svmLinear,km,58,0.604026845637584,0.583220568335589
glass,svmLinear,km,16,0.761467889908257,0.60952380952381
ecoli,svmLinear,km,13,0.905882352941176,0.873493975903614
vowel-context,svmLinear,km,45,0.901010101010101,0.822222222222222
iris,svmLinear,km,6,0.986666666666667,0.973333333333333
pima-indians-diabetes,svmLinear,km,35,0.796875,0.7578125
sonar.all,svmLinear,km,16,0.79047619047619,0.533980582524272
ionosphere,svmLinear,km,29,0.954545454545455,0.914285714285714
spectrometer,svmLinear,km,29,0.460992907801418,0.192771084337349
statlog-vehicle,svmLinear,km,27,0.839622641509434,0.83175355450237
optdigits,svmLinear,km,178,0.992885094272501,0.978996084015664
statlog-satimage,svmLinear,km,73,0.895930413171792,0.874689054726368
pendigits,svmLinear,km,136,0.9894526277505,0.978336064081558
wine,svmLinear,km,10,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,km,25,0.985380116959064,0.950146627565982
yeast,svmLinear,km,58,0.620134228187919,0.566982408660352
glass,svmLinear,km,16,0.761467889908257,0.638095238095238
vowel-context,svmLinear,km,45,0.890909090909091,0.804040404040404
iris,svmLinear,km,6,0.973333333333333,0.973333333333333
pima-indians-diabetes,svmLinear,km,35,0.7734375,0.776041666666667
sonar.all,svmLinear,km,16,0.771428571428571,0.572815533980582
ionosphere,svmLinear,km,29,0.954545454545455,0.92
spectrometer,svmLinear,km,29,0.475177304964539,0.224899598393574
statlog-vehicle,svmLinear,km,27,0.837264150943396,0.786729857819905
optdigits,svmLinear,km,178,0.993240839558876,0.976148095407618
statlog-satimage,svmLinear,km,73,0.895930413171792,0.873756218905473
pendigits,svmLinear,km,136,0.989998181487543,0.977607864554888
wine,svmLinear,km,10,0.977777777777778,0.954545454545455
breast-cancer-wisconsin,svmLinear,km,25,0.982456140350877,0.958944281524927
yeast,svmLinear,km,58,0.608053691275168,0.611637347767253
glass,svmLinear,km,16,0.770642201834862,0.561904761904762
vowel-context,svmLinear,km,45,0.905050505050505,0.802020202020202
iris,svmLinear,km,6,0.973333333333333,0.96
pima-indians-diabetes,svmLinear,km,35,0.7890625,0.765625
sonar.all,svmLinear,km,16,0.857142857142857,0.504854368932039
ionosphere,svmLinear,km,29,0.965909090909091,0.92
spectrometer,svmLinear,km,29,0.457446808510638,0.200803212851406
statlog-vehicle,svmLinear,km,27,0.825471698113208,0.822274881516588
optdigits,svmLinear,km,178,0.990039131981501,0.977216091135635
statlog-satimage,svmLinear,km,73,0.890649269959615,0.879042288557214
pendigits,svmLinear,km,136,0.989816330241862,0.978882213726561
wine,svmLinear,km,10,0.988888888888889,0.954545454545455
breast-cancer-wisconsin,svmLinear,km,25,0.97953216374269,0.964809384164223
yeast,svmLinear,km,58,0.587919463087248,0.576454668470907
glass,svmLinear,km,16,0.752293577981651,0.619047619047619
vowel-context,svmLinear,km,45,0.923232323232323,0.787878787878788
iris,svmLinear,km,6,0.96,0.973333333333333
pima-indians-diabetes,svmLinear,km,35,0.7734375,0.7734375
sonar.all,svmLinear,km,16,0.857142857142857,0.533980582524272
ionosphere,svmLinear,km,29,0.948863636363636,0.954285714285714
spectrometer,svmLinear,km,29,0.524822695035461,0.220883534136546
statlog-vehicle,svmLinear,km,27,0.834905660377358,0.777251184834123
statlog-satimage,svmLinear,km,73,0.890959925442684,0.874067164179104
pendigits,svmLinear,km,136,0.987088561556647,0.983069361004915
wine,svmLinear,km,10,0.988888888888889,0.954545454545455
breast-cancer-wisconsin,svmLinear,km,25,0.97953216374269,0.961876832844575
yeast,svmLinear,km,58,0.595973154362416,0.589986468200271
glass,svmLinear,km,16,0.73394495412844,0.619047619047619
ecoli,svmLinear,km,13,0.882352941176471,0.855421686746988
vowel-context,svmLinear,km,45,0.911111111111111,0.783838383838384
iris,svmLinear,km,6,0.986666666666667,0.96
pima-indians-diabetes,svmLinear,km,35,0.776041666666667,0.755208333333333
sonar.all,svmLinear,km,16,0.838095238095238,0.621359223300971
ionosphere,svmLinear,km,29,0.954545454545455,0.914285714285714
spectrometer,svmLinear,km,29,0.471631205673759,0.196787148594378
statlog-vehicle,svmLinear,km,27,0.860849056603774,0.786729857819905
optdigits,svmLinear,km,178,0.994308075418001,0.975080099679601
statlog-satimage,svmLinear,km,73,0.893755824790308,0.874067164179104
pendigits,svmLinear,km,136,0.988361520276414,0.981612961951575
wine,svmLinear,km,10,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,km,25,0.970760233918129,0.964809384164223
yeast,svmLinear,km,58,0.626845637583893,0.568335588633288
glass,svmLinear,km,16,0.761467889908257,0.676190476190476
ecoli,svmLinear,km,13,0.882352941176471,0.86144578313253
vowel-context,svmLinear,km,45,0.903030303030303,0.777777777777778
iris,svmLinear,km,6,0.973333333333333,0.96
pima-indians-diabetes,svmLinear,km,35,0.7890625,0.765625
sonar.all,svmLinear,km,16,0.857142857142857,0.572815533980582
ionosphere,svmLinear,km,29,0.948863636363636,0.954285714285714
spectrometer,svmLinear,km,29,0.471631205673759,0.216867469879518
statlog-vehicle,svmLinear,km,27,0.844339622641509,0.772511848341232
optdigits,svmLinear,km,178,0.989683386695126,0.97686009255963
statlog-satimage,svmLinear,km,73,0.895930413171792,0.872823383084577
pendigits,svmLinear,km,136,0.987997817785052,0.978882213726561
image-segmentation,svmLinear,km,56,0.945454545454545,0.927272727272727
image-segmentation,svmLinear,km,56,0.947186147186147,0.930735930735931
image-segmentation,svmLinear,km,56,0.947186147186147,0.937662337662338
image-segmentation,svmLinear,km,56,0.934199134199134,0.921212121212121
image-segmentation,svmLinear,km,56,0.945454545454545,0.932467532467532
image-segmentation,svmLinear,km,56,0.951515151515152,0.935064935064935
image-segmentation,svmLinear,km,56,0.937662337662338,0.932467532467532
image-segmentation,svmLinear,km,56,0.944588744588745,0.922077922077922
image-segmentation,svmLinear,km,56,0.954978354978355,0.930735930735931
image-segmentation,svmLinear,km,56,0.951515151515152,0.94025974025974
