Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,km,10,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,km,25,0.982456140350877,0.950146627565982
yeast,svmLinear,km,58,0.648322147651007,0.584573748308525
glass,svmLinear,km,16,0.743119266055046,0.723809523809524
ecoli,svmLinear,km,13,0.870588235294118,0.885542168674699
vowel-context,svmLinear,km,45,0.94949494949495,0.862626262626263
iris,svmLinear,km,6,0.933333333333333,0.946666666666667
pima-indians-diabetes,svmLinear,km,35,0.791666666666667,0.765625
sonar.all,svmLinear,km,16,0.876190476190476,0.718446601941748
image-segmentation,svmLinear,km,56,0.950649350649351,0.926406926406926
ionosphere,svmLinear,km,29,0.977272727272727,0.914285714285714
spectrometer,svmLinear,km,29,0.74113475177305,0.518072289156627
statlog-vehicle,svmLinear,km,27,0.773584905660377,0.696682464454976
optdigits,svmLinear,km,178,0.99644254713625,0.972944108223567
statlog-satimage,svmLinear,km,73,0.905871388630009,0.885572139303483
pendigits,svmLinear,km,136,0.995090016366612,0.990351356271618
wine,svmLinear,km,10,1,0.954545454545455
breast-cancer-wisconsin,svmLinear,km,25,0.991228070175439,0.958944281524927
yeast,svmLinear,km,58,0.638926174496644,0.625169147496617
glass,svmLinear,km,16,0.807339449541284,0.685714285714286
ecoli,svmLinear,km,13,0.852941176470588,0.873493975903614
vowel-context,svmLinear,km,45,0.939393939393939,0.864646464646465
iris,svmLinear,km,6,0.946666666666667,0.84
pima-indians-diabetes,svmLinear,km,35,0.799479166666667,0.786458333333333
sonar.all,svmLinear,km,16,0.866666666666667,0.718446601941748
image-segmentation,svmLinear,km,56,0.944588744588745,0.927272727272727
ionosphere,svmLinear,km,29,0.971590909090909,0.96
spectrometer,svmLinear,km,29,0.687943262411348,0.562248995983936
statlog-vehicle,svmLinear,km,27,0.745283018867924,0.718009478672986
optdigits,svmLinear,km,178,0.993952330131626,0.97436810252759
statlog-satimage,svmLinear,km,73,0.904939422180801,0.892412935323383
pendigits,svmLinear,km,136,0.995817421349336,0.990169306389951
wine,svmLinear,km,10,0.988888888888889,0.965909090909091
breast-cancer-wisconsin,svmLinear,km,25,0.973684210526316,0.967741935483871
yeast,svmLinear,km,58,0.625503355704698,0.611637347767253
glass,svmLinear,km,16,0.761467889908257,0.714285714285714
ecoli,svmLinear,km,13,0.870588235294118,0.879518072289157
vowel-context,svmLinear,km,45,0.951515151515152,0.874747474747475
iris,svmLinear,km,6,0.92,0.96
pima-indians-diabetes,svmLinear,km,35,0.794270833333333,0.744791666666667
sonar.all,svmLinear,km,16,0.885714285714286,0.796116504854369
image-segmentation,svmLinear,km,56,0.952380952380952,0.936796536796537
ionosphere,svmLinear,km,29,0.965909090909091,0.908571428571429
spectrometer,svmLinear,km,29,0.691489361702128,0.558232931726908
statlog-vehicle,svmLinear,km,27,0.75,0.718009478672986
optdigits,svmLinear,km,178,0.994663820704376,0.973656105375578
statlog-satimage,svmLinear,km,73,0.904007455731594,0.885261194029851
pendigits,svmLinear,km,136,0.995817421349336,0.987802657928272
wine,svmLinear,km,10,0.988888888888889,0.988636363636364
breast-cancer-wisconsin,svmLinear,km,25,0.982456140350877,0.956011730205279
yeast,svmLinear,km,58,0.633557046979866,0.603518267929635
glass,svmLinear,km,16,0.761467889908257,0.714285714285714
ecoli,svmLinear,km,13,0.905882352941176,0.831325301204819
vowel-context,svmLinear,km,45,0.945454545454545,0.874747474747475
iris,svmLinear,km,6,0.96,0.92
pima-indians-diabetes,svmLinear,km,35,0.802083333333333,0.747395833333333
sonar.all,svmLinear,km,16,0.780952380952381,0.776699029126214
image-segmentation,svmLinear,km,56,0.948051948051948,0.915151515151515
ionosphere,svmLinear,km,29,0.977272727272727,0.948571428571429
spectrometer,svmLinear,km,29,0.673758865248227,0.522088353413655
statlog-vehicle,svmLinear,km,27,0.806603773584906,0.701421800947867
optdigits,svmLinear,km,178,0.993240839558876,0.968672125311499
statlog-satimage,svmLinear,km,73,0.898726312519416,0.89023631840796
pendigits,svmLinear,km,136,0.996362975086379,0.988530857454943
wine,svmLinear,km,10,1,0.954545454545455
breast-cancer-wisconsin,svmLinear,km,25,0.970760233918129,0.964809384164223
yeast,svmLinear,km,58,0.663087248322148,0.587280108254398
glass,svmLinear,km,16,0.770642201834862,0.657142857142857
ecoli,svmLinear,km,13,0.888235294117647,0.813253012048193
vowel-context,svmLinear,km,45,0.953535353535354,0.854545454545454
iris,svmLinear,km,6,0.933333333333333,0.893333333333333
