Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,15,0.988888888888889,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,36,0.976608187134503,0.967741935483871
yeast,svmLinear,ap,90,0.660402684563758,0.591339648173207
glass,svmLinear,ap,29,0.834862385321101,0.685714285714286
ecoli,svmLinear,ap,21,0.935294117647059,0.843373493975904
vowel-context,svmLinear,ap,81,0.983838383838384,0.911111111111111
iris,svmLinear,ap,9,0.906666666666667,0.933333333333333
pima-indians-diabetes,svmLinear,ap,58,0.783854166666667,0.783854166666667
sonar.all,svmLinear,ap,26,0.847619047619048,0.864077669902913
image-segmentation,svmLinear,ap,93,0.945454545454545,0.941991341991342
ionosphere,svmLinear,ap,48,0.982954545454545,0.914285714285714
spectrometer,svmLinear,ap,39,0.716312056737589,0.566265060240964
statlog-vehicle,svmLinear,ap,41,0.785377358490566,0.720379146919431
optdigits,svmLinear,ap,298,0.997154037709,0.975436098255607
statlog-satimage,svmLinear,ap,114,0.909599254426841,0.901119402985075
pendigits,svmLinear,ap,212,0.997635933806147,0.990897505916621
wine,svmLinear,ap,15,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,36,0.982456140350877,0.953079178885631
yeast,svmLinear,ap,90,0.657718120805369,0.592692828146143
glass,svmLinear,ap,29,0.798165137614679,0.723809523809524
ecoli,svmLinear,ap,21,0.911764705882353,0.849397590361446
vowel-context,svmLinear,ap,81,0.987878787878788,0.911111111111111
iris,svmLinear,ap,9,0.933333333333333,0.92
pima-indians-diabetes,svmLinear,ap,58,0.802083333333333,0.760416666666667
sonar.all,svmLinear,ap,26,0.876190476190476,0.854368932038835
image-segmentation,svmLinear,ap,94,0.96017316017316,0.929004329004329
ionosphere,svmLinear,ap,48,0.977272727272727,0.937142857142857
spectrometer,svmLinear,ap,39,0.769503546099291,0.55421686746988
statlog-vehicle,svmLinear,ap,41,0.780660377358491,0.729857819905213
optdigits,svmLinear,ap,297,0.99786552828175,0.970452118191527
statlog-satimage,svmLinear,ap,114,0.911152531842187,0.889925373134328
pendigits,svmLinear,ap,212,0.996726677577741,0.991079555798289
wine,svmLinear,ap,15,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,36,0.97953216374269,0.958944281524927
yeast,svmLinear,ap,90,0.652348993288591,0.591339648173207
glass,svmLinear,ap,29,0.834862385321101,0.638095238095238
ecoli,svmLinear,ap,21,0.929411764705882,0.855421686746988
vowel-context,svmLinear,ap,81,0.975757575757576,0.919191919191919
iris,svmLinear,ap,9,0.946666666666667,0.906666666666667
pima-indians-diabetes,svmLinear,ap,58,0.825520833333333,0.763020833333333
sonar.all,svmLinear,ap,26,0.866666666666667,0.815533980582524
image-segmentation,svmLinear,ap,93,0.951515151515152,0.935930735930736
ionosphere,svmLinear,ap,48,0.971590909090909,0.897142857142857
spectrometer,svmLinear,ap,39,0.737588652482269,0.51004016064257
statlog-vehicle,svmLinear,ap,41,0.759433962264151,0.744075829383886
optdigits,svmLinear,ap,298,0.997509782995375,0.976148095407618
statlog-satimage,svmLinear,ap,114,0.904318111214663,0.893034825870647
pendigits,svmLinear,ap,212,0.997635933806147,0.989623156744948
wine,svmLinear,ap,15,0.977777777777778,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,36,0.967836257309941,0.98533724340176
yeast,svmLinear,ap,90,0.632214765100671,0.603518267929635
glass,svmLinear,ap,29,0.807339449541284,0.752380952380952
ecoli,svmLinear,ap,21,0.923529411764706,0.831325301204819
vowel-context,svmLinear,ap,81,0.977777777777778,0.909090909090909
iris,svmLinear,ap,9,0.946666666666667,0.893333333333333
pima-indians-diabetes,svmLinear,ap,58,0.809895833333333,0.7578125
sonar.all,svmLinear,ap,26,0.914285714285714,0.776699029126214
image-segmentation,svmLinear,ap,92,0.954978354978355,0.918614718614719
ionosphere,svmLinear,ap,48,0.971590909090909,0.914285714285714
spectrometer,svmLinear,ap,39,0.730496453900709,0.530120481927711
statlog-vehicle,svmLinear,ap,41,0.766509433962264,0.725118483412322
optdigits,svmLinear,ap,298,0.997154037709,0.974724101103596
statlog-satimage,svmLinear,ap,114,0.908045977011494,0.894278606965174
pendigits,svmLinear,ap,212,0.996908528823422,0.991807755324959
wine,svmLinear,ap,15,1,0.931818181818182
breast-cancer-wisconsin,svmLinear,ap,36,0.985380116959064,0.958944281524927
yeast,svmLinear,ap,90,0.638926174496644,0.625169147496617
glass,svmLinear,ap,29,0.788990825688073,0.704761904761905
ecoli,svmLinear,ap,21,0.923529411764706,0.837349397590361
vowel-context,svmLinear,ap,81,0.977777777777778,0.903030303030303
iris,svmLinear,ap,9,0.96,0.893333333333333
pima-indians-diabetes,svmLinear,ap,58,0.807291666666667,0.78125
sonar.all,svmLinear,ap,26,0.904761904761905,0.737864077669903
image-segmentation,svmLinear,ap,93,0.948917748917749,0.94025974025974
ionosphere,svmLinear,ap,48,0.982954545454545,0.908571428571429
