Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,km,15,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,km,36,0.982456140350877,0.956011730205279
yeast,svmLinear,km,90,0.688590604026846,0.584573748308525
glass,svmLinear,km,29,0.807339449541284,0.676190476190476
ecoli,svmLinear,km,21,0.894117647058824,0.891566265060241
vowel-context,svmLinear,km,81,0.981818181818182,0.913131313131313
iris,svmLinear,km,9,0.96,0.92
pima-indians-diabetes,svmLinear,km,58,0.817708333333333,0.7421875
sonar.all,svmLinear,km,26,0.933333333333333,0.805825242718447
image-segmentation,svmLinear,km,93,0.962770562770563,0.934199134199134
ionosphere,svmLinear,km,48,0.971590909090909,0.925714285714286
spectrometer,svmLinear,km,39,0.773049645390071,0.534136546184739
statlog-vehicle,svmLinear,km,41,0.780660377358491,0.706161137440758
optdigits,svmLinear,km,298,0.99644254713625,0.976148095407618
statlog-satimage,svmLinear,km,114,0.904628766697732,0.89365671641791
pendigits,svmLinear,km,212,0.995999272595017,0.992171855088294
wine,svmLinear,km,15,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,km,36,0.97953216374269,0.964809384164223
yeast,svmLinear,km,90,0.641610738255034,0.626522327469553
glass,svmLinear,km,29,0.807339449541284,0.695238095238095
ecoli,svmLinear,km,21,0.888235294117647,0.86144578313253
vowel-context,svmLinear,km,81,0.975757575757576,0.909090909090909
iris,svmLinear,km,9,0.986666666666667,0.946666666666667
pima-indians-diabetes,svmLinear,km,58,0.815104166666667,0.768229166666667
sonar.all,svmLinear,km,26,0.885714285714286,0.766990291262136
image-segmentation,svmLinear,km,93,0.953246753246753,0.94978354978355
ionosphere,svmLinear,km,48,0.982954545454545,0.931428571428571
spectrometer,svmLinear,km,39,0.719858156028369,0.534136546184739
statlog-vehicle,svmLinear,km,41,0.768867924528302,0.751184834123223
optdigits,svmLinear,km,298,0.997154037709,0.97436810252759
statlog-satimage,svmLinear,km,114,0.902454178316247,0.899253731343284
pendigits,svmLinear,km,212,0.995635570103655,0.989623156744948
wine,svmLinear,km,15,0.988888888888889,0.977272727272727
breast-cancer-wisconsin,svmLinear,km,36,0.988304093567251,0.967741935483871
yeast,svmLinear,km,90,0.679194630872483,0.59404600811908
glass,svmLinear,km,29,0.807339449541284,0.666666666666667
ecoli,svmLinear,km,21,0.888235294117647,0.837349397590361
vowel-context,svmLinear,km,81,0.981818181818182,0.901010101010101
iris,svmLinear,km,9,0.973333333333333,0.92
pima-indians-diabetes,svmLinear,km,58,0.817708333333333,0.770833333333333
sonar.all,svmLinear,km,26,0.895238095238095,0.776699029126214
image-segmentation,svmLinear,km,93,0.954112554112554,0.947186147186147
ionosphere,svmLinear,km,48,0.988636363636364,0.931428571428571
spectrometer,svmLinear,km,39,0.719858156028369,0.546184738955823
statlog-vehicle,svmLinear,km,41,0.797169811320755,0.706161137440758
optdigits,svmLinear,km,298,0.99786552828175,0.976148095407618
statlog-satimage,svmLinear,km,114,0.903075489282386,0.895833333333333
