Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,9,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,21,0.988304093567251,0.956011730205279
yeast,svmLinear,ap,56,0.676510067114094,0.603518267929635
glass,svmLinear,ap,22,0.798165137614679,0.695238095238095
ecoli,svmLinear,ap,13,0.923529411764706,0.867469879518072
vowel-context,svmLinear,ap,44,0.96969696969697,0.903030303030303
iris,svmLinear,ap,5,0.973333333333333,0.96
pima-indians-diabetes,svmLinear,ap,32,0.809895833333333,0.716145833333333
sonar.all,svmLinear,ap,19,1,0.737864077669903
image-segmentation,svmLinear,ap,57,0.966233766233766,0.94025974025974
ionosphere,svmLinear,ap,28,0.982954545454545,0.914285714285714
spectrometer,svmLinear,ap,26,0.99645390070922,0.550200803212851
statlog-vehicle,svmLinear,ap,27,0.851415094339623,0.793838862559242
optdigits,svmLinear,ap,185,1,0.977928088287647
statlog-satimage,svmLinear,ap,71,0.92295744019882,0.887748756218905
pendigits,svmLinear,ap,136,0.996362975086379,0.991261605679956
wine,svmLinear,ap,8,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,23,0.97953216374269,0.958944281524927
yeast,svmLinear,ap,59,0.67248322147651,0.568335588633288
glass,svmLinear,ap,18,0.807339449541284,0.676190476190476
ecoli,svmLinear,ap,14,0.905882352941176,0.86144578313253
vowel-context,svmLinear,ap,46,0.965656565656566,0.862626262626263
iris,svmLinear,ap,6,0.986666666666667,0.946666666666667
pima-indians-diabetes,svmLinear,ap,38,0.763020833333333,0.783854166666667
sonar.all,svmLinear,ap,18,1,0.766990291262136
image-segmentation,svmLinear,ap,54,0.959307359307359,0.957575757575758
ionosphere,svmLinear,ap,25,0.994318181818182,0.92
spectrometer,svmLinear,ap,28,0.99645390070922,0.534136546184739
statlog-vehicle,svmLinear,ap,26,0.870283018867924,0.815165876777251
optdigits,svmLinear,ap,175,1,0.974724101103596
statlog-satimage,svmLinear,ap,76,0.922336129232681,0.894278606965174
pendigits,svmLinear,ap,136,0.997454082560466,0.991807755324959
wine,svmLinear,ap,8,1,0.954545454545455
breast-cancer-wisconsin,svmLinear,ap,23,0.961988304093567,0.982404692082111
yeast,svmLinear,ap,59,0.669798657718121,0.564276048714479
glass,svmLinear,ap,17,0.788990825688073,0.714285714285714
ecoli,svmLinear,ap,14,0.923529411764706,0.855421686746988
vowel-context,svmLinear,ap,45,0.973737373737374,0.886868686868687
iris,svmLinear,ap,6,0.946666666666667,0.986666666666667
pima-indians-diabetes,svmLinear,ap,38,0.815104166666667,0.765625
sonar.all,svmLinear,ap,17,1,0.757281553398058
image-segmentation,svmLinear,ap,52,0.957575757575758,0.956709956709957
ionosphere,svmLinear,ap,29,0.994318181818182,0.92
spectrometer,svmLinear,ap,26,0.99645390070922,0.550200803212851
statlog-vehicle,svmLinear,ap,27,0.851415094339623,0.796208530805687
optdigits,svmLinear,ap,187,1,0.976504093983624
statlog-satimage,svmLinear,ap,73,0.922025473749612,0.899875621890547
pendigits,svmLinear,ap,142,0.996908528823422,0.990169306389951
wine,svmLinear,ap,10,1,0.943181818181818
breast-cancer-wisconsin,svmLinear,ap,20,0.976608187134503,0.961876832844575
yeast,svmLinear,ap,56,0.653691275167785,0.588633288227334
glass,svmLinear,ap,15,0.761467889908257,0.723809523809524
ecoli,svmLinear,ap,16,0.935294117647059,0.831325301204819
vowel-context,svmLinear,ap,44,0.963636363636364,0.876767676767677
iris,svmLinear,ap,6,0.973333333333333,0.973333333333333
pima-indians-diabetes,svmLinear,ap,35,0.783854166666667,0.796875
sonar.all,svmLinear,ap,18,1,0.747572815533981
image-segmentation,svmLinear,ap,53,0.963636363636364,0.94978354978355
ionosphere,svmLinear,ap,27,0.965909090909091,0.96
spectrometer,svmLinear,ap,28,0.99645390070922,0.586345381526104
statlog-vehicle,svmLinear,ap,25,0.858490566037736,0.803317535545024
optdigits,svmLinear,ap,179,1,0.976148095407618
statlog-satimage,svmLinear,ap,71,0.916123019571295,0.898942786069652
pendigits,svmLinear,ap,135,0.997090380069103,0.990351356271618
wine,svmLinear,ap,9,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,22,0.973684210526316,0.961876832844575
yeast,svmLinear,ap,57,0.642953020134228,0.607577807848444
glass,svmLinear,ap,16,0.770642201834862,0.695238095238095
ecoli,svmLinear,ap,15,0.905882352941176,0.867469879518072
vowel-context,svmLinear,ap,44,0.97979797979798,0.901010101010101
iris,svmLinear,ap,7,0.986666666666667,0.933333333333333
pima-indians-diabetes,svmLinear,ap,39,0.825520833333333,0.75
sonar.all,svmLinear,ap,17,1,0.699029126213592
image-segmentation,svmLinear,ap,52,0.966233766233766,0.94978354978355
ionosphere,svmLinear,ap,27,0.994318181818182,0.897142857142857
spectrometer,svmLinear,ap,30,0.99645390070922,0.594377510040161
statlog-vehicle,svmLinear,ap,24,0.860849056603774,0.78436018957346
optdigits,svmLinear,ap,184,1,0.978996084015664
statlog-satimage,svmLinear,ap,67,0.923268095681889,0.891169154228856
pendigits,svmLinear,ap,138,0.99818148754319,0.991989805206627
wine,svmLinear,ap,10,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,ap,19,0.991228070175439,0.950146627565982
yeast,svmLinear,ap,54,0.652348993288591,0.581867388362652
glass,svmLinear,ap,17,0.825688073394495,0.704761904761905
ecoli,svmLinear,ap,12,0.894117647058824,0.837349397590361
vowel-context,svmLinear,ap,44,0.967676767676768,0.866666666666667
iris,svmLinear,ap,6,0.973333333333333,0.96
pima-indians-diabetes,svmLinear,ap,39,0.796875,0.791666666666667
sonar.all,svmLinear,ap,17,1,0.747572815533981
image-segmentation,svmLinear,ap,57,0.959307359307359,0.955844155844156
ionosphere,svmLinear,ap,29,0.988636363636364,0.902857142857143
spectrometer,svmLinear,ap,29,0.99645390070922,0.578313253012048
statlog-vehicle,svmLinear,ap,25,0.860849056603774,0.78436018957346
optdigits,svmLinear,ap,183,1,0.980776076895692
statlog-satimage,svmLinear,ap,73,0.913948431189811,0.89365671641791
pendigits,svmLinear,ap,140,0.996908528823422,0.991261605679956
wine,svmLinear,ap,9,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,ap,23,0.991228070175439,0.956011730205279
yeast,svmLinear,ap,57,0.648322147651007,0.607577807848444
glass,svmLinear,ap,17,0.779816513761468,0.704761904761905
ecoli,svmLinear,ap,13,0.905882352941176,0.849397590361446
vowel-context,svmLinear,ap,43,0.971717171717172,0.886868686868687
iris,svmLinear,ap,6,1,0.946666666666667
pima-indians-diabetes,svmLinear,ap,35,0.802083333333333,0.776041666666667
sonar.all,svmLinear,ap,16,0.990476190476191,0.747572815533981
image-segmentation,svmLinear,ap,51,0.955844155844156,0.958441558441558
ionosphere,svmLinear,ap,29,0.988636363636364,0.874285714285714
spectrometer,svmLinear,ap,29,0.99290780141844,0.578313253012048
statlog-vehicle,svmLinear,ap,27,0.863207547169811,0.803317535545024
optdigits,svmLinear,ap,171,1,0.975436098255607
statlog-satimage,svmLinear,ap,73,0.921404162783473,0.897077114427861
pendigits,svmLinear,ap,135,0.997999636297509,0.989259056981613
wine,svmLinear,ap,9,1,0.954545454545455
breast-cancer-wisconsin,svmLinear,ap,23,0.97953216374269,0.964809384164223
yeast,svmLinear,ap,51,0.659060402684564,0.602165087956698
glass,svmLinear,ap,19,0.825688073394495,0.685714285714286
ecoli,svmLinear,ap,14,0.917647058823529,0.831325301204819
vowel-context,svmLinear,ap,45,0.973737373737374,0.882828282828283
iris,svmLinear,ap,6,1,0.973333333333333
pima-indians-diabetes,svmLinear,ap,37,0.796875,0.796875
sonar.all,svmLinear,ap,18,0.980952380952381,0.796116504854369
