Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,no,0,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,no,0,0.976608187134503,0.970674486803519
yeast,svmLinear,no,0,0.606711409395973,0.583220568335589
glass,svmLinear,no,0,0.761467889908257,0.647619047619048
ecoli,svmLinear,no,0,0.876470588235294,0.855421686746988
vowel-context,svmLinear,no,0,0.834343434343434,0.751515151515151
iris,svmLinear,no,0,0.973333333333333,0.946666666666667
pima-indians-diabetes,svmLinear,no,0,0.796875,0.78125
sonar.all,svmLinear,no,0,1,0.737864077669903
image-segmentation,svmLinear,no,0,0.954978354978355,0.94978354978355
ionosphere,svmLinear,no,0,0.965909090909091,0.857142857142857
spectrometer,svmLinear,no,0,0.99645390070922,0.55421686746988
statlog-vehicle,svmLinear,no,0,0.832547169811321,0.767772511848341
optdigits,svmLinear,no,0,0.999644254713625,0.980064079743681
statlog-satimage,svmLinear,no,0,0.899036968002485,0.858830845771144
pendigits,svmLinear,no,0,0.985815602836879,0.979792463134899
wine,svmLinear,no,0,1,0.965909090909091
breast-cancer-wisconsin,svmLinear,no,0,0.973684210526316,0.970674486803519
yeast,svmLinear,no,0,0.577181208053691,0.584573748308525
glass,svmLinear,no,0,0.706422018348624,0.60952380952381
ecoli,svmLinear,no,0,0.911764705882353,0.891566265060241
vowel-context,svmLinear,no,0,0.842424242424242,0.767676767676768
iris,svmLinear,no,0,0.986666666666667,0.986666666666667
pima-indians-diabetes,svmLinear,no,0,0.783854166666667,0.7578125
sonar.all,svmLinear,no,0,0.980952380952381,0.786407766990291
image-segmentation,svmLinear,no,0,0.96017316017316,0.938528138528139
ionosphere,svmLinear,no,0,0.965909090909091,0.845714285714286
spectrometer,svmLinear,no,0,0.99645390070922,0.546184738955823
statlog-vehicle,svmLinear,no,0,0.851415094339623,0.786729857819905
optdigits,svmLinear,no,0,0.9985770188545,0.979708081167675
statlog-satimage,svmLinear,no,0,0.897483690587139,0.865982587064677
pendigits,svmLinear,no,0,0.983451536643026,0.980702712543237
wine,svmLinear,no,0,1,0.977272727272727
breast-cancer-wisconsin,svmLinear,no,0,0.97953216374269,0.950146627565982
yeast,svmLinear,no,0,0.61744966442953,0.580514208389716
glass,svmLinear,no,0,0.688073394495413,0.552380952380952
ecoli,svmLinear,no,0,0.911764705882353,0.855421686746988
vowel-context,svmLinear,no,0,0.856565656565657,0.77979797979798
iris,svmLinear,no,0,0.986666666666667,0.986666666666667
pima-indians-diabetes,svmLinear,no,0,0.796875,0.75
sonar.all,svmLinear,no,0,1,0.699029126213592
image-segmentation,svmLinear,no,0,0.951515151515152,0.931601731601732
ionosphere,svmLinear,no,0,0.960227272727273,0.868571428571429
spectrometer,svmLinear,no,0,0.99645390070922,0.566265060240964
statlog-vehicle,svmLinear,no,0,0.85377358490566,0.758293838862559
optdigits,svmLinear,no,0,1,0.978996084015664
statlog-satimage,svmLinear,no,0,0.893445169307238,0.864427860696517
pendigits,svmLinear,no,0,0.983633387888707,0.981430912069907
wine,svmLinear,no,0,1,0.988636363636364
breast-cancer-wisconsin,svmLinear,no,0,0.970760233918129,0.970674486803519
yeast,svmLinear,no,0,0.61744966442953,0.552097428958051
glass,svmLinear,no,0,0.779816513761468,0.638095238095238
ecoli,svmLinear,no,0,0.905882352941176,0.867469879518072
vowel-context,svmLinear,no,0,0.850505050505051,0.77979797979798
iris,svmLinear,no,0,0.986666666666667,0.986666666666667
pima-indians-diabetes,svmLinear,no,0,0.7734375,0.734375
sonar.all,svmLinear,no,0,1,0.776699029126214
image-segmentation,svmLinear,no,0,0.955844155844156,0.937662337662338
ionosphere,svmLinear,no,0,0.960227272727273,0.885714285714286
spectrometer,svmLinear,no,0,0.99645390070922,0.538152610441767
statlog-vehicle,svmLinear,no,0,0.830188679245283,0.815165876777251
optdigits,svmLinear,no,0,1,0.977928088287647
statlog-satimage,svmLinear,no,0,0.896551724137931,0.865049751243781
pendigits,svmLinear,no,0,0.985451900345517,0.983979610413253
