Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,svmLinear,ap,10,1,0.965909090909091
breast-cancer-wisconsin,svmLinear,ap,23,0.97953216374269,0.967741935483871
yeast,svmLinear,ap,53,0.656375838926174,0.579161028416779
glass,svmLinear,ap,15,0.752293577981651,0.714285714285714
ecoli,svmLinear,ap,13,0.917647058823529,0.843373493975904
vowel-context,svmLinear,ap,43,0.955555555555556,0.876767676767677
iris,svmLinear,ap,8,0.946666666666667,0.96
pima-indians-diabetes,svmLinear,ap,36,0.802083333333333,0.765625
sonar.all,svmLinear,ap,15,0.828571428571429,0.796116504854369
image-segmentation,svmLinear,ap,59,0.939393939393939,0.922077922077922
ionosphere,svmLinear,ap,28,0.965909090909091,0.914285714285714
spectrometer,svmLinear,ap,26,0.712765957446808,0.522088353413655
statlog-vehicle,svmLinear,ap,28,0.764150943396226,0.672985781990521
optdigits,svmLinear,ap,182,0.99644254713625,0.968316126735493
statlog-satimage,svmLinear,ap,75,0.906182044113079,0.886504975124378
pendigits,svmLinear,ap,140,0.99654482633206,0.989259056981613
wine,svmLinear,ap,10,1,0.954545454545455
breast-cancer-wisconsin,svmLinear,ap,20,0.985380116959064,0.944281524926686
yeast,svmLinear,ap,52,0.657718120805369,0.572395128552097
glass,svmLinear,ap,17,0.788990825688073,0.657142857142857
ecoli,svmLinear,ap,12,0.905882352941176,0.813253012048193
vowel-context,svmLinear,ap,45,0.953535353535354,0.896969696969697
iris,svmLinear,ap,5,0.906666666666667,0.933333333333333
pima-indians-diabetes,svmLinear,ap,36,0.809895833333333,0.765625
sonar.all,svmLinear,ap,17,0.895238095238095,0.737864077669903
image-segmentation,svmLinear,ap,56,0.945454545454545,0.933333333333333
ionosphere,svmLinear,ap,30,0.971590909090909,0.908571428571429
spectrometer,svmLinear,ap,28,0.719858156028369,0.506024096385542
statlog-vehicle,svmLinear,ap,25,0.716981132075472,0.708530805687204
optdigits,svmLinear,ap,175,0.995019565990751,0.972944108223567
statlog-satimage,svmLinear,ap,70,0.901832867350109,0.894278606965174
pendigits,svmLinear,ap,133,0.994908165120931,0.989077007099945
wine,svmLinear,ap,11,1,0.965909090909091
breast-cancer-wisconsin,svmLinear,ap,23,0.982456140350877,0.961876832844575
