Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,multinom,ap,9,1,0.988636363636364
wine,pda,ap,9,1,0.977272727272727
wine,bayesglm,ap,9,0.733333333333333,0.715909090909091
wine,rpart,ap,9,0.988888888888889,0.931818181818182
wine,knn,ap,9,0.955555555555556,0.954545454545455
wine,svmRadial,ap,9,0.988888888888889,0.954545454545455
breast-cancer-wisconsin,multinom,ap,24,0.973684210526316,0.976539589442815
breast-cancer-wisconsin,pda,ap,24,0.97953216374269,0.970674486803519
breast-cancer-wisconsin,bayesglm,ap,24,0.970760233918129,0.976539589442815
breast-cancer-wisconsin,rpart,ap,24,0.967836257309941,0.953079178885631
breast-cancer-wisconsin,knn,ap,24,0.970760233918129,0.970674486803519
breast-cancer-wisconsin,svmRadial,ap,24,1,0.967741935483871
yeast,multinom,ap,58,0.675167785234899,0.588633288227334
yeast,pda,ap,58,0.661744966442953,0.571041948579161
yeast,bayesglm,ap,58,0.170469798657718,0.131258457374831
yeast,rpart,ap,58,0.657718120805369,0.569688768606225
yeast,knn,ap,58,0.659060402684564,0.534506089309878
yeast,svmRadial,ap,58,0.738255033557047,0.577807848443843
glass,multinom,ap,17,0.844036697247706,0.647619047619048
glass,pda,ap,17,0.81651376146789,0.685714285714286
glass,bayesglm,ap,17,0.522935779816514,0.523809523809524
glass,rpart,ap,17,0.779816513761468,0.619047619047619
glass,knn,ap,17,0.788990825688073,0.695238095238095
glass,svmRadial,ap,17,0.917431192660551,0.685714285714286
ecoli,multinom,ap,13,0.905882352941176,0.879518072289157
ecoli,pda,ap,13,0.894117647058824,0.867469879518072
ecoli,bayesglm,ap,13,0.629411764705882,0.632530120481928
ecoli,rpart,ap,13,0.829411764705882,0.813253012048193
ecoli,knn,ap,13,0.847058823529412,0.837349397590361
ecoli,svmRadial,ap,13,0.911764705882353,0.855421686746988
vowel-context,multinom,ap,42,0.997979797979798,0.923232323232323
vowel-context,pda,ap,42,0.896969696969697,0.81010101010101
vowel-context,bayesglm,ap,42,0.181818181818182,0.177777777777778
vowel-context,rpart,ap,42,0.648484848484848,0.547474747474747
vowel-context,knn,ap,42,0.898989898989899,0.822222222222222
vowel-context,svmRadial,ap,42,1,0.975757575757576
iris,multinom,ap,6,0.973333333333333,0.973333333333333
iris,pda,ap,6,0.973333333333333,0.96
iris,bayesglm,ap,6,0.666666666666667,0.666666666666667
iris,rpart,ap,6,0.973333333333333,0.92
iris,knn,ap,6,0.96,0.933333333333333
iris,svmRadial,ap,6,1,0.933333333333333
pima-indians-diabetes,multinom,ap,37,0.815104166666667,0.747395833333333
pima-indians-diabetes,pda,ap,37,0.809895833333333,0.7421875
pima-indians-diabetes,bayesglm,ap,37,0.8203125,0.736979166666667
pima-indians-diabetes,rpart,ap,37,0.791666666666667,0.736979166666667
pima-indians-diabetes,knn,ap,37,0.786458333333333,0.71875
pima-indians-diabetes,svmRadial,ap,37,0.825520833333333,0.736979166666667
sonar.all,multinom,ap,12,1,0.718446601941748
sonar.all,pda,ap,12,1,0.728155339805825
sonar.all,bayesglm,ap,12,1,0.728155339805825
sonar.all,rpart,ap,12,0.8,0.718446601941748
sonar.all,knn,ap,12,0.828571428571429,0.718446601941748
sonar.all,svmRadial,ap,12,1,0.805825242718447
image-segmentation,multinom,ap,53,0.967099567099567,0.946320346320346
image-segmentation,pda,ap,53,0.933333333333333,0.912554112554113
image-segmentation,bayesglm,ap,53,0.283982683982684,0.283982683982684
image-segmentation,rpart,ap,53,0.954978354978355,0.932467532467532
image-segmentation,knn,ap,53,0.943722943722944,0.898701298701299
image-segmentation,svmRadial,ap,53,0.987878787878788,0.953246753246753
ionosphere,multinom,ap,28,1,0.908571428571429
ionosphere,pda,ap,28,0.994318181818182,0.805714285714286
ionosphere,bayesglm,ap,28,1,0.902857142857143
ionosphere,rpart,ap,28,0.943181818181818,0.868571428571429
ionosphere,knn,ap,28,0.931818181818182,0.891428571428571
ionosphere,svmRadial,ap,28,1,0.902857142857143
spectrometer,multinom,ap,26,0.939716312056738,0.437751004016064
spectrometer,pda,ap,26,0.985815602836879,0.542168674698795
spectrometer,bayesglm,ap,26,0.0106382978723404,0.00401606425702811
spectrometer,rpart,ap,26,0.514184397163121,0.421686746987952
spectrometer,svmRadial,ap,26,0.879432624113475,0.538152610441767
statlog-vehicle,multinom,ap,28,0.879716981132076,0.789099526066351
statlog-vehicle,pda,ap,28,0.849056603773585,0.798578199052133
statlog-vehicle,bayesglm,ap,28,0.5,0.5
statlog-vehicle,rpart,ap,28,0.808962264150943,0.675355450236967
statlog-vehicle,knn,ap,28,0.735849056603774,0.66824644549763
statlog-vehicle,svmRadial,ap,28,0.983490566037736,0.81042654028436
optdigits,multinom,ap,178,0.992885094272501,0.969028123887504
optdigits,pda,ap,178,0.982568480967627,0.969740121039516
optdigits,bayesglm,ap,178,0.199928850942725,0.19935920256319
optdigits,rpart,ap,178,0.834578441835646,0.799572801708793
optdigits,knn,ap,178,0.967627178939879,0.943396226415094
optdigits,svmRadial,ap,178,1,0.977928088287647
statlog-satimage,multinom,ap,72,0.920782851817335,0.905161691542289
statlog-satimage,pda,ap,72,0.889095992544268,0.888681592039801
statlog-satimage,bayesglm,ap,72,0.342963653308481,0.340174129353234
statlog-satimage,rpart,ap,72,0.874184529356943,0.859452736318408
statlog-satimage,knn,ap,72,0.920782851817335,0.899875621890547
statlog-satimage,svmRadial,ap,72,0.952469711090401,0.913557213930348
pendigits,multinom,ap,135,0.99472631387525,0.988166757691608
pendigits,pda,ap,135,0.986724859065285,0.982159111596577
pendigits,bayesglm,ap,135,0.207855973813421,0.206990715456035
pendigits,rpart,ap,135,0.873067830514639,0.844893500819224
pendigits,knn,ap,135,0.991816693944354,0.985982159111597
pendigits,svmRadial,ap,135,0.998545190034552,0.992718004733297
wine,multinom,ap,10,1,0.965909090909091
wine,pda,ap,10,1,0.965909090909091
wine,bayesglm,ap,10,0.733333333333333,0.704545454545455
wine,rpart,ap,10,0.977777777777778,0.920454545454545
wine,knn,ap,10,1,0.954545454545455
wine,svmRadial,ap,10,1,0.965909090909091
breast-cancer-wisconsin,multinom,ap,22,0.982456140350877,0.967741935483871
breast-cancer-wisconsin,pda,ap,22,0.976608187134503,0.964809384164223
breast-cancer-wisconsin,bayesglm,ap,22,0.97953216374269,0.964809384164223
breast-cancer-wisconsin,rpart,ap,22,0.97953216374269,0.964809384164223
breast-cancer-wisconsin,knn,ap,22,0.973684210526316,0.967741935483871
breast-cancer-wisconsin,svmRadial,ap,22,0.994152046783626,0.956011730205279
yeast,multinom,ap,52,0.691275167785235,0.580514208389716
yeast,pda,ap,52,0.664429530201342,0.568335588633288
yeast,bayesglm,ap,52,0.166442953020134,0.136671177266576
yeast,rpart,ap,52,0.633557046979866,0.537212449255751
yeast,knn,ap,52,0.602684563758389,0.542625169147497
yeast,svmRadial,ap,52,0.684563758389262,0.573748308525034
glass,multinom,ap,16,0.834862385321101,0.685714285714286
glass,pda,ap,16,0.853211009174312,0.657142857142857
glass,bayesglm,ap,16,0.55045871559633,0.466666666666667
glass,rpart,ap,16,0.651376146788991,0.561904761904762
glass,knn,ap,16,0.752293577981651,0.638095238095238
glass,svmRadial,ap,16,0.990825688073395,0.704761904761905
ecoli,multinom,ap,15,0.935294117647059,0.837349397590361
ecoli,pda,ap,15,0.923529411764706,0.813253012048193
ecoli,bayesglm,ap,15,0.652941176470588,0.626506024096386
ecoli,rpart,ap,15,0.876470588235294,0.837349397590361
ecoli,knn,ap,15,0.9,0.807228915662651
ecoli,svmRadial,ap,15,0.935294117647059,0.831325301204819
vowel-context,multinom,ap,46,1,0.933333333333333
vowel-context,pda,ap,46,0.862626262626263,0.82020202020202
vowel-context,bayesglm,ap,46,0.177777777777778,0.163636363636364
vowel-context,rpart,ap,46,0.656565656565657,0.519191919191919
vowel-context,knn,ap,46,0.911111111111111,0.806060606060606
vowel-context,svmRadial,ap,46,0.997979797979798,0.975757575757576
iris,multinom,ap,5,0.986666666666667,0.92
iris,pda,ap,5,0.973333333333333,0.973333333333333
iris,bayesglm,ap,5,0.666666666666667,0.666666666666667
iris,rpart,ap,5,0.973333333333333,0.933333333333333
iris,knn,ap,5,0.96,0.933333333333333
iris,svmRadial,ap,5,0.973333333333333,0.973333333333333
pima-indians-diabetes,multinom,ap,33,0.8125,0.7578125
pima-indians-diabetes,pda,ap,33,0.8125,0.752604166666667
pima-indians-diabetes,bayesglm,ap,33,0.822916666666667,0.755208333333333
pima-indians-diabetes,rpart,ap,33,0.802083333333333,0.723958333333333
pima-indians-diabetes,knn,ap,33,0.822916666666667,0.716145833333333
pima-indians-diabetes,svmRadial,ap,33,0.875,0.736979166666667
sonar.all,multinom,ap,15,1,0.83495145631068
sonar.all,pda,ap,15,0.980952380952381,0.70873786407767
sonar.all,bayesglm,ap,15,1,0.825242718446602
sonar.all,rpart,ap,15,0.761904761904762,0.728155339805825
sonar.all,knn,ap,15,0.838095238095238,0.737864077669903
sonar.all,svmRadial,ap,15,1,0.844660194174757
image-segmentation,multinom,ap,56,0.981818181818182,0.944588744588745
image-segmentation,pda,ap,56,0.926406926406926,0.913419913419913
image-segmentation,bayesglm,ap,56,0.284848484848485,0.283116883116883
image-segmentation,rpart,ap,56,0.954978354978355,0.930735930735931
image-segmentation,knn,ap,56,0.946320346320346,0.914285714285714
