Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
wine,multinom,no,0,1,0.954545454545455
wine,pda,no,0,1,0.977272727272727
wine,bayesglm,no,0,0.733333333333333,0.681818181818182
wine,rpart,no,0,0.922222222222222,0.806818181818182
wine,knn,no,0,1,0.954545454545455
wine,svmRadial,no,0,0.988888888888889,0.988636363636364
breast-cancer-wisconsin,multinom,no,0,0.961988304093567,0.979472140762463
breast-cancer-wisconsin,pda,no,0,0.956140350877193,0.973607038123167
breast-cancer-wisconsin,bayesglm,no,0,0.961988304093567,0.979472140762463
breast-cancer-wisconsin,rpart,no,0,0.93859649122807,0.914956011730205
breast-cancer-wisconsin,knn,no,0,0.964912280701754,0.973607038123167
breast-cancer-wisconsin,svmRadial,no,0,1,0.958944281524927
yeast,multinom,no,0,0.612080536912752,0.583220568335589
yeast,pda,no,0,0.591946308724832,0.576454668470907
yeast,bayesglm,no,0,0.0738255033557047,0.0595399188092016
yeast,rpart,no,0,0.614765100671141,0.589986468200271
yeast,knn,no,0,0.614765100671141,0.579161028416779
yeast,svmRadial,no,0,0.699328859060403,0.607577807848444
glass,multinom,no,0,0.807339449541284,0.580952380952381
glass,pda,no,0,0.715596330275229,0.638095238095238
glass,bayesglm,no,0,0.495412844036697,0.504761904761905
glass,rpart,no,0,0.752293577981651,0.685714285714286
glass,knn,no,0,0.706422018348624,0.580952380952381
glass,svmRadial,no,0,0.899082568807339,0.628571428571429
ecoli,multinom,no,0,0.894117647058824,0.855421686746988
ecoli,pda,no,0,0.905882352941176,0.879518072289157
ecoli,bayesglm,no,0,0.641176470588235,0.620481927710843
ecoli,rpart,no,0,0.864705882352941,0.825301204819277
ecoli,knn,no,0,0.858823529411765,0.849397590361446
ecoli,svmRadial,no,0,0.923529411764706,0.86144578313253
vowel-context,multinom,no,0,0.755555555555556,0.690909090909091
vowel-context,pda,no,0,0.654545454545455,0.61010101010101
vowel-context,bayesglm,no,0,0.161616161616162,0.155555555555556
vowel-context,rpart,no,0,0.58989898989899,0.494949494949495
vowel-context,knn,no,0,0.919191919191919,0.836363636363636
vowel-context,svmRadial,no,0,0.997979797979798,0.963636363636364
iris,multinom,no,0,1,0.946666666666667
iris,pda,no,0,0.986666666666667,0.973333333333333
iris,bayesglm,no,0,0.666666666666667,0.666666666666667
iris,rpart,no,0,0.96,0.96
iris,knn,no,0,0.986666666666667,0.96
iris,svmRadial,no,0,1,0.946666666666667
pima-indians-diabetes,multinom,no,0,0.791666666666667,0.760416666666667
pima-indians-diabetes,pda,no,0,0.786458333333333,0.763020833333333
pima-indians-diabetes,bayesglm,no,0,0.791666666666667,0.763020833333333
pima-indians-diabetes,rpart,no,0,0.8515625,0.723958333333333
pima-indians-diabetes,knn,no,0,0.791666666666667,0.736979166666667
pima-indians-diabetes,svmRadial,no,0,0.799479166666667,0.7734375
sonar.all,multinom,no,0,1,0.747572815533981
sonar.all,pda,no,0,0.961904761904762,0.669902912621359
sonar.all,bayesglm,no,0,0.980952380952381,0.776699029126214
sonar.all,rpart,no,0,0.857142857142857,0.669902912621359
sonar.all,knn,no,0,0.79047619047619,0.776699029126214
sonar.all,svmRadial,no,0,1,0.825242718446602
image-segmentation,multinom,no,0,0.970562770562771,0.938528138528139
image-segmentation,pda,no,0,0.923809523809524,0.912554112554113
image-segmentation,bayesglm,no,0,0.284848484848485,0.283116883116883
image-segmentation,rpart,no,0,0.957575757575758,0.923809523809524
image-segmentation,knn,no,0,0.958441558441558,0.916017316017316
image-segmentation,svmRadial,no,0,0.985281385281385,0.955844155844156
ionosphere,multinom,no,0,0.965909090909091,0.874285714285714
ionosphere,pda,no,0,0.926136363636364,0.88
ionosphere,bayesglm,no,0,0.965909090909091,0.88
ionosphere,rpart,no,0,0.903409090909091,0.908571428571429
ionosphere,knn,no,0,0.840909090909091,0.845714285714286
ionosphere,svmRadial,no,0,0.960227272727273,0.931428571428571
spectrometer,multinom,no,0,0.98936170212766,0.373493975903614
spectrometer,pda,no,0,0.960992907801418,0.413654618473896
spectrometer,bayesglm,no,0,0.0106382978723404,0
spectrometer,rpart,no,0,0.563829787234043,0.441767068273092
spectrometer,svmRadial,no,0,0.971631205673759,0.477911646586345
statlog-vehicle,multinom,no,0,0.839622641509434,0.800947867298578
statlog-vehicle,pda,no,0,0.827830188679245,0.758293838862559
statlog-vehicle,bayesglm,no,0,0.490566037735849,0.488151658767773
statlog-vehicle,rpart,no,0,0.705188679245283,0.599526066350711
statlog-vehicle,knn,no,0,0.808962264150943,0.672985781990521
statlog-vehicle,svmRadial,no,0,0.966981132075472,0.772511848341232
optdigits,multinom,no,0,0.996798292422625,0.961196155215379
optdigits,pda,no,0,0.961579509071505,0.950872196511214
optdigits,bayesglm,no,0,0.199928850942725,0.197935208259167
optdigits,rpart,no,0,0.700818214158662,0.707013171947312
optdigits,knn,no,0,0.982924226254002,0.969740121039516
optdigits,svmRadial,no,0,1,0.983268066927732
statlog-satimage,multinom,no,0,0.883193538365952,0.855410447761194
statlog-satimage,pda,no,0,0.849021435228332,0.834577114427861
statlog-satimage,bayesglm,no,0,0.340789064926996,0.337686567164179
statlog-satimage,rpart,no,0,0.859273066169618,0.838619402985075
statlog-satimage,knn,no,0,0.927617272444859,0.899875621890547
statlog-satimage,svmRadial,no,0,0.968002485243865,0.916044776119403
pendigits,multinom,no,0,0.961083833424259,0.954669579464773
pendigits,pda,no,0,0.87506819421713,0.872929182596031
pendigits,bayesglm,no,0,0.197672304055283,0.197888221372656
pendigits,rpart,no,0,0.769958174213493,0.761696704897142
pendigits,knn,no,0,0.993635206401164,0.989441106863281
pendigits,svmRadial,no,0,0.998727041280233,0.995266703076643
